HIP,Vmag,Plx,e_Plx,B-V,SpType
17290,8.72,5.43,1.12,0.146,A1V         
17292,8.6,4.54,1.09,0.412,F3IV/V      
17293,9.2,2.78,1.14,0.229,A0          
17294,8.29,4,0.73,0.432,F3V         
17295,8.94,1.33,1.08,1.18,K2/K3III    
17296,5.06,6.27,0.63,1.651,S5.3 SB:    
17297,8.92,1.99,0.97,1.408,K2III:      
17298,6.5,25.39,0.55,0.522,F8V         
17299,8.06,3.32,1.15,1.022,K0          
17300,8.23,4.19,1.41,1.73,K5          
17301,10.74,4.66,2.07,0.584,F8          
17302,7.63,4.36,0.69,0.958,G8III       
17303,7.88,0.77,1.39,1.2,K1IV        
17304,4.99,4.45,0.62,-0.159,B5III       
17305,7.4,18.79,1.05,0.428,F2          
17306,9.73,2.74,1.51,0.6,A3          
17307,8.3,6.29,1.14,0.192,A0          
17308,9.24,-2.58,3.48,0.66,A5...       
17309,5.68,7.97,1.02,-0.016,B9Vn        
17310,8.81,12.71,1.2,0.596,G3V         
17311,9.47,2.68,1.16,1.018,K1III/IV    
17312,7.71,4.31,1,1.117,K0          
17313,4.97,3.53,0.88,-0.048,B0.5V       
17314,7.35,4.17,0.65,0.929,K0/K1III+.. 
17315,8.94,3.45,0.82,0.452,F3IV/V      
17316,9.85,6.28,1.66,0.55,G0          
17317,10.4,6.66,1.98,0.7,            
17318,9.32,5.84,1.67,0.283,A0          
17319,8.24,2.32,2.32,0.71,G1III/IV    
17320,6.77,13.71,1.1,0.486,F8          
17321,10.21,-3.52,21.56,0.493,F:          
17322,8.37,2.27,0.75,1.645,M1III       
17323,9.55,2.55,1.49,0.198,A           
17324,8.13,1.46,1.13,1.341,K0          
17325,8.42,8.53,1.2,0.329,A2          
17326,9.11,18.19,1.54,0.74,K           
17327,9.09,6.18,0.87,0.648,G3IV        
17328,6.4,6.78,0.68,-0.005,B9V         
17329,7.36,3.84,0.58,1.397,K3III       
17330,9.68,7.29,1.52,0.458,F8          
17332,10.9,12.62,2.53,0.9,            
17331,10.6,0.12,1.97,0.589,F2          
17333,7.88,6.99,0.78,0.118,A0          
17334,7.72,6.43,1.1,1.165,G8III       
17335,9.18,-2.86,1.24,1.713,M0          
17336,7.07,38.75,0.99,0.659,G0          
17337,7.05,7.07,1.11,0.273,A2          
17338,9.16,17.38,1.43,0.783,G8V         
17339,8.85,0.38,1.35,1.525,M0          
17340,7.91,8.02,1.07,0.624,F8          
17341,7.95,14.18,1.07,0.578,F9V         
17342,5.74,1.48,0.75,1.736,K4Ib        
17343,8.51,9.44,0.77,0.533,G0V         
17344,7.71,3.82,0.93,0.006,B9          
17345,7.56,5.64,0.99,0.221,Ap          
17346,9.2,38.56,1.42,1.128,K5V         
17347,6.98,3.71,3.7,0.2,A3+...      
17348,7.74,8.62,1.47,-0.2,A2          
17349,9.38,7.57,1.54,0.42,F0          
17350,8.15,0.44,0.97,1.348,K1/K2III    
17351,4.59,18.34,0.56,1.191,K2IIICN...  
17352,8.7,2.89,0.9,0.387,F2V         
17353,8.44,4.22,1.11,0.402,A5          
17354,8.48,8.68,1.37,0.442,F5          
17355,9.11,9.27,1.22,0.471,F5V         
17356,8.14,8.83,1.01,0.896,K0III-IV    
17357,8.62,2.1,1.03,0.097,A0          
17358,3.01,6.18,0.85,-0.125,B5III SB    
17359,9.06,8.28,1.25,0.436,F0          
17360,9.24,5.86,1.22,0.492,F2          
17361,8.34,-0.44,1.08,0.26,B8          
17362,9.31,6.74,1.55,0.455,A           
17363,8.56,2.18,0.8,1.114,K1III       
17364,6.97,27.27,0.64,0.511,G1V         
17365,10.87,32.95,2.36,1.339,K5          
17366,8.74,2.95,0.7,0.937,G6III       
17367,8.46,7.53,1.12,0.971,K1IV        
17368,7.67,7.53,0.78,0.315,Fm...       
17369,7.97,10.05,0.91,0.379,F0          
17370,7.45,5.71,0.59,0.247,A6V         
17371,10.62,0.31,2.28,0.25,G0          
17372,7.77,3.93,0.85,1.11,K0III       
17373,7.07,3.21,0.81,1.431,M4III       
17374,8.61,5.27,0.96,0.458,F8          
17375,10.11,6.21,1.58,0.508,F5          
17376,7.96,3.07,0.71,0.954,G8III       
17377,9.25,5.31,1.64,0.894,G5          
17378,3.52,110.58,0.88,0.915,K0IV        
17379,9.11,2.71,1.3,1.541,M8          
17380,9.66,3.17,1.63,0.503,F2          
17381,8.81,-0.67,1.38,1.552,K4III       
17382,9.45,9.01,0.93,0.544,F8V         
17383,7.14,6.91,0.92,1.086,K0          
17384,9.8,0.55,1.56,0.955,F8          
17385,9.82,8.77,1.52,0.615,G0          
17386,8.94,2.58,1.37,1.87,K7          
17387,7.51,2.09,0.93,0.103,B2Vp        
17388,7.53,8.57,0.63,0.241,A2m...      
17389,8.48,10.86,1.22,0.643,G0          
17390,9.52,0.11,1.22,1.561,K2          
17391,8.37,8.89,0.92,0.424,F2V         
17392,8.1,2.87,0.67,0.166,A2          
17393,9.52,9.59,0.85,0.589,G0V         
17394,7.48,5.52,0.63,1.052,K0II/III    
17395,5.59,23.3,0.94,0.216,A5m         
17396,7.29,3.72,0.9,1.553,K2          
17397,9.69,5.12,1.95,0.458,F2/F3V      
17398,10.61,23.67,1.32,1.23,            
17399,9.23,3.65,1.38,0.506,F5          
17400,9.43,10.39,1.05,0.748,G5V         
17401,7.93,9.48,1.11,0.347,A9V...      
17402,8.51,3.72,0.8,1.237,Kp...       
17403,7.52,10.01,1.06,0.141,A2          
17404,10.34,5.31,1.63,0.448,F5          
17405,10.83,61.4,2.37,1.47,M1          
17406,7.2,6.3,1.03,1.097,K0          
17407,7.35,4.04,1,1.16,K1III       
17408,6.13,9.39,0.91,0.994,G8III       
17409,7.48,23.46,0.89,0.583,G2V         
17410,9.28,3.53,1.67,0.618,A0          
17411,9.66,3.76,1.08,0.56,G3V         
17412,8.23,15.39,1.05,0.506,F8          
17413,8.58,7.58,1.42,0.441,F0          
17414,9.99,58.09,1.98,1.42,M2          
17415,8.32,5.2,1.01,0.362,F2/F3V      
17416,9.04,5.38,2.74,0,A0          
17417,7.64,2.26,0.86,0.963,G5          
17418,10.43,18.3,3.41,0.65,K8          
17419,9.45,1.67,1,0.864,G6/G8       
17420,7.1,71.17,0.91,0.927,K2V         
17421,9.9,8.07,2.2,0.606,F2          
17422,7.25,7.77,0.84,0.347,Fm...       
17423,8.05,3.27,0.93,0.147,B9          
17424,7.66,1.56,1.01,1.641,K5III       
17425,10.18,-0.7,1.8,0.21,B8          
17426,8.61,8.06,1.53,0.57,F8          
17427,9.37,4.22,2.05,0.422,A           
17428,8.26,7.81,1.13,0.355,A5          
17429,9.54,0.58,1.3,1.282,K2III       
17430,8.89,4.7,1.21,0.14,A0          
17431,8.96,3.03,1.24,0.546,A2          
17432,10.71,8.88,2.53,0.401,F2          
17433,8.81,2.8,0.81,1.249,K3III       
17434,7.52,1.16,0.97,1.85,K5          
17435,9.34,4.2,1.28,0.384,F5          
17436,6.45,10.77,0.7,1.059,K1III       
17437,6.06,3.94,0.76,1.552,K4III       
17438,8.34,1.27,1.07,1.438,K0          
17439,6.99,61.63,0.67,0.87,K1V         
17440,3.84,32.71,0.46,1.133,K0IV SB     
17441,8.96,7.52,0.93,0.405,F2V         
17442,8.12,1.64,0.79,1.519,M3III       
17443,9.08,7.46,1.32,0.395,F5          
17444,9.38,1.31,1.39,1,K0          
17445,7.32,8.58,0.58,0.872,G8IV        
17446,8.25,8.17,0.63,0.525,F6V         
17447,7.48,1.72,0.65,1.733,M1Ib/II     
17448,3.84,2.21,0.84,0.022,B1III       
17449,8.18,0.82,1.24,1.691,K3III       
17450,8.63,2.51,1.04,0.167,B9          
17451,10.49,17.45,2.7,0.62,F0          
17452,9.24,7.09,1,0.51,F6V         
17453,6.09,13.39,0.85,0.028,A0V         
17454,9.37,3.12,1.13,1.047,K0V         
17455,8.3,4.28,1.14,0.372,Ap...       
17456,8.46,3.78,1.04,0.122,A0          
17457,5.24,4.99,0.74,-0.088,B7V         
17458,10.63,38.54,2.25,1.38,M0          
17459,8.8,4.43,1.17,1.152,K0          
17460,5.6,9.83,0.88,0.062,A2m         
17461,10.06,14.43,1.58,0.696,            
17462,8.26,3.25,1.08,0.02,B9          
17463,9.07,6.15,1.37,1.147,K1III       
17464,6.29,12.81,0.57,1.035,K1III       
17465,8.51,4.52,3.3,0.691,B5V         
17466,9.23,4.26,1.67,0.396,F2          
17467,8.37,1.03,3.04,0.16,A0          
17468,9.67,4.52,3.3,0.88,A2          
17469,8.66,7.19,1.19,0.519,F5          
17470,6.75,15.67,0.93,0.37,F0          
17471,9.18,1.94,1.14,1.677,K5          
17472,8.62,20.41,1.2,0.66,G5          
17473,7.91,3.24,0.95,1.705,K2          
17474,8.37,4.55,1.04,0.031,A0          
17475,6.1,5.69,0.78,0.291,A7IV        
17476,7.55,5.39,0.81,0.102,A0          
17477,9.65,2.89,2.16,0.44,F3V         
17478,7.95,17.81,1.28,0.598,G0          
17479,10.22,0.61,1.9,0.625,F0          
17480,9.81,6.03,2.13,0.634,F0          
17481,8.7,10.1,1.27,0.394,F5          
17482,6.86,16.97,3.12,0.642,G2IV        
17483,7.51,22.71,0.77,0.587,G1V         
17484,8.32,4.16,1.12,1.011,G8IV        
17485,8.28,0.66,0.74,1.337,K3/K4III    
17486,7.42,18.17,0.56,0.633,G0V         
17487,8.06,8.88,0.67,0.519,F7V         
17488,8.95,8.79,0.77,0.487,F6Vw...     
17489,5.45,9.75,1.05,-0.034,B7IV        
17490,8.33,2.01,1.04,0.731,F8          
17491,7.72,37.58,1.09,0.864,K2          
17492,8.97,12.2,1.44,0.674,G0          
17493,6.49,6.42,0.58,1.011,G8/K0III    
17494,7.83,3.06,0.68,1.489,K5III       
17495,8.3,1.9,0.99,1.32,K0          
17496,9.13,45.87,1.44,1.179,K8V:        
17497,8.98,9.76,1.29,0.403,F3V         
17498,8.22,3.34,0.99,0.145,A0          
17499,3.72,8.8,0.89,-0.105,B6III       
17500,7.51,4.02,0.88,1.039,K0III       
17501,7.95,6.37,0.66,0.965,K0III       
17502,10.56,4.22,1.8,0.464,F0          
17503,8.47,6.92,1.3,0.574,F2          
17504,9.89,-0.54,1.2,0.985,K2          
17505,10.69,6.71,2.73,0.565,F8          
17506,5.56,9.28,0.88,1.411,K4III       
17507,8.1,3,0.7,1.219,K2III       
17508,8.49,8.27,1.13,0.534,F7V         
17509,8.89,2.24,1.27,1.294,K2/K3III    
17510,8.31,1.72,0.86,1.182,K0          
17511,9.49,10,1.64,0.489,F5          
17512,9.1,8.9,2.55,0.4,G5          
17513,7.66,6.24,0.91,0.222,A2          
17514,10.64,8.72,1.6,0.598,            
17515,7.57,19.15,0.57,0.595,G0V         
17517,8.74,4.5,1.17,0.6,G0V         
17516,9.55,6.44,1.57,0.71,G2V         
17518,9.08,0.4,1.01,0.865,G6III/IV    
17519,6.65,12.34,0.75,0.487,F5          
17520,8.16,4.81,1.03,0.202,A2          
17522,8.69,2.02,1.06,1.209,K2III       
17521,7.51,4.39,0.89,1.011,G5          
17523,6.71,3.67,0.63,1.004,G5          
17524,7.36,5.76,0.55,1.052,K0III       
17525,11.49,13.35,3.18,0.823,            
17526,7.99,1.42,0.94,1.461,K2          
17527,5.66,8.87,0.89,-0.064,B8V         
17528,9.46,1.15,0.77,0.979,K0          
17529,3.77,5.86,0.74,0.425,F5IIvar     
17530,8.88,0.88,1.22,0.428,F0/F2V      
17531,4.3,8.75,1.08,-0.11,B6V         
17532,7.8,4.49,0.69,0.948,G8III       
17533,7.95,5.78,0.97,0.163,A2          
17534,5.72,8.93,0.54,0.961,K1III       
17535,10.88,23.03,1.34,1.13,            
17536,10.36,4.49,1.85,0.67,A1          
17538,9.86,2,1.77,0.927,M           
17537,8.1,2,1.01,1.255,K5          
17539,7.44,4.96,0.9,0.205,A6:m...     
17540,8.02,12.87,1.09,0.581,G0          
17541,8.04,2.51,2.88,0.152,A0          
17542,8.46,1.4,0.93,1.018,G8III/IV    
17543,6.26,7.04,0.53,-0.123,B8V         
17544,8.21,45.95,1.41,1.012,K2V         
17545,9.93,1.37,1.52,1.003,K0          
17546,8.1,5.01,0.99,0.009,B9          
17547,7.41,8.27,1.14,0.128,A2          
17548,7.18,5.82,0.83,-0.011,B9          
17549,6.89,7.33,0.84,-0.022,A0          
17550,7.61,4.97,1.05,1.136,K0III       
17551,8.82,9.42,1.04,0.518,F7V         
17552,7.75,11.21,1.09,0.179,A3          
17553,6.97,7.32,0.8,0.283,F0IV/V      
17554,7.65,7.64,1.04,0.403,F2          
17555,8.41,2.34,0.8,1.491,K4III:      
17556,7.71,1.66,0.91,1.603,K2          
17557,10.1,5.01,1.99,0.736,F5          
17558,6.45,7.09,0.79,1.195,K0          
17559,9.19,5.46,1.36,0.48,F2          
17560,9.19,4.03,1.26,1.047,K2          
17562,8.14,10.71,1.04,0.415,F3V         
17563,5.34,5.54,0.8,-0.099,B3V         
17564,9.54,6.59,1.03,0.578,F7V         
17565,8.52,3.13,1.15,1.389,K2/K3III    
17566,10.28,1.7,1.85,0.446,F8          
17567,8.25,10.48,1.11,0.432,F2          
17568,7.76,18.32,0.95,0.451,F5V         
17569,8.48,4.67,0.93,0.424,F3IV        
17570,8.46,14.01,0.98,0.476,F5V         
17571,10.31,4.76,1.95,0.55,A2          
17572,6.85,9.68,1.03,0.06,A0V         
17574,9.83,4.28,1.17,0.506,F6V         
17573,3.87,9.06,1.03,-0.063,B8III       
17575,6.83,11.43,0.75,0.21,A5          
17576,8.26,3.27,0.88,1.043,G8III       
17577,7.58,6.35,0.99,0.065,A0          
17578,7.4,3.91,1,1.606,K2          
17579,5.76,8.43,0.89,-0.036,B8V         
17581,9.94,4.03,1.56,0.661,F8          
17580,8.34,11.5,1.55,0.602,G0          
17582,7.92,5.51,1.15,0.903,G5          
17583,8.04,8.5,1.17,0.213,A0          
17584,5.66,3.14,0.78,-0.08,B6V         
17585,5.79,18.06,0.62,0.347,F0IV        
17586,9.16,4.65,1.31,0.28,B8          
17587,4.78,4.08,0.66,0.747,A3V...      
17588,6.43,9.21,0.92,-0.02,A0Vn        
17589,9.46,13.58,1.89,0.676,F5          
17590,7.88,1.45,1.18,2.253,M0III       
17591,7.59,6.5,1.05,1.059,G8III       
17592,9.61,4.84,1.48,1.346,K0          
17593,4.43,6.56,0.8,1.604,M1III       
17594,8.86,0.75,0.97,1.323,K4III       
17595,5.91,9.68,0.83,0.992,G9III       
17596,7.9,3.98,1.2,1.403,K0          
17597,9.26,12.09,1,0.69,G5/G6V      
17598,8.82,6.17,1.22,0.873,G8IV        
17599,8.84,1.88,1.27,1.589,M2/M3III    
17600,8.65,6.81,1.72,0.589,G1V         
17601,6.87,6.52,0.99,1.142,K0          
17602,6.97,6.68,0.8,0.965,G5          
17603,8.77,11.42,1.24,0.605,G0          
17604,7.66,4.94,0.68,0.367,F0IV/V      
17605,10.09,6.63,1.68,0.68,F8          
17606,8.08,6.48,1.11,0.4,F6/F7IV/V   
17607,11.54,4.16,3.43,0.843,            
17608,4.14,9.08,1.04,-0.051,B6IV        
17609,9.61,68.62,1.78,1.437,K5          
17610,8.09,8.23,1.1,0.359,F0          
17611,10.1,1.9,1.58,0.441,F2          
17612,8.37,0.88,1.83,0.35,F0          
17613,9.24,1.43,1.36,-0.02,B9          
17614,9.87,2.03,1.94,0.657,F2          
17615,10.07,-1.21,1.63,0.982,G5          
17616,8.38,5.45,1.1,0.213,B9          
17617,6.88,6.11,1.11,0.069,A0          
17618,5.91,9.9,0.72,0.11,A2V         
17619,8.54,2.72,1.23,1.162,K0          
17620,9.52,0.39,1.16,0.167,B5          
17622,10.38,3.77,1.99,0.33,A2          
17623,8.2,4.76,1.02,0.02,A0V         
17624,8.06,0.91,0.62,-0.042,B7III       
17625,8.72,4.73,1.48,0.355,A0          
17626,9.59,4.03,1.47,0.6,F5          
17627,8.27,1.52,1.19,1.263,K0          
17628,8.01,9.71,0.71,0.394,F0V         
17629,10.99,-0.54,2.58,0.52,A0          
17630,8.28,2.85,0.97,1.133,K1III       
17631,6.68,4.19,1.03,0.036,B3IV...     
17632,9.2,6.94,0.89,0.56,F8V         
17633,8.75,4.93,0.77,1,K0III       
17634,7.86,1.29,0.97,1,F8Ib-II     
17635,7.18,5.77,0.87,1.056,K1II        
17636,9.57,5.17,1.54,0.37,F           
17637,9.46,8.96,1.07,0.534,F7/F8V      
17638,7.64,1.6,0.96,1.433,K3III       
17639,8.28,0.71,0.95,1.033,K0:III:w... 
17640,9.36,2.13,1.53,0.833,G8V         
17641,10.92,5.18,2.43,0.584,F8          
17644,7.57,1.27,1,1.171,K0          
17643,8.27,5.99,1.25,1.072,G5          
17645,8.55,2.87,1.09,0.186,A0          
17647,8.85,2.38,0.74,1.034,G6III       
17649,9.28,0.77,1.55,1.277,K2          
17650,9.31,4.6,1.41,0.562,G0          
17651,4.22,55.79,0.69,0.434,F3/F5V      
17652,9.78,4.99,1.02,0.516,F5V         
17653,9.74,1.63,1.13,1.156,K2:III:     
17654,9.19,6.16,2.31,0.412,F3V         
17655,8.31,15.32,1.06,0.606,F8          
17656,9.99,16.18,1.8,0.815,K0          
17657,8.94,5.41,1.37,0.485,F0          
17658,7.98,7.65,1.09,0.228,A2          
17659,7.49,4.21,0.98,1.453,K3III       
17660,8.23,3.3,0.87,1.331,K2/K3III    
17661,8.8,2.69,1.22,1.335,G8II        
17662,8.68,2.74,1.46,0.242,A0          
17663,8.9,10.84,0.9,0.679,G3V         
17664,6.83,6.66,0.99,0.021,B9.5V       
17665,7.62,0.29,0.94,1.312,K2          
17667,7.06,3,0.8,1.598,M1III       
17666,7.67,40.83,2.24,0.796,K1V         
17668,10.89,8.85,4.18,0.591,F8          
17669,8.96,11.26,0.8,0.594,G0V         
17670,7.12,8.5,1.16,1.204,G5          
17671,9.48,11.65,0.92,0.612,G3V         
17672,7.99,4.02,1.19,0.811,G0          
17673,8.81,8.49,0.83,0.48,G0          
17674,10.04,8.4,1.6,0.59,G5          
17675,6.9,18.05,0.85,0.373,F0          
17676,9.27,8.89,1.01,0.648,G6V         
17677,9.43,5.28,1.52,0.457,F2          
17679,8.85,4.02,1.43,0.377,A0          
17678,3.26,15.23,0.53,1.59,M2III       
17680,9.32,4.31,1.51,0.557,F2          
17681,7.06,8.13,0.78,0.007,B9          
17682,8.53,7.06,1.18,0.599,G0          
17683,8.8,19.79,0.7,0.608,G2V...      
17684,6.98,16.1,1.09,0.542,F8IV        
17685,10.26,3.92,1.78,0.32,F2          
17686,8.07,1.05,0.89,0.05,B5          
17687,10.12,1.2,1.22,-0.039,B8          
17688,6.58,5.59,0.56,1.325,K3III       
17689,6.54,25.99,0.74,0.509,F5V         
17690,8.69,14.52,0.76,0.705,G6V         
17691,9.93,0.24,1.05,-0.102,B7V         
17692,6.99,8.35,1,0.03,A1V         
17693,6.93,8.21,0.86,1.103,K1III       
17694,8.17,9.87,1.19,0.255,A0          
17695,11.59,61.45,3.02,1.511,            
17696,9.59,6.56,1.41,0.587,F5          
17697,8.39,5.54,1.11,1.229,G5          
17698,8.19,2.56,1.01,0.184,B8          
17699,7.83,3.3,0.76,1.263,K1/K2III    
17700,9.75,2.11,1.42,0.3,B8          
17701,10.72,7.68,2.42,0.644,F5          
17703,8.98,2.44,0.86,0.946,G5III       
17702,2.85,8.87,0.99,-0.086,B7III       
17704,6.83,9.05,0.97,0.066,A0V...      
17705,8.03,5.96,1.01,1.094,K1III       
17706,10.28,17.65,2.13,1.043,K3III       
17707,6.09,7.56,0.8,-0.02,B9Vnn       
17708,8.44,1.29,1.26,1.2,K0          
17709,8.59,3.14,0.97,1.225,K2III       
17710,11.16,16.09,6.21,1.194,            
17711,8.39,2.96,0.72,1.131,K1III       
17712,9.11,0.6,1.19,1.187,K1III       
17713,7.72,0.93,0.92,1.45,K2          
17714,8.84,10.08,1.43,0.483,F8          
17715,8.26,7.16,0.84,0.376,F0          
17716,9.09,6.34,0.88,0.683,G6Vw...     
17717,5.24,11.98,0.72,0.075,A1V         
17718,7.34,8.12,0.92,0.167,A0V         
17719,10.23,26.39,4.78,1.2,            
17720,7.44,7.65,0.57,0.237,A8V         
17721,9.46,3.48,1.41,0.477,A2          
17722,9.46,16.06,1.52,0.681,G5          
17724,9.49,4.96,1.95,0.576,F7V         
17723,8.88,2.95,1.11,1.21,K0          
17725,7.96,4.47,0.67,1.22,K3III       
17726,8.74,4.46,1.56,1.194,K0          
17727,8.17,9.98,1.1,0.504,F5          
17728,8.86,3.45,1.06,0.365,A2          
17729,8.32,7.61,1.17,0.262,A2          
17730,9.57,-0.01,1.69,0.11,A           
17731,7.42,4.11,0.98,1.218,K0          
17732,6.26,17.92,1.06,0.474,G0          
17733,8.04,3.93,0.97,-0.035,A0          
17734,6.21,6.16,0.58,-0.102,B8V         
17735,6.57,2.63,1,0.035,B2.5V       
17736,9.82,21.7,1.85,0.956,K3III       
17737,7.99,2.59,1,1.59,K5III       
17738,5.52,11.55,0.65,0.973,G6III       
17739,7.9,6.04,0.92,0.32,A5          
17740,9.31,0.86,1.58,0.591,F5          
17741,10.43,10.03,1.97,0.757,G5          
17742,9.14,17,1.25,0.88,K1V         
17743,11.05,57.59,2.56,1.495,M0V:        
17744,6.98,9.25,0.82,0.256,A2          
17745,6.97,4.8,0.89,0.121,A3V         
17746,7.98,7.46,1.15,0.406,F2          
17747,7.25,19.24,0.85,0.634,F8          
17748,7.85,23.65,0.87,0.658,            
17749,9.17,57.53,2.68,1.314,K0          
17750,9.41,57.53,2.68,1.53,M2...       
17751,9.25,14.79,1.05,0.567,G2V         
17752,7.87,5.1,1.13,1.083,K0          
17753,8.19,9.92,1.01,0.474,F3V         
17754,9.25,1.18,1.1,1.265,K1/K2III:   
17755,8.45,1.98,0.79,1.306,K1III       
17756,7.66,3.78,0.91,0.374,A5          
17757,9.39,-2.54,3.81,0.486,F5          
17758,8.22,7.32,1.01,0.529,F2          
17759,6.44,4.42,0.94,1.701,K5          
17760,8.94,13.77,0.86,0.65,G3V         
17761,8.39,6.7,1.12,0.352,F0V         
17762,9.3,5.31,1.57,0.558,F5          
17763,7.97,11.94,1.31,0.231,A5          
17764,7.13,18.23,0.58,0.4,F3IV/V      
17765,9.53,5.43,1.47,0.518,F8V         
17766,10.85,24.02,2.27,1.34,M1          
17768,8.79,5.1,0.88,0.345,F2V         
17769,8.32,8.69,1.17,0.897,G5          
17770,8.85,5.93,0.91,0.425,F3V:        
17771,5.08,5.77,0.97,-0.125,B3V         
17772,6.18,5.49,0.83,0.028,B8Vn        
17773,9.28,2.27,1.55,0.309,A           
17774,7.98,4.53,1.45,1.15,K2          
17775,10.09,3.77,1.5,0.373,A2          
17776,5.44,9.64,0.91,-0.067,B8V         
17777,8.7,1.68,1.2,1.591,K3/K4III:   
17778,7.93,7.09,1.13,0.765,G3IV        
17779,7.4,7.65,0.95,1.107,G5          
17781,7.39,2.7,0.94,0.002,B8          
17780,11.13,8.11,2.41,0.57,F8          
17782,8.75,19.75,2.97,0.774,G6IV        
17783,9.34,8.08,1.55,0.466,F3/F5V      
17784,8.21,7.02,1.05,0.448,A3          
17785,6.89,4.03,0.58,0.592,A4V         
17786,8.62,2.55,1.43,1.078,K0          
17787,7.59,4.05,1,1.135,K0III       
17788,9.04,6.67,0.97,0.69,G2V         
17789,8.83,8.53,1.19,0.688,G0          
17790,8.5,20.32,1.04,0.648,G5V         
17791,6.96,6.9,0.99,0.128,A1V         
17792,6.68,4.61,1.01,1.2,K1III       
17793,7.63,5.49,1.94,0.21,A5/7 + (A)  
17794,9.45,28.41,1.9,1.08,K8          
17795,8.81,10.85,0.9,0.587,F8/G0V      
17796,9.04,14.94,1.23,0.575,G0          
17798,5.81,3.93,0.73,1.602,K5III       
17799,8.27,9.46,1.08,0.411,F5          
17797,4.3,20.23,0.83,-0.038,A+...       
17800,7.7,16.24,1.05,0.656,G5V         
17802,7.33,5.36,0.54,1.08,K0III       
17801,7.64,18.99,1,0.773,G0          
17803,10.56,14.91,2.87,1.11,K3          
17804,8.17,5.1,1.08,0.22,A0          
17805,5.91,6.58,0.88,1.224,K3III       
17806,8.01,22.93,1.1,0.611,G0          
17807,7.28,5.81,0.92,1.22,K0V         
17808,8.93,4.21,0.75,1.1,K0          
17810,7.13,3.86,0.61,-0.049,B8          
17809,8.52,0.79,1.05,0.28,B8          
17811,8.6,1.16,1.11,0.153,A0          
17812,8.44,2.54,1.2,0.11,B9          
17813,10.58,0.41,2.19,0.27,B9          
17814,8.83,1.86,0.84,1.318,K2/K3III    
17815,7.12,2.32,1.02,0.71,F8          
17816,8.66,5.61,1.06,0.86,G8IV        
17817,10.88,2.03,2.42,1.325,K7          
17818,8.16,0.37,1.3,0.127,A0          
17819,7.24,19.1,0.69,0.56,F8V         
17820,8.34,19.66,0.77,0.628,G3V         
17821,7.02,1.65,0.96,1.453,M5          
17822,9.47,4.87,1.48,0.473,A7          
17823,10.31,3.36,1.14,0.532,sdG8        
17824,7.18,4.95,0.58,1.101,K0III       
17825,9.79,11.3,1.16,0.669,F8/G0V      
17826,8.2,6.97,1.58,0.4,F0          
17827,7.36,14.04,0.86,0.419,F6Vp        
17828,8.12,5.27,1.14,0.05,B9          
17829,10.94,5.64,4.64,0.787,G:          
17830,7.22,14.94,1.01,0.432,F5          
17831,7.67,8.3,1.64,0.423,F5          
17832,6.47,13.44,0.97,0.377,F0          
17833,8.77,1.95,1.2,1.074,K0          
17834,7.78,4.42,0.87,0.212,A3          
17835,9.22,2.63,1.19,0.638,A5          
17836,8.51,0.56,3.63,0.689,F8          
17837,8.11,10.02,1.37,0.528,F5          
17838,6.95,18.09,0.86,0.403,F3V         
17839,7.91,5.6,1.08,0.219,A0          
17840,8.5,2.44,1.1,0.463,A0          
17841,9.72,2.03,1.54,0.13,A0          
17842,8.72,8.33,0.96,0.53,F6V         
17843,9.06,4.35,0.99,0.497,F6V         
17844,9.15,12.9,1.21,0.493,F8          
17845,7.45,3.09,1.21,0.213,B9          
17846,5.95,14.43,0.96,0.279,A9IV        
17847,3.62,8.57,1.03,-0.07,B8III       
17848,8.01,2.27,0.88,0.969,G0          
17849,7.78,2.67,0.79,1.045,G5          
17850,9.69,2.61,1.72,1.541,K5          
17851,5.05,8.42,0.86,-0.082,B7p         
17852,8.52,26.35,1.2,0.747,G8V         
17853,8.56,2.3,0.83,1.008,G8/K0III/IV 
17854,5.4,10.02,0.54,0.096,A2m         
17855,8.63,2.48,2.98,0.6,G5          
17856,6.55,8.84,1.29,1.004,G5          
17857,9.3,5.8,0.97,0.49,F6V         
17858,6.46,6.14,0.7,0.061,A0Vn        
17859,9.42,3.21,1.56,0.394,A7III       
17860,8.98,6.01,0.86,0.547,F7V         
17861,6.75,2.48,0.68,1.615,K5/M0III    
17862,6.62,8.02,0.91,-0.027,B9.5V       
17863,9.51,7.15,1.72,0.539,G0          
17864,9.06,1.93,1.68,1.082,G5          
17865,10.22,0.77,1.97,1.359,M0          
17866,7.53,5.9,0.63,0.45,F3IV/V      
17867,8.45,12.67,1.13,0.479,F8          
17868,9.05,10.68,0.98,0.511,G0V         
17869,8.26,4.86,1.1,1.032,K0          
17870,9.09,3.49,0.88,1.159,K1/K2III    
17871,8.53,11.1,1.2,0.891,G5          
17872,7.18,6.43,0.75,0.098,A0          
17873,7.64,8.73,1.03,0.729,G0          
17875,10.08,3.16,1.37,0.809,G5          
17874,4.17,15.54,0.58,0.927,G8III       
17876,10.74,0.03,14.37,0.765,            
17877,6.73,0.33,1.12,0.394,B0.5III     
17878,9.64,11.3,4.77,0.682,G0          
17879,9.17,12.57,1.15,0.622,G5V         
17880,8.5,3.86,1.23,0.07,A0          
17881,7.16,4.04,0.64,1.228,M5IIIvar    
17882,8.59,1.74,1.28,0.05,B9          
