HIP,Vmag,Plx,e_Plx,B-V,SpType
140,9.04,8.98,0.93,0.546,F7V         
141,8.47,5.61,1.1,1.35,K5          
142,7.33,16.04,0.69,0.73,K0          
144,8.66,3.57,0.75,1.364,K5          
143,10.35,20.05,1.64,1.033,K3          
145,5.13,7.98,0.71,-0.128,B7III-IV    
146,8.96,4.39,1.29,0.306,A9V         
147,8.49,-0.13,1.19,1.569,K5          
149,11.26,22.92,2.17,0.932,K3          
148,8.15,4.22,0.96,0.584,F8          
150,7.04,7.5,0.84,1.06,K1III       
152,10.02,5.1,1.42,0.456,F5          
153,8.9,5.54,1.23,0.459,F8          
151,7.78,7.56,1.37,0.411,F3IV...     
154,4.37,7.86,0.94,1.631,M3III       
155,9.93,2.28,1.39,0.283,A2          
156,8.6,3.09,0.84,0.1,B8V         
157,8.51,6.87,1.28,0.903,G5          
158,7.09,7.03,0.89,0.999,K0III       
159,6.93,16.92,0.81,0.292,A3          
160,8.68,2.07,0.8,-0.052,B9V         
161,8.98,2.38,1.09,1.5,K5          
162,9.84,2.71,1.33,0.696,G0          
163,8.98,2.92,1.26,0.107,A3V         
164,7.98,4.41,0.82,0.97,G9III       
165,10.16,-0.59,1.74,0.45,Ap...       
166,8.86,9.46,1.18,0.66,G3V         
167,8.58,3.5,0.9,0.06,B9          
168,9.56,1.95,1.34,1.113,R...        
169,9.24,63.03,1.98,1.39,M0V         
170,9.63,5.96,2.02,0.509,F5V         
171,5.8,80.63,3.03,0.69,G3V         
172,9.05,1.27,1.11,0.976,O7          
173,8.45,1.31,1.03,0.248,A2          
174,8.86,3.89,1.83,1.035,G9II-III    
175,7.84,3.98,0.87,0.923,G5          
176,8.86,3.82,1.07,0.53,K0          
177,8.93,5.47,1.25,0.172,A1m...      
178,7.97,9.02,2.5,0.556,F7V         
179,6.9,14.91,0.9,0.534,G0V         
180,8.47,2.8,1.12,1.171,K0          
181,6.77,2.51,0.64,1.832,M0          
182,8.55,3.32,1.16,1.004,K0          
183,5.04,6.4,0.87,-0.15,B4V         
184,8.48,29.75,1.21,0.888,K0          
185,8.53,11.74,1.8,0.53,F8          
186,6.33,7.55,0.82,0.182,A6V         
187,8.99,6.69,1.38,0.5,G0          
188,8.64,10.49,1.23,0.488,F5          
189,9.55,2.49,1.41,0.237,A3          
190,8.74,10.47,1.17,0.57,G0          
191,12.43,22.98,4.38,1.49,M3          
192,8.16,3.31,1.11,1.032,G5          
193,9.46,4.77,1.47,0.944,G8/K0III    
194,5.7,26.53,0.77,0.315,F0V         
195,7.62,8.08,1,0.517,F8          
196,8.95,0.98,1.18,1.677,K5          
197,8.97,1.62,1.16,0.952,K0          
198,8.94,5.12,1.11,0.276,A0          
199,7.24,4.07,0.88,0.074,A0          
200,10.32,3.17,1.67,0.323,F2          
201,8.24,10.06,0.99,0.474,F5          
202,8.62,2.6,1.1,0.303,F0          
203,9.18,2.16,1.59,0.981,K0III       
204,8.53,2.53,1,1.274,K3III       
205,8.54,8.84,1.25,0.384,F2          
206,8.56,9.32,1.02,0.436,G0          
208,9.41,2.46,1.07,0.967,G6/G8III    
207,5.87,1.57,1.67,1.073,G8III       
209,7.2,-0.69,9.62,0.085,A2V         
210,9.05,7.65,1.93,0.47,G0          
211,9.52,3.88,1.36,0.832,G8          
212,10.24,6.18,2.04,0.318,            
213,7.7,7.8,0.95,1.003,G5          
214,8.17,3.36,0.99,0.29,A3          
217,7.29,2.73,0.63,0.118,A0          
215,9.26,3.49,0.94,1.8,M2          
216,7.94,3.21,0.89,0.016,A0          
218,8.42,4.14,1.05,1.005,G8III       
219,8.56,10.78,1.28,0.602,F8          
220,7.52,6.27,0.81,0.18,A0          
221,7.74,7.68,1.11,0.483,F2          
222,8.85,2.62,1.16,1.113,K1III       
224,9.01,1.25,1.47,1.01,K0          
223,7.17,21.58,1.65,0.617,G0          
225,9.04,7.23,1.56,0.489,F3/F5V      
226,10.3,0.63,1.67,0.254,F0/F2V      
227,9.86,8.72,7.25,0.442,            
228,7.64,9.53,0.87,0.532,F8          
229,8.27,2.16,2.57,0.128,A0          
230,8.44,8.62,1.31,0.423,F2          
231,9.58,4.59,1.21,0.5,F6/F7IV     
232,8.43,5.18,1.11,0.007,A0V         
233,8.49,2.5,1.03,1.18,K0          
234,9.64,2.91,1.08,0.31,B8          
235,9.17,2.6,1.31,1.222,K0          
236,8.09,2.96,1.08,1.26,K0          
237,9,6.32,1.32,0.903,G8IV        
238,6.25,16.16,0.96,0.526,F6/F7V      
239,8.56,4.77,1.27,0.521,F5          
240,10.81,3.36,2.03,0.565,F8          
241,8.76,2.37,1.28,1.01,K0          
242,7.76,7.41,0.93,0.967,G8IV        
243,7.82,4.11,0.8,1.041,K0III       
244,7.9,3.49,0.74,0.668,F8          
245,8.52,3.31,1.13,1.036,G5          
246,9.73,18.29,1.56,0.99,K3          
247,9.19,6.08,1.68,0.346,F0          
248,8.1,9.03,1.17,0.342,F0          
249,8.75,13.24,1.03,0.552,F8          
250,8.14,5.19,1.99,0.88,K0          
