,System,SpT,Pday,Vmag,BmV,logM,logMe,logR,logRe,logg,logge,logT,logTe,logL,logLe,Mass[solMass],log.Teff [K],B-V,Absolute Mag,SpType,Temp(log),T(K)
320,V338_Vir-1,F5_V,5.985,9.15,0.47,0.1164,0.0007,0.1855,0.0028,4.183,0.006,3.818,0.006,0.599,0.024,1.307374470163133,3.818,0.47,3.3025,F,0.581835924057648,6576.578373554205
321,V338_Vir-2,F6_IV,5.985,9.15,0.47,0.1804,0.0006,0.3738,0.0017,3.871,0.003,3.808,0.004,0.934,0.017,1.5149559320403436,3.808,0.47,2.465,F,0.5806969397124367,6426.877173170194
322,UZ_Dra-1,F7_V,3.261,9.59,0.47,0.1271,0.0065,0.1173,0.0099,4.33,0.03,3.793,0.008,0.35,0.05,1.3399851948997974,3.793,0.47,3.925,F,0.5789828427027905,6208.690342300638
323,UZ_Dra-2,G0_V,3.261,9.59,0.47,0.0899,0.0071,0.0607,0.0076,4.4,0.03,3.777,0.008,0.18,0.05,1.229985523570472,3.777,0.47,4.35,G,0.577146984827525,5984.115950603199
324,V1143_Cyg-1,F5_V,7.641,5.89,0.47,0.1339,0.0013,0.1297,0.0052,4.31,0.03,3.821,0.013,0.53,0.06,1.361131234331307,3.821,0.47,3.475,F,0.5821770376884089,6622.165037017622
325,V1143_Cyg-2,F5_V,7.641,5.89,0.47,0.1245,0.0013,0.1212,0.0053,4.32,0.04,3.818,0.015,0.5,0.07,1.331987042313162,3.818,0.47,3.55,F,0.581835924057648,6576.578373554205
326,VZ_Cep-1,F3_V,1.183,9.72,0.47,0.1467,0.0046,0.1858,0.0034,4.213,0.008,3.824,0.01,0.634,0.041,1.4018450097984845,3.824,0.47,3.215,F,0.5825178836040624,6668.067692136218
327,VZ_Cep-2,G4_V,1.183,9.72,0.47,0.0444,0.0033,0.0179,0.0163,4.446,0.033,3.757,0.009,0.026,0.05,1.1076434916697433,3.757,0.47,4.734999999999999,G,0.5748411950633846,5714.786366718672
328,DM_Vir-1,F7_V,4.669,8.73,0.47,0.1626,0.0024,0.2463,0.0042,4.108,0.009,3.813,0.007,0.7,0.03,1.454119170375176,3.813,0.47,3.05,F,0.5812668052736706,6501.296903430909
329,DM_Vir-2,F7_V,4.669,8.73,0.47,0.1608,0.0024,0.2463,0.0042,4.106,0.009,3.813,0.007,0.7,0.03,1.448104823051373,3.813,0.47,3.05,F,0.5812668052736706,6501.296903430909
330,RZ_Cha-1,F5_V,2.832,8.1,0.47,0.1813,0.006,0.3549,0.0033,3.909,0.009,3.81,0.01,0.9,0.04,1.5180986707572135,3.81,0.47,2.55,F,0.5809249756756193,6456.542290346556
331,RZ_Cha-2,F5_V,2.832,8.1,0.47,0.1787,0.0078,0.3549,0.0033,3.907,0.01,3.81,0.01,0.9,0.04,1.5090373879486434,3.81,0.47,2.55,F,0.5809249756756193,6456.542290346556
332,V1022_Cas-1,F6_V,12.156,5.56,0.47,0.2111,0.0003,0.4099,0.0035,3.83,0.02,3.803,0.01,0.985,0.049,1.6259230952795536,3.803,0.47,2.3375,F,0.5801263254115825,6353.309318517436
333,V1022_Cas-2,F6_V,12.156,5.56,0.47,0.206,0.0003,0.3883,0.0039,3.87,0.01,3.808,0.01,0.961,0.046,1.6069412530128773,3.808,0.47,2.3975,F,0.5806969397124367,6426.877173170194
334,WW_Cam-1,A4_Vm,2.274,10.14,0.47,0.2833,0.0029,0.2813,0.0036,4.159,0.008,3.922,0.007,1.2,0.03,1.919994567954288,3.922,0.47,1.7999999999999998,A,0.5935075893317653,8356.030182312483
335,WW_Cam-2,A4_Vm,2.274,10.14,0.47,0.2725,0.0042,0.2572,0.0034,4.196,0.009,3.916,0.007,1.13,0.03,1.8728370830175487,3.916,0.47,1.975,A,0.5928426831311002,8241.38115013002
336,V1200_Cen-1,F5_V,2.483,8.5,0.46,0.144,0.0056,0.1483,0.0043,4.2855,0.0082,3.819,0.004,0.525,0.013,1.3931568029453032,3.819,0.46,3.4875,F,0.5819496583733178,6591.738952443213
337,V1200_Cen-2,none,2.483,8.5,0.46,-0.0638,0.0041,0.0622,0.0053,4.2496,0.0099,3.651,0.007,-0.319,0.025,0.863376055597438,3.651,0.46,5.5975,n,0.5624118329497274,4477.133041763624
338,V570_Per-1,F3_V,1.901,8.09,0.46,0.161,0.0019,0.187,0.0099,4.225,0.02,3.835,0.003,0.669,0.023,1.4487718535447616,3.835,0.46,3.1274999999999995,F,0.5837653682849998,6839.116472814293
339,V570_Per-2,F5_V,1.901,8.09,0.46,0.1302,0.002,0.13,0.0103,4.308,0.021,3.817,0.003,0.483,0.024,1.3495842460197804,3.817,0.46,3.5925,F,0.5817221599490988,6561.452663029057
340,BW_Aqr-1,F7_V,6.72,10.3,0.45,0.1377,0.0057,0.2388,0.0022,4.0982,0.004,3.81,0.007,0.669,0.027,1.3730931481927746,3.81,0.45,3.1274999999999995,F,0.5809249756756193,6456.542290346556
341,BW_Aqr-2,F7_V,6.72,10.3,0.45,0.167,0.0053,0.3161,0.0008,3.9731,0.0025,3.802,0.007,0.796,0.028,1.4689262776438667,3.802,0.45,2.81,F,0.5800121125294243,6338.69711256927
342,ASAS_J073507-0905.7-1,F5_V,1.446,9.32,0.45,0.162,0.0102,0.2135,0.0032,4.173,0.005,3.806,0.007,0.6,0.03,1.4521116175877422,3.806,0.45,3.3,F,0.5804687839510017,6397.348354826482
343,ASAS_J073507-0905.7-2,none,1.446,9.32,0.45,-0.0926,0.007,-0.0867,0.0058,4.519,0.01,3.64,0.011,-0.66,0.05,0.807978863683088,3.64,0.45,6.45,n,0.561101383649056,4365.158322401661
344,KIC_10031808-1,none,8.59,9.56,0.45,0.2408,0.0022,0.4133,0.0034,3.852,0.006,3.852,0.007,1.185,0.027,1.7410049263526075,3.852,0.45,1.8375,n,0.5856862784524969,7112.1351365332885
345,KIC_10031808-2,none,8.59,9.56,0.45,0.2548,0.0031,0.481,0.002,3.731,0.004,3.835,0.007,1.254,0.027,1.798042695177437,3.835,0.45,1.665,n,0.5837653682849998,6839.116472814293
346,AP_And-1,F5_V,1.587,11.19,0.44,0.1062,0.0015,0.0911,0.0022,4.3623,0.0044,3.817,0.01,0.403,0.04,1.2770267659777512,3.817,0.44,3.7925,F,0.5817221599490988,6561.452663029057
347,AP_And-2,F5_V,1.587,11.19,0.44,0.0973,0.0015,0.0775,0.0019,4.3805,0.0038,3.813,0.01,0.358,0.039,1.2511229769215944,3.813,0.44,3.905,F,0.5812668052736706,6501.296903430909
