logT,Absolute Mag,B-V,Predicted_SpT
3.806,3.77,0.44,F
3.816,3.85,0.41,F
3.798,4.19,0.47,F
3.786,4.52,0.52,G
4.325,1.05,0.26,A
4.075,1.06,0.42,A
4.0,1.43,0.49,F
4.212,1.87,0.33,A
4.02,2.04,0.47,A
4.237,2.21,0.31,A
4.167,2.47,0.36,F
4.0,2.77,0.49,F
3.981,2.8,0.52,F
3.918,2.81,0.64,F
3.918,2.81,0.64,F
3.918,2.81,0.64,F
4.0,3.05,0.49,F
3.869,3.12,0.76,G
3.914,3.16,0.65,F
3.873,3.18,0.75,G
3.892,3.7,0.7,G
3.936,4.1,0.6,F
3.945,-2.52,0.25,B
4.01,-1.04,0.16,A
4.225,-0.6,0.0,B
3.994,-0.56,0.18,A
4.03,-0.49,0.14,A
4.075,-0.3,0.1,A
4.167,0.17,0.04,B
4.325,0.18,-0.06,B
4.3,0.33,-0.05,B
4.075,0.75,0.1,A
3.927,0.94,0.3,A
3.994,1.6,0.18,A
3.981,1.87,0.2,A
4.04,1.87,0.13,A
3.981,2.0,0.2,A
3.936,2.06,0.28,A
3.936,2.08,0.28,A
3.981,2.2,0.2,A
4.01,2.27,0.16,A
3.963,2.29,0.23,A
3.927,2.46,0.3,A
3.969,2.46,0.22,A
3.936,2.46,0.28,A
3.877,2.47,0.42,F
3.877,2.47,0.42,F
3.877,2.47,0.42,F
3.932,2.51,0.29,A
3.936,2.52,0.28,A
3.822,2.57,0.58,F
3.789,2.57,0.7,F
3.885,2.65,0.4,F
3.819,2.72,0.59,F
3.825,2.82,0.57,F
3.862,2.85,0.46,F
3.862,2.85,0.46,F
3.862,2.85,0.46,F
3.806,2.95,0.63,F
3.789,3.04,0.7,F
3.834,3.04,0.54,F
3.847,3.04,0.5,F
3.847,3.04,0.5,F
3.847,3.04,0.5,F
3.806,3.17,0.63,F
3.816,3.23,0.6,F
3.813,3.24,0.61,F
3.834,3.28,0.54,F
3.834,3.28,0.54,F
3.834,3.28,0.54,F
3.795,3.3,0.67,G
3.806,3.36,0.63,F
3.755,3.59,0.85,G
3.806,3.65,0.63,G
3.806,3.65,0.63,G
3.806,3.65,0.63,G
3.8,3.69,0.65,G
3.8,3.69,0.65,G
3.8,3.69,0.65,G
3.816,3.7,0.6,F
3.777,3.74,0.75,G
3.795,3.85,0.67,G
3.795,3.85,0.67,G
3.795,3.85,0.67,G
3.732,3.86,0.95,K
3.759,3.97,0.83,G
3.635,0.03,1.88,K
3.635,0.03,1.88,K
3.635,0.03,1.88,K
4.05,0.27,0.47,A
3.707,0.58,1.46,K
3.707,0.58,1.46,K
3.707,0.58,1.46,K
4.167,0.72,0.39,A
4.212,1.03,0.36,A
4.2,1.12,0.37,A
4.01,1.17,0.51,F
4.325,1.42,0.29,A
4.05,1.49,0.47,F
4.117,1.59,0.42,F
3.936,1.64,0.63,A
4.04,1.69,0.48,F
4.02,1.83,0.5,A
3.956,2.18,0.59,F
3.981,2.19,0.55,F
3.981,2.19,0.55,F
3.981,2.19,0.55,F
4.05,2.24,0.47,F
4.02,2.25,0.5,F
4.02,2.27,0.5,F
3.994,2.66,0.53,F
3.941,2.67,0.62,F
3.941,2.67,0.62,F
3.941,2.67,0.62,F
4.05,-0.23,0.14,A
4.04,0.06,0.15,A
4.117,0.14,0.09,A
4.062,1.07,0.13,A
4.075,1.37,0.12,A
4.062,1.58,0.13,A
4.01,1.72,0.18,A
3.945,1.89,0.28,A
3.975,2.06,0.23,A
3.927,2.1,0.32,A
3.936,2.33,0.3,A
3.905,2.63,0.37,F
3.963,2.65,0.25,A
3.847,3.3,0.52,F
3.865,3.55,0.47,F
3.834,3.65,0.56,F
3.841,3.73,0.54,F
3.822,4.04,0.6,G
