logT,Absolute Mag,B-V,Predicted_SpT
3.767,5.85,0.686,K
3.742,5.95,0.795,K
3.737,6.06,0.817,K
3.744,6.07,0.786,K
3.797,6.07,0.554,K
3.755,6.1,0.736,K
4.183,-0.34,0.01,B
4.183,-0.34,0.01,B
4.15,-0.07,0.03,B
4.15,-0.07,0.03,B
4.167,0.16,0.02,B
4.167,0.16,0.02,B
4.183,0.39,0.01,B
4.183,0.39,0.01,B
4.167,0.5,0.02,A
4.167,0.5,0.02,A
4.087,0.59,0.07,A
4.087,0.59,0.07,A
4.03,1.01,0.12,A
4.03,1.01,0.12,A
4.03,1.01,0.12,A
4.03,1.01,0.12,A
4.133,1.13,0.04,A
4.133,1.13,0.04,A
3.95,1.6,0.23,A
3.95,1.6,0.23,A
4.03,1.66,0.12,A
4.03,1.66,0.12,A
3.941,1.89,0.25,A
3.941,1.89,0.25,A
3.994,1.89,0.16,A
3.994,1.89,0.16,A
3.918,2.18,0.3,A
3.918,2.18,0.3,A
3.95,2.64,0.23,A
3.95,2.64,0.23,A
3.927,3.01,0.28,F
3.927,3.01,0.28,F
3.918,3.21,0.3,F
3.918,3.21,0.3,F
3.892,3.36,0.36,F
3.892,3.36,0.36,F
3.644,3.37,1.4,K
3.644,3.37,1.4,K
3.644,3.37,1.4,K
3.644,3.37,1.4,K
3.862,3.4,0.44,F
3.862,3.4,0.44,F
3.862,3.4,0.44,F
3.862,3.4,0.44,F
3.865,3.67,0.43,F
3.865,3.67,0.43,F
3.847,3.93,0.48,F
3.847,3.93,0.48,F
3.828,4.16,0.54,F
3.828,4.16,0.54,F
3.844,4.21,0.49,F
3.844,4.21,0.49,F
3.29,4.22,1.99,K
3.685,4.44,1.17,K
3.685,4.44,1.17,K
3.685,4.44,1.17,K
3.685,4.44,1.17,K
3.862,4.45,0.44,G
3.604,4.48,1.59,K
3.858,4.5,0.45,G
3.773,4.53,0.75,G
3.773,4.53,0.75,G
3.604,4.65,1.59,K
3.847,4.69,0.48,G
3.8,4.79,0.63,G
3.8,4.79,0.63,G
3.646,4.87,1.39,K
3.646,4.87,1.39,K
3.646,4.87,1.39,K
3.646,4.87,1.39,K
3.809,4.89,0.6,G
3.661,4.91,1.31,K
3.661,4.91,1.31,K
3.661,4.91,1.31,K
3.661,4.91,1.31,K
3.837,4.93,0.51,G
3.666,4.98,1.27,K
3.666,4.98,1.27,K
3.666,4.98,1.27,K
3.666,4.98,1.27,K
3.669,5.0,1.25,K
3.669,5.0,1.25,K
3.669,5.0,1.25,K
3.669,5.0,1.25,K
3.834,5.06,0.52,G
3.773,5.11,0.75,G
3.773,5.11,0.75,G
3.644,5.2,1.4,K
3.644,5.2,1.4,K
3.644,5.2,1.4,K
3.644,5.2,1.4,K
3.24,5.25,2.03,K
3.795,5.34,0.65,G
3.816,5.37,0.58,G
3.773,5.4,0.75,G
3.75,5.44,0.85,K
3.75,5.44,0.85,K
3.822,5.45,0.56,G
3.813,5.46,0.59,G
3.604,5.48,1.59,K
3.888,5.59,0.37,G
3.568,5.66,1.72,K
3.748,5.69,0.86,K
3.752,5.7,0.84,K
3.633,5.71,1.45,K
3.633,5.71,1.45,K
3.633,5.71,1.45,K
3.633,5.71,1.45,K
3.654,5.73,1.31,K
3.654,5.73,1.31,K
3.654,5.73,1.31,K
3.654,5.73,1.31,K
3.655,5.78,1.3,K
3.655,5.78,1.3,K
3.655,5.78,1.3,K
3.655,5.78,1.3,K
3.755,5.99,0.83,K
3.803,6.04,0.62,K
3.806,6.08,0.61,K
3.806,6.1,0.61,K
3.716,6.15,1.0,K
3.716,6.15,1.0,K
3.844,6.24,0.49,K
3.764,6.34,0.79,K
3.743,6.37,0.88,K
3.841,6.67,0.5,K
3.574,-0.55,1.68,K
4.1,0.71,0.04,A
3.699,0.9,1.105,K
3.654,0.91,1.33,K
3.654,0.91,1.33,K
3.654,0.91,1.33,K
3.65,0.94,1.35,K
3.65,0.94,1.35,K
3.65,0.94,1.35,K
3.669,0.96,1.255,K
3.669,0.96,1.255,K
3.669,0.96,1.255,K
3.916,1.04,0.285,A
3.715,1.11,1.02,K
3.695,1.18,1.125,K
3.698,1.28,1.11,K
3.674,1.36,1.23,K
3.665,1.38,1.275,K
3.665,1.38,1.275,K
3.665,1.38,1.275,K
3.694,1.4,1.13,K
3.692,1.44,1.14,K
3.692,1.44,1.14,K
3.553,1.44,1.75,K
3.865,1.99,0.41,A
3.816,2.08,0.56,F
3.802,2.14,0.605,F
3.811,2.38,0.575,F
3.764,2.54,0.77,F
3.802,2.56,0.605,F
3.799,2.56,0.615,F
3.809,2.57,0.58,F
3.8,2.6,0.61,F
3.799,2.62,0.615,F
3.8,2.62,0.61,F
3.905,2.63,0.31,F
3.806,2.68,0.59,F
3.803,2.7,0.6,F
3.782,2.74,0.69,F
3.811,2.74,0.575,F
3.808,2.8,0.585,F
3.814,2.84,0.565,F
3.827,2.84,0.525,F
3.798,2.85,0.62,F
3.806,2.9,0.59,F
3.9,2.95,0.32,F
3.819,2.96,0.55,F
3.825,2.96,0.53,F
3.819,2.96,0.55,F
3.819,3.02,0.55,F
3.825,3.06,0.53,F
3.842,3.06,0.475,F
3.842,3.06,0.475,F
3.842,3.06,0.475,F
3.823,3.08,0.535,F
3.82,3.11,0.545,F
3.816,3.13,0.56,F
3.833,3.18,0.505,F
3.833,3.18,0.505,F
3.833,3.18,0.505,F
3.819,3.18,0.55,F
3.819,3.18,0.55,F
3.819,3.18,0.55,F
3.827,3.2,0.525,F
3.827,3.2,0.525,F
3.827,3.2,0.525,F
3.823,3.22,0.535,F
3.823,3.22,0.535,F
3.823,3.22,0.535,F
3.817,3.26,0.555,F
3.817,3.26,0.555,F
3.817,3.26,0.555,F
3.828,3.3,0.52,F
3.828,3.3,0.52,F
3.828,3.3,0.52,F
3.825,3.3,0.53,F
3.825,3.3,0.53,F
3.825,3.3,0.53,F
3.82,3.38,0.545,F
3.82,3.38,0.545,F
3.82,3.38,0.545,F
3.844,3.39,0.47,F
3.825,3.42,0.53,F
3.806,3.42,0.59,F
3.822,3.49,0.54,F
3.814,3.57,0.565,F
3.814,3.57,0.565,F
3.814,3.57,0.565,F
3.817,3.62,0.555,F
3.822,3.62,0.54,F
3.811,3.65,0.575,F
3.811,3.65,0.575,F
3.811,3.65,0.575,F
3.83,3.65,0.515,F
3.814,3.67,0.565,F
3.819,3.68,0.55,F
3.816,3.72,0.56,F
3.811,3.78,0.575,F
3.798,4.0,0.62,G
3.828,4.0,0.52,F
3.822,4.02,0.54,F
3.809,4.02,0.58,F
3.816,4.03,0.56,F
3.811,4.05,0.575,F
3.803,4.14,0.6,G
3.823,4.18,0.535,F
3.809,4.28,0.58,G
3.795,4.28,0.63,G
3.795,4.3,0.63,G
3.809,4.34,0.58,G
3.811,4.55,0.575,G
3.798,4.77,0.62,G
3.79,4.78,0.655,G
3.77,4.85,0.74,G
3.789,4.9,0.66,G
3.764,5.13,0.77,G
3.761,5.46,0.78,K
3.761,5.46,0.78,K
4.375,-2.66,-0.23,B
4.375,-2.66,-0.23,B
4.225,-0.63,-0.15,B
4.225,-0.63,-0.15,B
4.212,-0.6,-0.14,B
4.212,-0.6,-0.14,B
4.225,-0.57,-0.15,B
4.225,-0.57,-0.15,B
4.133,-0.18,-0.09,B
4.133,-0.18,-0.09,B
4.15,-0.08,-0.1,B
4.15,-0.08,-0.1,B
4.25,0.08,-0.17,B
4.117,0.9,-0.08,B
4.117,0.9,-0.08,B
4.02,1.04,0.0,A
4.02,1.04,0.0,A
4.075,1.3,-0.05,A
4.075,1.3,-0.05,A
4.117,1.31,-0.08,B
4.04,1.38,-0.02,A
4.04,1.38,-0.02,A
3.994,1.55,0.03,A
3.994,1.55,0.03,A
4.02,1.74,0.0,A
4.02,1.74,0.0,A
4.03,1.84,-0.01,A
4.03,1.84,-0.01,A
3.896,1.88,0.22,A
3.896,1.88,0.22,A
3.994,2.02,0.03,A
3.994,2.02,0.03,A
3.981,2.12,0.05,A
3.981,2.12,0.05,A
3.988,2.14,0.04,A
3.988,2.14,0.04,A
3.988,2.17,0.04,A
3.988,2.17,0.04,A
3.945,2.32,0.11,A
3.945,2.32,0.11,A
3.945,2.41,0.11,A
3.945,2.41,0.11,A
3.956,2.42,0.09,A
3.956,2.42,0.09,A
3.927,2.7,0.15,A
3.927,2.7,0.15,A
3.918,2.76,0.17,A
3.918,2.76,0.17,A
3.896,2.8,0.22,A
3.896,2.8,0.22,A
3.9,2.81,0.21,A
3.9,2.81,0.21,A
3.8,3.0,0.5,F
3.8,3.0,0.5,F
3.809,3.42,0.47,F
3.809,3.42,0.47,F
3.8,3.55,0.5,F
3.8,3.55,0.5,F
3.819,3.73,0.44,F
3.819,3.73,0.44,F
3.748,3.89,0.73,G
3.748,3.89,0.73,G
3.681,3.96,1.07,K
3.681,3.96,1.07,K
3.681,3.96,1.07,K
3.681,3.96,1.07,K
3.896,4.02,0.22,F
3.697,4.36,0.96,K
3.697,4.36,0.96,K
3.697,4.36,0.96,K
3.697,4.36,0.96,K
3.665,4.38,1.16,K
3.665,4.38,1.16,K
3.665,4.38,1.16,K
3.665,4.38,1.16,K
3.782,4.5,0.58,G
3.782,4.5,0.58,G
3.777,4.55,0.6,G
3.777,4.55,0.6,G
3.8,4.57,0.5,G
3.825,4.59,0.42,G
3.803,4.62,0.49,G
3.646,4.68,1.26,K
3.646,4.68,1.26,K
3.646,4.68,1.26,K
3.646,4.68,1.26,K
3.77,4.84,0.63,G
3.77,4.84,0.63,G
3.793,4.98,0.53,G
3.854,4.99,0.33,G
3.784,5.04,0.57,G
3.831,5.1,0.4,G
3.65,5.14,1.22,K
3.65,5.14,1.22,K
3.65,5.14,1.22,K
3.65,5.14,1.22,K
3.691,5.15,0.98,K
3.691,5.15,0.98,K
3.691,5.15,0.98,K
3.691,5.15,0.98,K
3.786,5.2,0.56,G
3.68,5.21,1.03,K
3.68,5.21,1.03,K
3.68,5.21,1.03,K
3.68,5.21,1.03,K
3.773,5.26,0.62,G
3.67,5.26,1.08,K
3.67,5.26,1.08,K
3.67,5.26,1.08,K
3.67,5.26,1.08,K
3.714,5.28,0.88,K
3.714,5.28,0.88,K
3.653,5.31,1.19,K
3.653,5.31,1.19,K
3.653,5.31,1.19,K
3.653,5.31,1.19,K
3.655,5.39,1.17,K
3.655,5.39,1.17,K
3.655,5.39,1.17,K
3.655,5.39,1.17,K
3.698,5.4,0.95,K
3.698,5.4,0.95,K
3.698,5.4,0.95,K
3.698,5.4,0.95,K
3.755,5.43,0.7,G
3.579,5.43,1.55,K
3.8,5.46,0.5,G
3.757,5.49,0.69,K
3.768,5.52,0.64,K
3.665,5.52,1.1,K
3.665,5.52,1.1,K
3.665,5.52,1.1,K
3.665,5.52,1.1,K
3.759,5.52,0.68,K
3.633,5.54,1.32,K
3.633,5.54,1.32,K
3.633,5.54,1.32,K
3.633,5.54,1.32,K
3.608,5.57,1.44,K
3.798,5.64,0.51,K
3.707,5.89,0.91,K
3.707,5.89,0.91,K
3.707,5.89,0.91,K
3.707,5.89,0.91,K
3.725,6.02,0.83,K
4.212,-2.27,-0.18,B
4.2,-1.02,-0.17,B
4.15,-0.67,-0.14,B
4.167,-0.4,-0.15,B
4.183,-0.36,-0.16,B
4.15,-0.31,-0.14,B
4.087,0.44,-0.1,B
4.087,0.57,-0.1,B
4.02,1.36,-0.04,A
3.994,1.41,-0.01,A
3.988,1.5,0.0,A
3.945,1.69,0.07,A
3.945,1.8,0.07,A
3.892,1.83,0.19,A
3.892,1.87,0.19,A
3.936,1.96,0.09,A
3.888,2.24,0.2,A
3.881,2.62,0.22,A
3.885,2.66,0.21,A
3.816,2.86,0.41,F
3.816,2.86,0.41,F
3.816,2.86,0.41,F
3.809,3.02,0.43,F
3.809,3.02,0.43,F
3.809,3.02,0.43,F
3.831,3.2,0.36,F
3.822,3.41,0.39,F
3.825,3.48,0.38,F
3.795,3.96,0.48,F
4.768,-6.78,-0.32,O
4.768,-6.78,-0.32,O
4.275,-6.58,-0.22,O
4.275,-6.58,-0.22,O
5.008,-6.43,-0.35,O
4.964,-5.84,-0.35,O
4.95,-5.61,-0.35,O
4.284,-4.76,-0.23,O
4.284,-4.76,-0.23,O
4.6,-4.7,-0.31,O
4.6,-4.7,-0.31,O
4.5,-4.69,-0.3,O
4.5,-4.69,-0.3,O
4.5,-4.69,-0.3,O
4.5,-4.69,-0.3,O
4.5,-4.66,-0.3,O
4.5,-4.66,-0.3,O
4.5,-4.66,-0.3,O
4.5,-4.66,-0.3,O
4.85,-4.59,-0.34,O
4.6,-4.32,-0.31,O
4.6,-4.32,-0.31,O
4.8,-4.12,-0.33,O
4.375,-3.85,-0.27,B
4.375,-3.85,-0.27,B
3.727,-3.79,0.95,G
3.727,-3.79,0.95,G
3.727,-3.79,0.95,G
3.727,-3.79,0.95,G
4.45,-3.62,-0.29,B
4.45,-3.62,-0.29,B
4.8,-3.57,-0.33,B
4.6,-3.55,-0.31,B
4.4,-3.55,-0.28,B
4.4,-3.55,-0.28,B
4.4,-3.55,-0.28,B
4.4,-3.55,-0.28,B
4.4,-3.51,-0.28,B
4.4,-3.51,-0.28,B
4.4,-3.51,-0.28,B
4.4,-3.51,-0.28,B
4.375,-3.44,-0.27,B
4.375,-3.44,-0.27,B
4.375,-3.44,-0.27,B
4.375,-3.44,-0.27,B
4.45,-3.04,-0.29,B
4.45,-3.04,-0.29,B
4.375,-3.03,-0.27,B
4.375,-3.03,-0.27,B
4.375,-3.03,-0.27,B
4.375,-3.03,-0.27,B
4.133,-3.01,-0.13,B
4.133,-3.01,-0.13,B
4.375,-2.97,-0.27,B
4.375,-2.97,-0.27,B
4.133,-2.95,-0.13,B
4.133,-2.95,-0.13,B
4.3,-2.89,-0.24,B
4.3,-2.89,-0.24,B
4.4,-2.82,-0.28,B
4.4,-2.82,-0.28,B
4.375,-2.8,-0.27,B
4.375,-2.8,-0.27,B
4.375,-2.8,-0.27,B
4.375,-2.8,-0.27,B
4.5,-2.75,-0.3,B
4.4,-2.74,-0.28,B
4.4,-2.74,-0.28,B
4.1,-2.74,-0.11,B
4.1,-2.74,-0.11,B
4.35,-2.73,-0.26,B
4.35,-2.73,-0.26,B
4.35,-2.73,-0.26,B
4.35,-2.73,-0.26,B
4.45,-2.65,-0.29,B
4.45,-2.65,-0.29,B
4.45,-2.51,-0.29,B
4.45,-2.51,-0.29,B
4.45,-2.48,-0.29,B
4.45,-2.48,-0.29,B
4.238,-2.44,-0.2,B
4.238,-2.44,-0.2,B
3.994,-2.44,-0.01,B
3.994,-2.44,-0.01,B
4.35,-2.36,-0.26,B
4.35,-2.36,-0.26,B
4.35,-2.33,-0.26,B
4.35,-2.33,-0.26,B
4.325,-2.29,-0.25,B
4.325,-2.29,-0.25,B
4.15,-2.22,-0.14,B
4.15,-2.22,-0.14,B
3.705,-2.18,1.07,G
3.705,-2.18,1.07,G
3.705,-2.18,1.07,G
3.705,-2.18,1.07,G
4.375,-2.17,-0.27,B
4.375,-2.17,-0.27,B
4.167,-2.08,-0.15,B
4.167,-2.08,-0.15,B
4.267,-1.95,-0.22,B
4.267,-1.95,-0.22,B
4.267,-1.95,-0.22,B
4.267,-1.95,-0.22,B
4.062,-1.93,-0.08,B
4.062,-1.93,-0.08,B
4.062,-1.92,-0.08,B
4.062,-1.92,-0.08,B
3.785,-1.78,0.57,G
3.785,-1.78,0.57,G
3.785,-1.78,0.57,G
3.785,-1.78,0.57,G
3.994,-1.77,-0.01,B
3.994,-1.77,-0.01,B
4.375,-1.76,-0.27,B
4.375,-1.76,-0.27,B
4.35,-1.72,-0.26,B
4.35,-1.72,-0.26,B
4.375,-1.68,-0.27,B
4.375,-1.68,-0.27,B
4.25,-1.63,-0.21,B
4.25,-1.63,-0.21,B
4.25,-1.63,-0.21,B
4.25,-1.63,-0.21,B
4.05,-1.63,-0.07,B
4.05,-1.63,-0.07,B
4.35,-1.59,-0.26,B
4.35,-1.59,-0.26,B
4.283,-1.43,-0.23,B
4.283,-1.43,-0.23,B
3.956,-1.41,0.05,B
3.956,-1.41,0.05,B
3.994,-1.36,-0.01,B
3.994,-1.36,-0.01,B
3.674,-1.36,1.13,G
3.674,-1.36,1.13,G
3.674,-1.36,1.13,G
3.674,-1.36,1.13,G
3.655,-1.34,1.22,G
3.655,-1.34,1.22,G
3.655,-1.34,1.22,G
3.655,-1.34,1.22,G
3.988,-1.26,0.0,B
3.988,-1.26,0.0,B
4.225,-1.15,-0.19,B
4.225,-1.15,-0.19,B
4.238,-1.12,-0.2,B
4.238,-1.12,-0.2,B
4.133,-1.1,-0.13,B
4.133,-1.1,-0.13,B
4.212,-1.06,-0.18,B
4.212,-1.06,-0.18,B
4.062,-1.05,-0.08,B
4.062,-1.05,-0.08,B
4.02,-1.03,-0.04,B
4.02,-1.03,-0.04,B
4.267,-0.98,-0.22,B
4.267,-0.98,-0.22,B
4.02,-0.85,-0.04,B
4.02,-0.85,-0.04,B
4.225,-0.83,-0.19,B
4.225,-0.83,-0.19,B
4.212,-0.8,-0.18,B
4.212,-0.8,-0.18,B
4.05,-0.72,-0.07,B
4.05,-0.72,-0.07,B
4.183,-0.69,-0.16,B
4.183,-0.69,-0.16,B
3.715,-0.3,0.87,G
3.715,-0.3,0.87,G
3.715,-0.3,0.87,G
3.715,-0.3,0.87,G
4.167,-0.08,-0.15,B
4.167,-0.08,-0.15,B
4.087,0.33,-0.1,B
4.087,0.33,-0.1,B
3.956,0.74,0.05,A
3.956,0.74,0.05,A
3.963,0.86,0.04,A
3.963,0.86,0.04,A
3.065,1.78,2.52,K
2.74,1.84,2.78,K
3.629,2.07,1.82,K
3.629,2.07,1.82,K
3.629,2.07,1.82,K
3.858,2.1,0.8,F
4.03,2.34,0.47,F
3.428,2.35,2.23,K
3.85,2.37,0.82,F
3.627,2.42,1.83,K
3.9,2.43,0.69,F
3.631,2.43,1.81,K
3.631,2.43,1.81,K
3.631,2.43,1.81,K
3.638,2.53,1.78,K
3.638,2.53,1.78,K
3.638,2.53,1.78,K
3.869,2.58,0.77,F
3.994,2.58,0.51,F
4.087,2.58,0.42,F
3.674,2.6,1.6,K
3.784,2.63,1.05,K
4.01,2.64,0.49,F
3.9,2.65,0.69,F
3.615,2.69,1.89,K
3.869,2.72,0.77,F
3.644,2.77,1.75,K
3.644,2.77,1.75,K
3.644,2.77,1.75,K
3.865,2.78,0.78,F
3.674,2.85,1.6,K
3.666,2.88,1.64,K
3.666,2.88,1.64,K
3.666,2.88,1.64,K
3.981,2.9,0.53,F
3.847,2.9,0.83,G
3.854,2.91,0.81,G
3.975,3.19,0.54,F
3.658,3.25,1.68,K
3.658,3.25,1.68,K
3.658,3.25,1.68,K
3.865,3.37,0.78,G
3.927,3.49,0.63,F
3.918,3.52,0.65,F
3.95,3.53,0.58,F
3.819,3.66,0.92,G
3.885,3.67,0.73,G
3.927,3.8,0.63,F
3.9,3.87,0.69,G
3.858,3.91,0.8,G
3.858,3.91,0.8,G
3.858,3.91,0.8,G
3.888,3.92,0.72,G
3.885,4.08,0.73,G
3.877,4.15,0.75,G
3.873,4.23,0.76,G
3.854,4.24,0.81,G
3.858,4.3,0.8,G
3.858,4.33,0.8,G
3.873,4.34,0.76,G
3.847,4.39,0.83,G
3.877,4.42,0.75,G
3.844,4.51,0.84,G
3.858,4.54,0.8,G
3.816,4.56,0.93,G
3.816,4.56,0.93,G
3.816,4.56,0.93,G
3.892,4.58,0.71,G
3.865,4.64,0.78,G
3.858,4.64,0.8,G
3.858,4.71,0.8,G
3.847,4.74,0.83,G
3.809,4.89,0.95,K
3.825,4.91,0.9,G
3.8,4.93,0.98,K
3.8,4.93,0.98,K
3.8,4.93,0.98,K
3.873,4.94,0.76,G
3.831,4.96,0.88,G
3.873,4.97,0.76,G
3.841,4.99,0.85,G
3.806,5.02,0.96,K
3.813,5.11,0.94,K
3.798,5.13,0.99,K
3.8,5.18,0.98,K
3.782,5.19,1.06,K
3.782,5.19,1.06,K
3.782,5.19,1.06,K
3.858,5.22,0.8,G
3.791,5.3,1.02,K
4.3,-1.99,0.28,B
4.3,-1.99,0.28,B
3.766,-1.26,1.24,G
3.766,-1.26,1.24,G
3.766,-1.26,1.24,G
3.766,-1.26,1.24,G
4.4,-0.6,0.24,A
4.4,-0.6,0.24,A
4.1,-0.24,0.41,B
4.1,-0.24,0.41,B
4.225,0.27,0.33,A
4.225,0.27,0.33,A
4.25,0.28,0.31,A
4.25,0.28,0.31,A
4.183,0.38,0.36,A
4.183,0.38,0.36,A
4.183,0.38,0.36,A
4.183,0.38,0.36,A
4.212,0.66,0.34,A
4.212,0.66,0.34,A
4.35,0.67,0.26,A
4.225,0.73,0.33,A
4.225,0.73,0.33,A
4.03,0.73,0.47,A
4.03,0.73,0.47,A
4.04,0.9,0.46,A
4.04,0.9,0.46,A
4.1,0.92,0.41,A
4.1,0.92,0.41,A
4.15,0.92,0.38,A
4.15,0.92,0.38,A
4.117,0.94,0.4,A
4.117,0.94,0.4,A
4.117,0.94,0.4,A
4.117,0.94,0.4,A
4.183,1.14,0.36,A
4.183,1.14,0.36,A
4.117,1.26,0.4,A
4.117,1.26,0.4,A
4.167,1.28,0.37,A
4.167,1.28,0.37,A
4.087,1.41,0.42,F
4.087,1.41,0.42,F
4.087,1.41,0.42,F
4.087,1.41,0.42,F
4.05,1.62,0.45,F
4.05,1.62,0.45,F
4.05,1.62,0.45,F
4.05,1.62,0.45,F
4.2,1.74,0.35,A
4.2,1.74,0.35,A
3.95,2.12,0.58,A
3.95,2.12,0.58,A
4.062,2.16,0.44,F
4.062,2.16,0.44,F
4.04,2.22,0.46,F
4.04,2.22,0.46,F
4.062,2.27,0.44,F
4.062,2.27,0.44,F
4.117,2.42,0.4,F
4.117,2.42,0.4,F
4.133,2.44,0.39,F
4.05,2.49,0.45,F
4.05,2.49,0.45,F
3.988,2.78,0.52,F
3.988,2.78,0.52,F
4.087,2.92,0.42,F
4.117,-1.91,0.16,B
4.117,-1.91,0.16,B
4.1,-0.42,0.17,A
4.1,-0.42,0.17,A
4.283,0.23,0.05,B
4.283,0.23,0.05,B
4.238,0.24,0.08,A
4.238,0.24,0.08,A
4.133,0.46,0.15,A
4.133,0.46,0.15,A
4.15,0.84,0.14,A
4.15,0.84,0.14,A
4.087,1.09,0.18,A
4.087,1.09,0.18,A
4.133,1.22,0.15,A
4.133,1.22,0.15,A
4.01,1.84,0.25,A
4.01,1.84,0.25,A
4.04,2.09,0.22,A
4.04,2.09,0.22,A
4.05,2.18,0.21,A
4.05,2.18,0.21,A
3.988,2.48,0.28,A
3.988,2.48,0.28,A
4.0,2.49,0.26,A
4.0,2.49,0.26,A
4.04,2.63,0.22,A
4.01,2.78,0.25,A
4.01,2.78,0.25,A
4.0,2.79,0.26,A
4.0,2.79,0.26,A
3.95,2.81,0.34,F
3.95,2.81,0.34,F
3.881,2.89,0.5,F
3.881,2.89,0.5,F
3.896,2.99,0.46,F
3.896,2.99,0.46,F
3.896,2.99,0.46,F
3.896,2.99,0.46,F
3.923,3.1,0.4,F
3.923,3.1,0.4,F
3.936,3.12,0.37,F
3.936,3.12,0.37,F
4.01,3.14,0.25,F
3.885,3.17,0.49,F
3.885,3.17,0.49,F
3.885,3.17,0.49,F
3.885,3.17,0.49,F
3.956,3.38,0.33,F
3.862,3.45,0.55,F
3.862,3.45,0.55,F
3.862,3.45,0.55,F
3.862,3.45,0.55,F
3.914,3.46,0.42,F
3.914,3.46,0.42,F
3.923,3.48,0.4,F
3.923,3.48,0.4,F
3.877,3.6,0.51,F
3.877,3.6,0.51,F
3.896,3.61,0.46,F
3.896,3.61,0.46,F
3.869,3.68,0.53,F
3.869,3.68,0.53,F
3.873,3.71,0.52,F
3.873,3.71,0.52,F
3.858,3.74,0.56,F
3.858,3.74,0.56,F
3.858,3.74,0.56,F
3.858,3.74,0.56,F
3.85,3.86,0.58,F
3.85,3.86,0.58,F
3.85,3.86,0.58,F
3.85,3.86,0.58,F
3.869,3.92,0.53,F
3.869,3.92,0.53,F
3.803,4.02,0.73,G
3.803,4.02,0.73,G
3.847,4.12,0.59,G
3.847,4.12,0.59,G
3.865,4.14,0.54,F
3.865,4.14,0.54,F
3.702,2.04,1.73,K
3.702,2.04,1.73,K
3.702,2.04,1.73,K
3.721,2.15,1.63,K
4.4,2.24,0.51,F
3.704,2.29,1.72,K
5.45,2.45,0.39,A
4.075,2.52,0.7,F
3.727,2.6,1.6,K
3.752,2.81,1.47,K
3.71,2.92,1.69,K
4.4,2.94,0.51,F
3.813,2.95,1.21,K
3.719,2.97,1.64,K
3.725,2.98,1.61,K
3.74,3.0,1.53,K
3.742,3.02,1.52,K
3.706,3.05,1.71,K
3.694,3.12,1.77,K
3.702,3.16,1.73,K
3.579,3.2,2.3,K
3.969,3.47,0.82,G
3.956,3.58,0.84,G
3.816,3.6,1.2,K
3.914,3.71,0.93,G
3.914,3.71,0.93,G
3.914,3.71,0.93,G
3.784,3.72,1.32,K
3.803,3.77,1.24,K
3.789,3.85,1.3,K
3.838,3.9,1.13,K
3.795,3.94,1.27,K
3.777,3.97,1.35,K
3.927,4.03,0.9,G
3.784,4.06,1.32,K
3.786,4.06,1.31,K
3.825,4.1,1.17,K
3.786,4.1,1.31,K
3.816,4.13,1.2,K
3.822,4.16,1.18,K
3.858,4.2,1.07,K
3.838,4.3,1.13,K
3.813,4.3,1.21,K
3.854,4.41,1.08,K
3.862,4.45,1.06,K
3.862,4.45,1.06,K
3.862,4.45,1.06,K
3.816,4.56,1.2,K
3.793,4.57,1.28,K
3.905,4.58,0.95,G
3.844,4.58,1.11,K
3.909,4.59,0.94,G
3.831,4.6,1.15,K
3.838,4.63,1.13,K
3.838,4.65,1.13,K
3.831,4.65,1.15,K
3.881,4.66,1.01,K
3.838,4.66,1.13,K
3.834,4.7,1.14,K
3.816,4.75,1.2,K
3.816,4.76,1.2,K
3.936,4.8,0.88,G
3.885,4.83,1.0,K
3.844,4.83,1.11,K
3.844,4.83,1.11,K
3.844,4.83,1.11,K
3.877,4.84,1.02,K
3.834,4.85,1.14,K
3.834,4.85,1.14,K
3.834,4.85,1.14,K
3.888,4.86,0.99,K
3.841,4.86,1.12,K
3.841,4.86,1.12,K
3.841,4.86,1.12,K
3.862,4.89,1.06,K
3.822,4.9,1.18,K
3.881,4.9,1.01,K
3.854,4.93,1.08,K
3.838,4.95,1.13,K
3.838,4.95,1.13,K
3.838,4.95,1.13,K
3.918,4.96,0.92,G
3.885,4.97,1.0,K
3.865,4.97,1.05,K
3.822,4.97,1.18,K
3.847,4.98,1.1,K
3.831,5.01,1.15,K
3.831,5.01,1.15,K
3.831,5.01,1.15,K
3.844,5.04,1.11,K
3.838,5.09,1.13,K
3.988,5.09,0.79,G
4.01,5.11,0.76,G
3.862,5.12,1.06,K
3.888,5.14,0.99,K
3.85,5.14,1.09,K
3.834,5.15,1.14,K
3.885,5.15,1.0,K
3.854,5.17,1.08,K
3.838,5.18,1.13,K
3.885,5.18,1.0,K
3.844,5.19,1.11,K
3.936,5.19,0.88,G
3.888,5.2,0.99,K
3.847,5.2,1.1,K
3.865,5.22,1.05,K
3.877,5.22,1.02,K
3.888,5.24,0.99,K
3.862,5.24,1.06,K
3.838,5.25,1.13,K
3.885,5.26,1.0,K
3.834,5.26,1.14,K
3.858,5.26,1.07,K
3.831,5.29,1.15,K
3.9,5.29,0.96,K
3.847,5.3,1.1,K
3.828,5.31,1.16,K
3.786,5.33,1.31,K
3.838,5.36,1.13,K
3.923,5.37,0.91,G
3.95,5.38,0.85,G
3.803,5.4,1.24,K
3.828,5.4,1.16,K
3.838,5.41,1.13,K
3.858,5.41,1.07,K
3.885,5.42,1.0,K
3.844,5.43,1.11,K
3.825,5.43,1.17,K
