System,SpT,Pday,Vmag,BmV,logM,logMe,logR,logRe,logg,logge,logT,logTe,logL,logLe,Mass[solMass],log.Teff [K],B-V,Absolute Mag
WX_Cep-2,A,3.378,9.03,0.11,0.3672,0.0084,0.4331,0.0037,3.939,0.011,3.949,0.012,1.62,0.05,2.32916363,3.949,0.11,0.75
AR_Aur-1,B,4.135,6.17,0.04,0.4055,0.0015,0.255,0.0031,4.333,0.008,4.039,0.012,1.61,0.05,2.543899793,4.039,0.04,0.775
AR_Aur-2,B,4.135,6.17,0.04,0.3725,0.0015,0.2634,0.0045,4.284,0.01,4.015,0.013,1.53,0.05,2.357762196,4.015,0.04,0.975
OGLE-SMC-ECL-2876-1,G,120.867,17.49,0.5,0.4082,0.0068,1.2175,0.0105,2.41,0.02,3.745,0.008,2.371,0.037,2.559764431,3.745,0.5,-1.1275
OGLE-SMC-ECL-2876-2,G,120.867,17.49,0.5,0.3997,0.0052,1.238,0.01,2.36,0.02,3.712,0.008,2.279,0.034,2.510151881,3.712,0.5,-0.8975
OGLE-SMC-ECL-1859-1,G,75.544,17.69,0.92,0.4116,0.0051,1.2095,0.008,2.43,0.02,3.744,0.008,2.35,0.035,2.579882936,3.744,0.92,-1.075
OGLE-SMC-ECL-1859-2,G,75.544,17.69,0.92,0.3945,0.0035,1.2718,0.007,2.29,0.01,3.695,0.009,2.276,0.037,2.480275938,3.695,0.92,-0.89
HD_96609-1,B,8.192,8.61,0.02,0.4249,0.0033,0.4378,0.001,3.987,0.001,3.985,0.011,1.76,0.04,2.660112476,3.985,0.02,0.4
OGLE-SMC-ECL-0727-1,G,316.572,18.11,1.04,0.4281,0.0065,1.1644,0.0059,2.53,0.01,3.724,0.008,2.182,0.034,2.679785297,3.724,1.04,-0.655
OGLE-SMC-ECL-0727-2,G,316.572,18.11,1.04,0.4099,0.0068,1.3096,0.0064,2.23,0.01,3.684,0.008,2.31,0.034,2.569803995,3.684,1.04,-0.975
OGLE-LMC-ECL-05430-1,G,505.183,16.61,1.2,0.4341,0.0027,1.4622,0.0054,1.948,0.011,3.673,0.006,2.572,0.028,2.717064824,3.673,1.2,-1.63
