logL,Mass[solMass],Vmag,logT,Absolute Mag,B-V,Predicted_SpT
1.36,1.94,13.6,3.847,2.9,0.84,F
1.37,1.99,13.61,3.809,2.91,0.96,F
1.39,2.14,13.62,3.758,2.92,1.18,G
1.3,1.87,13.75,3.837,3.05,0.87,F
1.29,2.02,13.8,3.905,3.1,0.69,A
1.29,1.97,13.8,3.905,3.1,0.69,A
1.29,1.89,13.8,3.905,3.1,0.69,A
1.28,1.84,13.8,3.854,3.1,0.82,F
1.27,1.84,13.84,3.831,3.14,0.89,F
1.27,1.86,13.85,3.806,3.15,0.97,F
1.46,2.5,13.86,4.062,3.16,0.45,B
1.25,1.81,13.89,3.873,3.19,0.77,A
1.25,1.82,13.9,3.816,3.2,0.94,F
1.24,1.79,13.91,3.844,3.21,0.85,F
1.24,1.8,13.91,3.869,3.21,0.78,A
1.23,1.8,13.94,3.877,3.24,0.76,A
1.22,1.78,13.95,3.865,3.25,0.79,A
1.22,1.79,13.96,3.822,3.26,0.92,F
1.22,1.95,13.97,3.9,3.27,0.7,A
1.22,1.84,13.97,3.9,3.27,0.7,A
1.22,1.83,13.97,3.9,3.27,0.7,A
1.21,1.94,13.99,3.9,3.29,0.7,A
1.21,1.83,13.99,3.9,3.29,0.7,A
1.21,1.82,13.99,3.9,3.29,0.7,A
1.36,2.31,13.99,4.03,3.29,0.48,B
1.2,1.76,14.0,3.837,3.3,0.87,F
1.2,1.77,14.0,3.865,3.3,0.79,A
1.2,1.76,14.0,3.862,3.3,0.8,A
1.3,2.23,14.01,3.706,3.31,1.45,G
1.2,1.75,14.02,3.837,3.32,0.87,F
1.19,1.74,14.03,3.85,3.33,0.83,F
1.19,1.76,14.04,3.869,3.34,0.78,A
1.18,1.74,14.04,3.854,3.34,0.82,F
1.18,1.76,14.05,3.877,3.35,0.76,A
1.18,1.74,14.06,3.825,3.36,0.91,F
1.17,1.74,14.07,3.862,3.37,0.8,A
1.17,1.73,14.08,3.854,3.38,0.82,F
1.16,1.71,14.12,3.825,3.42,0.91,F
1.15,1.86,14.15,3.885,3.45,0.74,A
1.15,1.79,14.15,3.885,3.45,0.74,A
1.15,1.75,14.15,3.885,3.45,0.74,A
1.16,1.74,14.18,3.78,3.48,1.08,F
1.13,1.84,14.18,3.873,3.48,0.77,A
1.13,1.84,14.18,3.873,3.48,0.77,A
1.13,1.72,14.18,3.873,3.48,0.77,A
1.12,1.83,14.22,3.881,3.52,0.75,A
1.12,1.76,14.22,3.881,3.52,0.75,A
1.12,1.72,14.22,3.881,3.52,0.75,A
1.11,1.67,14.22,3.847,3.52,0.84,F
1.11,1.69,14.22,3.862,3.52,0.8,A
1.11,1.83,14.23,3.885,3.53,0.74,A
1.11,1.73,14.23,3.885,3.53,0.74,A
1.11,1.72,14.23,3.885,3.53,0.74,A
1.1,1.67,14.25,3.854,3.55,0.82,F
1.1,1.65,14.27,3.831,3.57,0.89,F
1.09,1.65,14.28,3.841,3.58,0.86,F
1.1,1.82,14.28,3.896,3.58,0.71,A
1.1,1.84,14.28,3.909,3.58,0.68,A
1.09,1.65,14.28,3.831,3.58,0.89,F
1.08,1.64,14.31,3.837,3.61,0.87,F
1.08,1.79,14.31,3.865,3.61,0.79,A
1.08,1.77,14.31,3.865,3.61,0.79,A
1.08,1.67,14.31,3.865,3.61,0.79,A
1.08,1.81,14.32,3.896,3.62,0.71,A
1.08,1.81,14.33,3.905,3.63,0.69,A
1.07,1.79,14.35,3.892,3.65,0.72,A
1.1,1.9,14.36,3.945,3.66,0.6,A
1.06,1.78,14.37,3.885,3.67,0.74,A
1.06,1.8,14.38,3.905,3.68,0.69,A
1.06,1.61,14.38,3.819,3.68,0.93,F
1.05,1.77,14.38,3.877,3.68,0.76,A
1.05,1.76,14.38,3.862,3.68,0.8,A
1.05,1.74,14.38,3.862,3.68,0.8,A
1.05,1.64,14.38,3.862,3.68,0.8,A
1.11,1.96,14.39,3.969,3.69,0.56,A
1.05,1.77,14.39,3.885,3.69,0.74,A
1.04,1.75,14.41,3.858,3.71,0.81,A
1.04,1.74,14.41,3.858,3.71,0.81,A
1.04,1.62,14.41,3.858,3.71,0.81,A
1.04,1.77,14.42,3.896,3.72,0.71,A
1.02,1.75,14.45,3.881,3.75,0.75,A
1.03,1.77,14.45,3.905,3.75,0.69,A
1.02,1.73,14.45,3.858,3.75,0.81,A
1.02,1.71,14.45,3.858,3.75,0.81,A
1.02,1.61,14.45,3.858,3.75,0.81,A
1.02,1.76,14.46,3.896,3.76,0.71,A
1.02,1.77,14.47,3.905,3.77,0.69,A
1.02,1.76,14.48,3.905,3.78,0.69,A
1.01,1.72,14.48,3.862,3.78,0.8,A
1.01,1.66,14.48,3.862,3.78,0.8,A
1.01,1.61,14.48,3.862,3.78,0.8,A
1.01,1.74,14.49,3.888,3.79,0.73,A
1.0,1.72,14.5,3.862,3.8,0.8,A
1.0,1.65,14.5,3.862,3.8,0.8,A
1.0,1.61,14.5,3.862,3.8,0.8,A
1.02,1.82,14.52,3.932,3.82,0.63,A
0.99,1.71,14.54,3.881,3.84,0.75,A
0.99,1.71,14.54,3.881,3.84,0.75,A
0.99,1.55,14.54,3.819,3.84,0.93,F
0.99,1.71,14.54,3.881,3.84,0.75,A
0.99,1.56,14.54,3.834,3.84,0.88,F
0.99,1.72,14.55,3.892,3.85,0.72,A
0.98,1.72,14.56,3.896,3.86,0.71,A
0.98,1.72,14.56,3.896,3.86,0.71,A
0.97,1.7,14.58,3.877,3.88,0.76,A
0.97,1.68,14.58,3.847,3.88,0.84,F
0.97,1.67,14.58,3.847,3.88,0.84,F
0.97,1.56,14.58,3.847,3.88,0.84,F
0.96,1.68,14.59,3.854,3.89,0.82,F
0.96,1.62,14.59,3.854,3.89,0.82,F
0.96,1.57,14.59,3.854,3.89,0.82,F
0.96,1.69,14.6,3.873,3.9,0.77,A
0.98,1.79,14.62,3.932,3.92,0.63,A
0.96,1.52,14.62,3.816,3.92,0.94,F
0.95,1.67,14.63,3.858,3.93,0.81,A
0.95,1.58,14.63,3.858,3.93,0.81,A
0.95,1.57,14.63,3.858,3.93,0.81,A
0.95,1.53,14.63,3.828,3.93,0.9,F
0.95,1.69,14.64,3.888,3.94,0.73,A
0.95,1.69,14.64,3.892,3.94,0.72,A
0.94,1.68,14.66,3.885,3.96,0.74,A
0.93,1.5,14.7,3.816,4.0,0.94,F
0.92,1.65,14.72,3.881,4.02,0.75,A
0.91,1.51,14.73,3.834,4.03,0.88,F
0.91,1.48,14.76,3.819,4.06,0.93,F
0.89,1.62,14.78,3.862,4.08,0.8,A
0.89,1.64,14.79,3.885,4.09,0.74,A
0.88,1.47,14.81,3.825,4.11,0.91,F
0.87,1.63,14.83,3.885,4.13,0.74,A
0.87,1.6,14.84,3.869,4.14,0.78,A
0.87,1.65,14.85,3.9,4.15,0.7,A
0.84,1.57,14.9,3.854,4.2,0.82,F
0.84,1.44,14.91,3.825,4.21,0.91,F
0.83,1.56,14.93,3.834,4.23,0.88,F
0.83,1.5,14.93,3.834,4.23,0.88,F
0.83,1.45,14.93,3.834,4.23,0.88,F
0.85,1.67,14.94,3.918,4.24,0.66,A
0.81,1.54,14.98,3.837,4.28,0.87,F
0.81,1.45,14.98,3.837,4.28,0.87,F
0.81,1.45,14.98,3.837,4.28,0.87,F
0.81,1.54,14.99,3.834,4.29,0.88,F
0.81,1.46,14.99,3.834,4.29,0.88,F
0.81,1.44,14.99,3.834,4.29,0.88,F
0.8,1.53,15.01,3.828,4.31,0.9,F
0.8,1.48,15.01,3.828,4.31,0.9,F
0.8,1.42,15.01,3.828,4.31,0.9,F
0.79,1.55,15.04,3.873,4.34,0.77,A
0.79,1.55,15.04,3.873,4.34,0.77,A
0.79,1.52,15.05,3.819,4.35,0.93,F
0.79,1.5,15.05,3.819,4.35,0.93,F
0.79,1.39,15.05,3.819,4.35,0.93,F
0.78,1.51,15.06,3.822,4.36,0.92,F
0.78,1.48,15.06,3.822,4.36,0.92,F
0.78,1.39,15.06,3.822,4.36,0.92,F
0.77,1.51,15.08,3.85,4.38,0.83,F
0.76,1.5,15.1,3.837,4.4,0.87,F
0.74,1.5,15.15,3.858,4.45,0.81,A
0.74,1.51,15.16,3.865,4.46,0.79,A
0.73,1.48,15.18,3.841,4.48,0.86,F
0.73,1.5,15.19,3.865,4.49,0.79,A
0.72,1.47,15.2,3.847,4.5,0.84,F
0.72,1.49,15.2,3.858,4.5,0.81,A
0.7,1.46,15.25,3.847,4.55,0.84,F
0.69,1.47,15.28,3.858,4.58,0.81,A
0.68,1.43,15.31,3.837,4.61,0.87,F
0.68,1.55,15.33,3.905,4.63,0.69,A
0.67,1.47,15.33,3.865,4.63,0.79,A
0.66,1.43,15.36,3.847,4.66,0.84,F
0.66,1.42,15.36,3.831,4.66,0.89,F
0.64,1.41,15.41,3.837,4.71,0.87,F
0.64,1.4,15.41,3.834,4.71,0.88,F
0.6,1.37,15.52,3.828,4.82,0.9,F
0.59,1.37,15.54,3.837,4.84,0.87,F
0.57,1.4,15.57,3.854,4.87,0.82,F
0.57,1.35,15.59,3.825,4.89,0.91,F
0.57,1.34,15.6,3.819,4.9,0.93,F
0.55,1.37,15.62,3.844,4.92,0.85,F
0.54,1.37,15.66,3.847,4.96,0.84,F
2.33,4.11,9.82,3.754,-0.58,0.81,G
2.34,4.42,9.99,3.694,-0.41,1.12,G
2.34,3.92,9.99,3.694,-0.41,1.12,G
2.34,3.61,9.99,3.694,-0.41,1.12,G
2.24,3.98,10.09,3.733,-0.31,0.92,G
2.41,4.56,10.09,3.646,-0.31,1.36,K
2.41,4.19,10.09,3.646,-0.31,1.36,K
2.41,3.47,10.09,3.646,-0.31,1.36,K
2.31,4.49,10.23,3.662,-0.17,1.28,K
2.31,3.93,10.23,3.662,-0.17,1.28,K
2.31,3.43,10.23,3.662,-0.17,1.28,K
2.42,3.03,10.45,3.606,0.05,1.55,K
5.76,-1.0,10.48,3.053,0.08,2.15,K
2.16,4.02,10.48,3.686,0.08,1.16,G
2.16,3.6,10.48,3.686,0.08,1.16,G
2.16,3.39,10.48,3.686,0.08,1.16,G
5.36,-1.0,10.55,3.115,0.15,2.1,K
2.24,3.61,10.63,3.633,0.23,1.42,K
2.24,3.55,10.63,3.633,0.23,1.42,K
2.24,3.12,10.63,3.633,0.23,1.42,K
1.95,2.8,10.67,3.888,0.27,0.34,A
1.91,2.7,10.8,3.914,0.4,0.28,A
1.9,2.98,10.82,3.796,0.42,0.62,F
2.13,3.59,10.82,3.644,0.42,1.37,K
2.13,3.51,10.82,3.644,0.42,1.37,K
2.13,3.08,10.82,3.644,0.42,1.37,K
4.87,-1.0,10.85,3.178,0.45,2.05,K
2.01,3.74,10.94,3.672,0.54,1.23,K
2.01,3.36,10.94,3.672,0.54,1.23,K
2.01,3.18,10.94,3.672,0.54,1.23,K
1.99,3.69,10.95,3.678,0.55,1.2,G
1.99,3.33,10.95,3.678,0.55,1.2,G
1.99,3.21,10.95,3.678,0.55,1.2,G
1.82,2.82,11.02,3.793,0.62,0.63,F
3.59,15.16,11.03,4.7,0.63,-0.18,O
2.15,2.64,11.04,3.615,0.64,1.51,K
1.91,3.51,11.13,3.682,0.73,1.18,G
1.91,3.2,11.13,3.682,0.73,1.18,G
1.91,3.18,11.13,3.682,0.73,1.18,G
4.82,23.37,11.17,5.15,0.77,-0.23,O
8.96,-1.0,11.18,2.465,0.78,2.62,K
1.75,2.43,11.21,3.923,0.81,0.26,A
1.74,2.65,11.22,3.796,0.82,0.62,F
2.08,2.08,11.26,3.608,0.86,1.54,K
1.87,3.4,11.28,3.674,0.88,1.22,K
1.87,3.14,11.28,3.674,0.88,1.22,K
1.87,3.11,11.28,3.674,0.88,1.22,K
1.74,2.42,11.28,3.95,0.88,0.2,A
1.71,2.59,11.31,3.791,0.91,0.64,F
6.68,-1.0,11.31,2.84,0.91,2.32,K
1.86,2.87,11.35,4.05,0.95,0.07,B
2.87,-1.0,11.38,3.478,0.98,1.81,K
1.66,2.3,11.41,3.9,1.01,0.31,A
2.88,9.47,11.43,4.5,1.03,-0.16,B
1.77,3.24,11.43,3.688,1.03,1.15,G
1.64,2.3,11.44,3.873,1.04,0.38,A
1.61,2.38,11.53,3.803,1.13,0.59,F
1.91,2.39,11.53,3.625,1.13,1.46,K
1.98,1.73,11.55,3.604,1.15,1.56,K
1.79,3.03,11.56,3.658,1.16,1.3,K
1.79,2.98,11.56,3.658,1.16,1.3,K
1.79,2.82,11.56,3.658,1.16,1.3,K
1.67,2.81,11.56,3.721,1.16,0.98,G
1.61,2.25,11.57,3.932,1.17,0.24,A
1.98,1.59,11.61,3.6,1.21,1.58,K
1.69,2.58,11.62,4.01,1.22,0.11,B
1.76,2.95,11.63,3.658,1.23,1.3,K
1.76,2.92,11.63,3.658,1.23,1.3,K
1.76,2.76,11.63,3.658,1.23,1.3,K
2.26,-1.0,11.63,3.553,1.23,1.74,K
1.57,2.19,11.66,3.923,1.26,0.26,A
1.63,2.74,11.67,3.719,1.27,0.99,G
1.85,2.31,11.67,3.627,1.27,1.45,K
1.71,3.04,11.68,3.674,1.28,1.22,K
1.62,2.68,11.68,3.725,1.28,0.96,G
1.72,2.84,11.74,3.658,1.34,1.3,K
1.72,2.81,11.74,3.658,1.34,1.3,K
1.72,2.66,11.74,3.658,1.34,1.3,K
1.52,2.12,11.75,3.877,1.35,0.37,A
1.51,2.14,11.76,3.844,1.36,0.46,F
1.51,2.12,11.77,3.862,1.37,0.41,F
3.31,-1.0,11.78,3.378,1.38,1.89,K
1.59,2.44,11.8,3.994,1.4,0.13,B
1.84,1.77,11.8,3.617,1.4,1.5,K
1.72,2.55,11.81,3.648,1.41,1.35,K
1.72,2.55,11.81,3.648,1.41,1.35,K
1.72,2.44,11.81,3.648,1.41,1.35,K
1.49,2.08,11.82,3.892,1.42,0.33,A
1.48,2.09,11.82,3.854,1.42,0.43,F
1.71,2.53,11.83,3.648,1.43,1.35,K
1.71,2.53,11.83,3.648,1.43,1.35,K
1.71,2.43,11.83,3.648,1.43,1.35,K
1.48,2.13,11.84,3.825,1.44,0.52,F
1.7,2.41,11.88,3.644,1.48,1.37,K
1.7,2.42,11.88,3.644,1.48,1.37,K
1.7,2.34,11.88,3.644,1.48,1.37,K
1.5,2.28,11.9,3.95,1.5,0.2,A
1.77,2.98,11.91,4.117,1.51,0.02,B
1.44,2.03,11.94,3.892,1.54,0.33,A
1.86,1.28,11.94,3.597,1.54,1.59,K
1.62,2.77,11.95,3.664,1.55,1.27,K
1.62,2.71,11.95,3.664,1.55,1.27,K
1.62,2.63,11.95,3.664,1.55,1.27,K
1.43,2.02,11.96,3.892,1.56,0.33,A
1.42,2.0,11.98,3.869,1.58,0.39,F
1.43,2.19,12.01,3.923,1.61,0.26,A
1.43,2.17,12.01,3.923,1.61,0.26,A
1.43,2.05,12.01,3.923,1.61,0.26,A
1.41,1.99,12.02,3.885,1.62,0.35,A
1.41,1.98,12.02,3.877,1.62,0.37,A
1.41,2.02,12.04,3.822,1.64,0.53,F
1.42,2.19,12.06,3.936,1.66,0.23,A
1.39,1.97,12.07,3.888,1.67,0.34,A
1.4,2.03,12.07,3.809,1.67,0.57,F
1.39,1.98,12.08,3.831,1.68,0.5,F
1.38,1.97,12.1,3.831,1.7,0.5,F
1.78,1.21,12.1,3.6,1.7,1.58,K
1.4,2.08,12.1,3.78,1.7,0.69,F
1.41,2.18,12.12,3.95,1.72,0.2,A
1.38,2.13,12.12,3.914,1.72,0.28,A
1.38,2.12,12.12,3.914,1.72,0.28,A
1.38,1.99,12.12,3.914,1.72,0.28,A
1.48,2.64,12.13,3.694,1.73,1.12,G
1.37,1.99,12.13,3.809,1.73,0.57,F
1.37,1.96,12.14,3.905,1.74,0.3,A
1.86,1.0,12.14,3.585,1.74,1.63,K
1.36,1.93,12.14,3.885,1.74,0.35,A
1.49,2.4,12.16,4.02,1.76,0.1,B
1.5,2.63,12.18,3.676,1.78,1.21,K
1.36,2.12,12.21,3.936,1.81,0.23,A
1.57,2.13,12.22,3.644,1.82,1.37,K
1.57,2.14,12.22,3.644,1.82,1.37,K
1.57,2.11,12.22,3.644,1.82,1.37,K
1.33,1.92,12.22,3.896,1.82,0.32,A
1.67,2.94,12.23,4.133,1.83,0.01,B
1.9,-1.0,12.27,3.571,1.87,1.68,K
1.31,1.89,12.27,3.888,1.87,0.34,A
1.32,1.93,12.28,3.8,1.88,0.6,F
1.31,1.9,12.28,3.9,1.88,0.31,A
1.37,2.18,12.29,3.975,1.89,0.16,B
1.62,1.46,12.3,3.621,1.9,1.48,K
1.3,1.87,12.3,3.885,1.9,0.35,A
1.31,1.92,12.3,3.798,1.9,0.61,F
1.4,2.48,12.31,3.696,1.91,1.11,G
1.37,2.26,12.32,3.719,1.92,0.99,G
1.36,2.17,12.32,3.975,1.92,0.16,B
1.32,2.08,12.32,3.941,1.92,0.22,A
1.94,-1.0,12.33,3.559,1.93,1.72,K
1.81,-1.0,12.34,3.579,1.94,1.65,K
1.27,1.83,12.35,3.847,1.95,0.45,F
1.3,1.96,12.35,3.771,1.95,0.73,F
1.31,2.04,12.35,3.753,1.95,0.81,F
1.62,1.26,12.37,3.613,1.97,1.52,K
1.29,2.04,12.37,3.927,1.97,0.25,A
1.3,1.96,12.37,3.768,1.97,0.74,F
1.27,1.84,12.37,3.828,1.97,0.51,F
1.63,1.07,12.43,3.604,2.03,1.56,K
1.26,2.0,12.43,3.923,2.03,0.26,A
1.57,1.36,12.44,3.621,2.04,1.48,K
1.25,1.86,12.45,3.789,2.05,0.65,F
1.23,1.79,12.47,3.862,2.07,0.41,F
1.3,2.12,12.47,3.975,2.07,0.16,B
1.6,1.06,12.5,3.606,2.1,1.55,K
1.69,-1.0,12.5,3.588,2.1,1.62,K
1.47,1.7,12.51,3.638,2.11,1.4,K
1.61,0.96,12.52,3.6,2.12,1.58,K
1.56,1.17,12.52,3.613,2.12,1.52,K
2.65,-1.0,12.52,3.44,2.12,1.84,K
1.24,1.95,12.54,3.747,2.14,0.84,G
1.2,1.76,12.56,3.822,2.16,0.53,F
1.22,1.84,12.57,3.771,2.17,0.73,F
1.22,1.97,12.57,3.936,2.17,0.23,A
1.18,1.73,12.6,3.828,2.2,0.51,F
1.21,1.83,12.6,3.766,2.2,0.75,F
1.24,2.04,12.61,3.725,2.21,0.96,G
1.21,1.88,12.62,3.753,2.22,0.81,F
1.27,2.22,12.62,3.7,2.22,1.09,G
1.23,2.05,12.63,3.969,2.23,0.17,A
1.23,2.05,12.63,3.969,2.23,0.17,A
1.16,1.87,12.64,3.877,2.24,0.37,A
1.16,1.87,12.64,3.877,2.24,0.37,A
1.16,1.74,12.64,3.877,2.24,0.37,A
1.16,1.89,12.64,3.892,2.24,0.33,A
1.16,1.78,12.64,3.892,2.24,0.33,A
1.16,1.77,12.64,3.892,2.24,0.33,A
1.17,1.75,12.64,3.798,2.24,0.61,F
1.18,1.93,12.65,3.927,2.25,0.25,A
1.15,1.87,12.66,3.885,2.26,0.35,A
1.15,1.81,12.66,3.885,2.26,0.35,A
1.15,1.75,12.66,3.885,2.26,0.35,A
1.17,1.9,12.66,3.914,2.26,0.28,A
1.16,1.72,12.67,3.806,2.27,0.58,F
1.23,2.05,12.68,3.717,2.28,1.0,G
1.14,1.86,12.69,3.881,2.29,0.36,A
1.14,1.8,12.69,3.881,2.29,0.36,A
1.14,1.74,12.69,3.881,2.29,0.36,A
1.14,1.69,12.69,3.844,2.29,0.46,F
1.15,1.72,12.7,3.795,2.3,0.62,F
1.18,1.97,12.7,3.95,2.3,0.2,A
1.61,-1.0,12.71,3.588,2.31,1.62,K
1.2,2.05,12.71,3.975,2.31,0.16,B
1.21,2.07,12.72,3.981,2.32,0.15,A
1.12,1.68,12.73,3.854,2.33,0.43,F
1.14,1.73,12.74,3.78,2.34,0.69,F
1.14,1.72,12.74,3.789,2.34,0.65,F
1.11,1.68,12.76,3.858,2.36,0.42,F
1.66,-1.0,12.77,3.576,2.37,1.66,K
1.14,1.92,12.78,3.941,2.38,0.22,A
1.11,1.83,12.78,3.888,2.38,0.34,A
1.1,1.66,12.79,3.822,2.39,0.53,F
1.12,1.7,12.79,3.784,2.39,0.67,F
1.1,1.81,12.79,3.873,2.39,0.38,A
1.1,1.77,12.79,3.873,2.39,0.38,A
1.1,1.69,12.79,3.873,2.39,0.38,A
1.1,1.66,12.79,3.822,2.39,0.53,F
1.13,1.73,12.8,3.766,2.4,0.75,F
1.09,1.82,12.81,3.892,2.41,0.33,A
1.53,-1.0,12.81,3.594,2.41,1.6,K
1.19,2.08,12.82,3.702,2.42,1.08,G
1.08,1.79,12.85,3.869,2.45,0.39,A
1.08,1.74,12.85,3.869,2.45,0.39,A
1.08,1.67,12.85,3.869,2.45,0.39,A
1.12,1.81,12.87,3.738,2.47,0.88,G
1.07,1.63,12.87,3.847,2.47,0.45,F
1.07,1.63,12.89,3.806,2.49,0.58,F
1.07,1.82,12.9,3.918,2.5,0.27,A
1.06,1.8,12.9,3.905,2.5,0.3,A
1.05,1.62,12.9,3.847,2.5,0.45,F
1.05,1.62,12.9,3.841,2.5,0.47,F
1.09,1.88,12.91,3.941,2.51,0.22,A
1.13,2.01,12.91,3.981,2.51,0.15,A
1.3,1.46,12.91,3.642,2.51,1.38,K
1.3,1.46,12.91,3.642,2.51,1.38,K
1.05,1.61,12.92,3.841,2.52,0.47,F
1.04,1.61,12.94,3.847,2.54,0.45,F
1.04,1.6,12.94,3.825,2.54,0.52,F
1.05,1.81,12.95,3.918,2.55,0.27,A
1.23,1.93,12.95,3.662,2.55,1.28,K
1.23,1.93,12.95,3.662,2.55,1.28,K
1.23,1.88,12.95,3.662,2.55,1.28,K
1.03,1.73,12.97,3.858,2.57,0.42,F
1.03,1.72,12.97,3.858,2.57,0.42,F
1.03,1.62,12.97,3.858,2.57,0.42,F
1.03,1.58,12.98,3.825,2.58,0.52,F
1.03,1.78,12.98,3.909,2.58,0.29,A
1.16,2.08,12.99,3.686,2.59,1.16,G
1.19,1.98,13.0,3.668,2.6,1.25,K
1.19,1.99,13.0,3.668,2.6,1.25,K
1.19,1.93,13.0,3.668,2.6,1.25,K
1.03,1.6,13.01,3.789,2.61,0.65,F
1.03,1.6,13.01,3.782,2.61,0.68,F
1.02,1.75,13.01,3.9,2.61,0.31,A
1.0,1.58,13.03,3.847,2.63,0.45,F
1.01,1.78,13.06,3.918,2.66,0.27,A
1.34,0.85,13.08,3.613,2.68,1.52,K
0.98,1.7,13.08,3.865,2.68,0.4,F
0.99,1.55,13.08,3.825,2.68,0.52,F
1.12,2.01,13.1,3.682,2.7,1.18,G
0.97,1.56,13.1,3.841,2.7,0.47,F
0.97,1.69,13.11,3.862,2.71,0.41,F
0.97,1.59,13.11,3.862,2.71,0.41,F
0.97,1.59,13.11,3.862,2.71,0.41,F
0.97,1.53,13.15,3.798,2.75,0.61,F
0.99,1.82,13.16,3.945,2.76,0.21,A
0.96,1.52,13.16,3.8,2.76,0.6,F
0.96,1.73,13.17,3.909,2.77,0.29,A
1.0,1.87,13.18,3.963,2.78,0.18,A
1.04,1.97,13.18,3.994,2.78,0.13,B
0.96,1.53,13.18,3.786,2.78,0.66,F
0.94,1.67,13.18,3.877,2.78,0.37,A
0.94,1.66,13.2,3.869,2.8,0.39,F
0.94,1.69,13.21,3.896,2.81,0.32,A
0.94,1.51,13.21,3.822,2.81,0.53,F
0.98,1.63,13.22,3.738,2.82,0.88,G
0.94,1.73,13.22,3.914,2.82,0.28,A
0.93,1.51,13.22,3.822,2.82,0.53,F
0.92,1.51,13.24,3.828,2.84,0.51,F
0.94,1.5,13.24,3.789,2.84,0.65,F
0.94,1.51,13.26,3.775,2.86,0.71,F
0.91,1.66,13.26,3.888,2.86,0.34,A
0.91,1.49,13.27,3.822,2.87,0.53,F
0.9,1.62,13.29,3.841,2.89,0.47,F
0.9,1.58,13.29,3.841,2.89,0.47,F
0.9,1.51,13.29,3.841,2.89,0.47,F
0.9,1.64,13.29,3.881,2.89,0.36,A
0.89,1.62,13.3,3.847,2.9,0.45,F
0.89,1.54,13.3,3.847,2.9,0.45,F
0.89,1.52,13.3,3.847,2.9,0.45,F
0.9,1.63,13.3,3.877,2.9,0.37,A
1.12,2.23,13.3,4.075,2.9,0.05,B
0.93,1.51,13.3,3.761,2.9,0.77,G
0.9,1.47,13.32,3.793,2.92,0.63,F
0.89,1.46,13.34,3.816,2.94,0.55,F
0.92,1.79,13.35,3.95,2.95,0.2,A
0.91,1.48,13.35,3.768,2.95,0.74,G
0.96,1.7,13.35,3.714,2.95,1.01,K
0.87,1.64,13.36,3.892,2.96,0.33,A
0.87,1.6,13.36,3.844,2.96,0.46,F
0.87,1.51,13.36,3.844,2.96,0.46,F
0.87,1.5,13.36,3.844,2.96,0.46,F
0.86,1.61,13.38,3.881,2.98,0.36,A
0.87,1.44,13.38,3.803,2.98,0.59,F
0.86,1.59,13.38,3.844,2.98,0.46,F
0.86,1.5,13.38,3.844,2.98,0.46,F
0.86,1.49,13.38,3.844,2.98,0.46,F
0.86,1.63,13.39,3.888,2.99,0.34,A
1.0,1.85,13.39,3.686,2.99,1.16,G
0.86,1.43,13.41,3.803,3.01,0.59,F
0.86,1.45,13.41,3.825,3.01,0.52,F
0.87,1.43,13.42,3.786,3.02,0.66,F
0.96,1.8,13.43,3.694,3.03,1.12,G
0.85,1.42,13.44,3.795,3.04,0.62,F
0.85,1.42,13.45,3.8,3.05,0.6,F
0.85,1.41,13.46,3.793,3.06,0.63,F
0.83,1.62,13.46,3.892,3.06,0.33,A
0.87,1.44,13.46,3.761,3.06,0.77,G
0.82,1.56,13.47,3.85,3.07,0.44,F
0.82,1.56,13.47,3.847,3.07,0.45,F
0.83,1.6,13.48,3.888,3.08,0.34,A
1.14,0.84,13.48,3.623,3.08,1.47,K
0.82,1.58,13.49,3.877,3.09,0.37,A
0.82,1.55,13.5,3.837,3.1,0.48,F
0.82,1.46,13.5,3.837,3.1,0.48,F
0.82,1.45,13.5,3.837,3.1,0.48,F
0.83,1.4,13.51,3.795,3.11,0.62,F
0.81,1.54,13.51,3.828,3.11,0.51,F
0.81,1.5,13.51,3.828,3.11,0.51,F
0.81,1.43,13.51,3.828,3.11,0.51,F
0.83,1.4,13.51,3.784,3.11,0.67,F
0.82,1.39,13.52,3.8,3.12,0.6,F
0.85,1.43,13.53,3.746,3.13,0.84,G
0.8,1.53,13.54,3.847,3.14,0.45,F
0.79,1.54,13.55,3.862,3.15,0.41,F
0.8,1.52,13.55,3.819,3.15,0.54,F
0.8,1.52,13.55,3.819,3.15,0.54,F
0.8,1.4,13.55,3.819,3.15,0.54,F
0.86,1.5,13.55,3.731,3.15,0.91,G
0.8,1.63,13.56,3.909,3.16,0.29,A
0.81,1.39,13.56,3.782,3.16,0.68,F
0.79,1.59,13.56,3.888,3.16,0.34,A
0.8,1.52,13.56,3.819,3.16,0.54,F
0.8,1.52,13.56,3.819,3.16,0.54,F
0.8,1.4,13.56,3.819,3.16,0.54,F
0.82,1.4,13.57,3.764,3.17,0.76,G
0.8,1.38,13.57,3.806,3.17,0.58,F
0.79,1.54,13.57,3.862,3.17,0.41,F
0.81,1.65,13.57,3.918,3.17,0.27,A
0.8,1.37,13.59,3.791,3.19,0.64,F
0.82,1.71,13.59,3.945,3.19,0.21,A
0.78,1.51,13.6,3.819,3.2,0.54,F
0.78,1.49,13.6,3.819,3.2,0.54,F
0.78,1.39,13.6,3.819,3.2,0.54,F
0.77,1.51,13.62,3.828,3.22,0.51,F
0.77,1.43,13.62,3.828,3.22,0.51,F
0.77,1.4,13.62,3.828,3.22,0.51,F
0.76,1.51,13.63,3.854,3.23,0.43,F
0.77,1.5,13.64,3.816,3.24,0.55,F
