System,SpT,Pday,Vmag,BmV,logM,logMe,logR,logRe,logg,logge,logT,logTe,logL,logLe,Mass[solMass],log.Teff [K],B-V,Absolute Mag,SpType
V785_Cep-2,none,6.504,14.74,0.6,0.0338,0.0028,0.1377,0.006,4.196,0.013,3.769,0.007,0.3,0.03,1.080936047,3.769,0.6,4.05,n
OGLE-LMC-CEP-00227-1,F7_Ib-II,309.669,15.2,0.6,0.618,0.0031,1.5425,0.0015,1.97,0.004,3.778,0.012,3.15,0.05,4.149540426,3.778,0.6,-3.075,F
OGLE-LMC-CEP-00227-2,G4_II,309.669,15.2,0.6,0.6085,0.0032,1.6512,0.0014,1.743,0.003,3.708,0.01,3.09,0.04,4.059756633,3.708,0.6,-2.925,G
AN_Cam-1,F9_V,20.998,9.69,0.61,0.1399,0.0066,0.3343,0.0024,3.9095,0.003,3.782,0.011,0.75,0.043,1.380066456,3.782,0.61,2.925,F
AN_Cam-2,G2_IV,20.998,9.69,0.61,0.1467,0.0077,0.4226,0.0023,3.74,0.0037,3.76,0.011,0.839,0.046,1.40184501,3.76,0.61,2.7025,G
GX_Gem-1,F7_V,4.038,11.33,0.61,0.1726,0.0032,0.3668,0.0022,3.877,0.004,3.792,0.007,0.86,0.03,1.487989957,3.792,0.61,2.65,F
GX_Gem-2,F7_V,4.038,11.33,0.61,0.1664,0.003,0.3499,0.0023,3.904,0.005,3.79,0.007,0.82,0.03,1.466898282,3.79,0.61,2.75,F
V636_Cen-1,G0_V,4.284,8.7,0.62,0.022,0.0021,0.0077,0.0017,4.444,0.004,3.771,0.006,0.05,0.03,1.051961874,3.771,0.62,4.675,G
V636_Cen-2,none,4.284,8.7,0.62,-0.0685,0.0015,-0.0809,0.0021,4.532,0.005,3.699,0.009,-0.41,0.04,0.854082847,3.699,0.62,5.825,n
ASAS_J045304-0700.4-1,K2_V,1.622,11.24,0.63,-0.0789,0.0019,-0.0716,0.0026,4.503,0.005,3.726,0.016,-0.278,0.065,0.833873169,3.726,0.63,5.495,K
ASAS_J045304-0700.4-2,K4_V,1.622,11.24,0.63,-0.082,0.0021,-0.0794,0.0026,4.515,0.005,3.708,0.017,-0.365,0.068,0.827942164,3.708,0.63,5.7125,K
Kepler-34-1,none,27.796,15.04,0.63,0.0203,0.0013,0.0651,0.0011,4.3284,0.0021,3.772,0.009,0.173,0.033,1.047852129,3.772,0.63,4.3675,n
