Seq,SIMBAD_ID,M,eM1,eM2,R,eR1,eR2,Teff,eTeff1,eTeff2,L,eL1,eL2,Meta,eMeta1,eMeta2,logg,elogg1,elogg2,rho,erho1,erho2,cutoff,class,type,pla,catalog,e_M,e_R,e_Teff,e_L,mode,logL,logR,logT
229,V456_Cyg A,1.863,0.06,0.06,1.681,0.02,0.02,7750,100,100,9.162,0.543,0.543,,,,4.26,0.03,0.03,,,,2.7139912,MS,A,,eker14,3.220611916,1.189767995,1.290322581,5.926653569,EB,0.9619902874400649,0.225567713439471,3.88930170250631
261,V994_Her-B B,1.859,0.12,0.12,1.493,0.08,0.08,8450,70,70,10.209,1.299,1.299,,,,4.36,0.07,0.07,,,,2.2551412,MS,A,,eker14,6.455083378,5.358338915,0.828402367,12.724067,EB,1.0089832038154718,0.17405980772502544,3.926856708949692
472,KIC12020532,1.855,0.091831367,0.112160599,3.983,0.104995238,0.113600176,5392,81,81,14.32,1.300034208,1.300034208,0.021,0.1,0.1,3.5,0.009848858,0.009848858,0.02909,0.001054961,0.001174967,4.2596602,PMS,G,,serenelli17,5.49843575,2.744105122,1.502225519,9.078451171,A,1.1559430179718369,0.600210306409328,3.7317498835272636
215,V392_Car B,1.853,0.024,0.024,1.6,0.031,0.031,8650,200,200,12.853,1.436,1.436,,,,4.31,0.024,0.024,,,,2.1240412,MS,A,,eker14,1.295196978,1.9375,2.312138728,11.17248891,EB,1.1090045075413846,0.2041199826559248,3.9370161074648142
516,KIC3424541,1.824,0.076557168,0.077820306,2.658,0.042720019,0.04365776,6475,66,66,10.67,0.892296145,0.892296145,0.27,0.1,0.1,3.849,0.009219544,0.009219544,0.09704,0.001750232,0.001738686,3.5497537,MS,F,,serenelli17,4.231838652,1.624864158,1.019305019,8.362663024,A,1.02816441942447,0.42455497660671315,3.8112397727532894
165,TYC_4589-2999-1 A,1.815,0.101,0.101,2.011,0.04,0.04,5830,40,40,4.198,0.218,0.218,,,,4.082052488,0.029707696,0.029707696,,,,3.9725512,MS,G,,eker14,5.564738292,1.989060169,0.686106346,5.192949023,EB,0.6230424342463817,0.30341207059674197,3.765668554759014
269,WW_Aur B,1.814,0.007,0.007,1.842,0.011,0.011,7670,410,410,10.544,2.884,2.884,,,,4.167,0.007,0.007,,,,2.7664312,MS,A,,eker14,0.385887541,0.597176982,5.345501956,27.35204856,EB,1.0230053972499347,0.26528962586083016,3.884795363948981
120,MY_Cyg A,1.811,0.025,0.025,2.193,0.05,0.05,6998,163,163,10.233,0.987,0.987,,,,,,,,,,3.2069272,MS,F,,malkov07,1.380452789,2.27998176,2.329236925,9.645265318,EB,1.0100029741270597,0.3410386316775229,3.8449739381468877
647,KIC6034893,1.811,0.165517371,0.201375272,4.169,0.202871881,0.225488359,5381,79,79,12.9,1.229864365,1.229864365,-0.144,0.101,0.101,3.454,0.013152946,0.014142136,0.02493,0.001584014,0.001526855,4.2668707,PMS,G,,serenelli17,10.12955942,5.137445906,1.468128601,9.533832283,A,1.110589710299249,0.6200318951262973,3.730862992046494
233,V477_Cyg A,1.79,0.12,0.12,1.57,0.05,0.05,8690,305,305,12.589,0.9,0.9,,,,,,,,,,2.0978212,MS,A,,malkov07,6.703910615,3.184713376,3.509781358,7.149098419,EB,1.0999912335446844,0.19589965240923377,3.9390197764486663
