Seq,SIMBAD_ID,M,eM1,eM2,R,eR1,eR2,Teff,eTeff1,eTeff2,L,eL1,eL2,Meta,eMeta1,eMeta2,logg,elogg1,elogg2,rho,erho1,erho2,cutoff,class,type,pla,catalog,e_M,e_R,e_Teff,e_L,mode,logL,logR,logT
788,KIC8367710,1.455,0.064443774,0.122772147,2.041,0.033970576,0.055946403,6352,66,66,6.585,0.565773538,0.565773538,0.014,0.1,0.1,3.98,0.008062258,0.0117047,0.171,0.003001566,0.002913896,3.6303802,MS,F,,serenelli17,6.433536791,2.202767722,1.039042821,8.59185328,A,0.8185557792978027,0.3098430047160705,3.8029104894190398
55,DM_Vir A,1.454,0.008,0.008,1.764,0.017,0.017,6500,100,100,4.989,0.345,0.345,,,,4.108,0.009,0.009,,,,3.5333662,MS,F,,eker14,0.550206327,0.963718821,1.538461538,6.91521347,EB,0.6980135039391817,0.24649858079580092,3.8129133566428557
609,KIC5371516,1.454,0.070092796,0.127945301,2.049,0.035355339,0.058600341,6350,81,81,5.834,0.497365294,0.497365294,0.075,0.1,0.1,3.976,0.01,0.014317821,0.169,0.002431186,0.002415342,3.6316912,MS,F,,serenelli17,6.810113358,2.29272036,1.275590551,8.525287868,A,0.7659664247857139,0.311541958401195,3.8027737252919755
488,KIC12317678,1.452,0.074202426,0.073006849,1.851,0.034669872,0.034132096,6549,48,48,5.484,0.499756557,0.499756557,-0.3,0.204,0.204,4.066,0.008485281,0.008485281,0.2292,0.002824772,0.002919087,3.5012467,MS,F,,serenelli17,5.069189905,1.858508049,0.732936326,9.112993384,A,0.7390974461174751,0.2674064187529041,3.816174990428802
853,KIC9150095,1.452,0.169068034,0.167296145,4.277,0.212426458,0.216011574,5028,68,68,9.209,0.899811286,0.899811286,0.095,0.1,0.1,3.336,0.013601471,0.013601471,0.01852,0.000958907,0.000935214,4.4982622,PMS,K,,serenelli17,11.58278851,5.008627912,1.352426412,9.770998867,A,0.9642124729698192,0.6311392502568111,3.7013952690139202
684,KIC6587236,1.45,0.16,0.16,3.0,0.17,0.16,6067,60,60,12.52,1.136857346,1.136857346,-0.3,0.15,0.15,3.643,0.02,0.021,0.0534,0.0045,0.0045,3.8171977,PMS,F,,C14sdss,11.03448276,5.5,0.988956651,9.08033024,A,1.0976043288744108,0.47712125471966244,3.782973994944048
56,DM_Vir B,1.448,0.008,0.008,1.764,0.017,0.017,6500,300,300,4.989,0.332,0.332,,,,4.106,0.008,0.008,,,,3.5333662,MS,F,,torres10,0.552486188,0.963718821,4.615384615,6.654640208,EB,0.6980135039391817,0.24649858079580092,3.8129133566428557
460,KIC11817562,1.448,0.081541401,0.073409809,2.477,0.10374006,0.093300589,6247,58,58,9.93,0.875129544,0.875129544,0.059,0.1,0.1,3.809,0.02433105,0.02433105,0.09475,0.008419847,0.008058509,3.6992077,MS,F,,serenelli17,5.350525177,3.977405112,0.928445654,8.812986342,A,0.9969492484953811,0.393926006585837,3.7956715059460215
242,V570_Per A,1.447,0.009,0.009,1.521,0.034,0.034,6842,50,50,4.55,0.247,0.247,0.02,0.03,0.03,4.234,0.019,0.019,,,,3.3091852,MS,F,,torres10,0.621976503,2.235371466,0.730780474,5.428571429,EB,0.6580113966571124,0.1821292140529984,3.8351830698490437
427,KIC11401708,1.447,0.042720019,0.049648766,2.563,0.035383612,0.038418745,5859,63,63,8.962,0.793015564,0.793015564,0.206,0.1,0.1,3.78,0.007211103,0.007211103,0.08596,0.001816222,0.001788749,3.9535417,PMS,G,,serenelli17,3.191734108,1.439765069,1.075268817,8.848644994,A,0.9524049395770244,0.408748606184244,3.767823498007517
578,KIC4641621,1.447,0.07256032,0.080498447,3.062,0.106569226,0.099959992,5684,61,61,11.8,1.100373742,1.100373742,-0.264,0.101,0.101,3.622,0.016492423,0.016492423,0.04987,0.0031068,0.003102939,4.0682542,PMS,G,,serenelli17,5.288830923,3.37245621,1.073187896,9.325201201,A,1.0718820073061255,0.4860051863622422,3.754654069255432
857,KIC9202077,1.444,0.091416629,0.167764716,1.981,0.055226805,0.070491134,6119,70,70,5.599,0.476347427,0.476347427,0.148,0.1,0.1,3.999,0.015,0.017492856,0.1842,0.005748245,0.005757708,3.7831117,MS,F,,serenelli17,8.974423299,3.173092864,1.143977774,8.507723297,A,0.7481104674949838,0.2968844755385471,3.7866804531966487
328,KIC10024648,1.444,0.087692645,0.137295302,2.0,0.050447993,0.060207973,6409,157,157,5.875,0.50241565,0.50241565,-0.006,0.1,0.1,3.994,0.014317821,0.016155494,0.1802,0.006158588,0.005939339,3.5930167,MS,F,,serenelli17,7.790441387,2.766399148,2.449680137,8.551755737,A,0.7690078709437739,0.3010299956639812,3.8067902715840667
36,CD_Tau A,1.441,0.016,0.016,1.798,0.017,0.017,6200,50,50,4.285,0.171,0.171,0.08,0.15,0.15,4.087,0.01,0.01,,,,3.7300162,MS,F,,eker14,1.110340042,0.945494994,0.806451613,3.990665111,EB,0.631950826259217,0.25478968739721,3.792391689498254
158,TX_Her B,1.441,0.03,0.03,1.428,0.03,0.03,6678,211,211,3.639,0.558,0.558,,,,4.29,0.03,0.03,,,,3.4166872,MS,F,,eker14,2.081887578,2.100840336,3.159628631,15.33388293,EB,0.5609820555862354,0.15472820744015556,3.824646414718352
540,KIC3733735,1.441,0.066037868,0.0718401,1.425,0.027784888,0.027784888,6711,66,66,3.631,0.279777268,0.279777268,-0.077,0.1,0.1,4.287,0.01,0.010630146,0.4983,0.01103521,0.011527082,3.3950557,MS,F,,serenelli17,4.784107153,1.9498167,0.983459991,7.705240109,A,0.5600262489128923,0.153814864344529,3.826787238816292
512,KIC3236382,1.44,0.16,0.11,1.64,0.06,0.05,6831,58,58,4.73,0.3857002,0.3857002,-0.06,0.15,0.15,4.165,0.014,0.013,0.3254,0.0114,0.0112,3.3163957,MS,F,,C14sdss,9.375,3.353658537,0.849070414,8.154338262,A,0.6748611407378116,0.21484384804769785,3.8344842853348053
824,KIC8802782,1.44,0.15559563,0.077233412,2.359,0.116107709,0.10031949,6089,68,68,8.073,0.665018024,0.665018024,0.254,0.1,0.1,3.851,0.023086793,0.024083189,0.1095,0.009838233,0.009630598,3.8027767,MS,F,,serenelli17,8.084341744,4.587265753,1.116767942,8.237557592,A,0.907034952483417,0.37272794088559547,3.7845459740545224
299,EPIC204926239,1.44,0.05,0.05,2.45,0.05,0.05,6225,71,71,6.714,0.596776978,0.596776978,0.1,0.08,0.08,3.817,0.012,0.012,0.097294226,0.004261061,0.004261061,3.7136287,MS,F,,lund16,3.472222222,2.040816327,1.140562249,8.888545999,A,0.8269813369119937,0.3891660843645325,3.794139355767774
600,KIC5108214,1.44,0.08,0.08,2.49,0.06,0.06,5844,75,75,6.673,0.719809499,0.719809499,0.343,0.072111026,0.072111026,,,,0.093672324,0.00305376,0.00305376,3.9633742,PMS,G,p,huber13,5.555555556,2.409638554,1.283367556,10.78689493,A,0.8243211248507712,0.3961993470957364,3.766710207262259
315,EPIC206184719,1.44,0.06,0.06,2.78,0.08,0.08,5822,84,84,12.87,1.138264277,1.138264277,-0.02,0.11,0.11,3.706,0.013,0.013,0.066756622,0.003550884,0.003550884,3.9777952,PMS,G,,lund16,4.166666667,2.877697842,1.44280316,8.84432228,A,1.1095785469043866,0.4440447959180762,3.765072201102792
381,KIC10731424,1.437,0.08232861,0.076380626,2.55,0.09749359,0.087817994,6432,65,65,10.5,0.9424602,0.9424602,-0.129,0.101,0.101,3.782,0.018248288,0.019235384,0.08646,0.006158343,0.00600879,3.5779402,MS,F,,serenelli17,5.52224202,3.633560454,1.010572139,8.975811427,A,1.021189299069938,0.4065401804339551,3.808346035740395
894,KIC9697131,1.436,0.058137767,0.063560994,1.922,0.028301943,0.03088689,6491,69,69,5.503,0.44698172,0.44698172,0.11,0.072111026,0.072111026,4.027,0.008544004,0.008544004,0.2019,0.003377807,0.003202706,3.5392657,MS,F,p,serenelli17,4.237422066,1.539771952,1.063010322,8.122509905,A,0.7405995128111565,0.28375338333252653,3.812311609131124
751,KIC7880676,1.436,0.125207827,0.137277092,2.054,0.07738863,0.074886581,6269,56,56,6.669,0.584602538,0.584602538,0.048,0.099,0.099,3.96,0.018788294,0.019697716,0.1618,0.008868717,0.008685394,3.6847867,MS,F,,serenelli17,9.13944705,3.706796752,0.893284415,8.765969977,A,0.824060717418653,0.31260043926125936,3.797198269838959
809,KIC8561221,1.436,0.063953108,0.067542579,3.091,0.051971146,0.054589376,5229,60,60,7.054,0.647259291,0.647259291,-0.164,0.101,0.101,3.614,0.006082763,0.006082763,0.04858,0.000497057,0.000504739,4.3665067,PMS,G,,serenelli17,4.578540633,1.723722454,1.147446931,9.175776731,A,0.8484354553314708,0.49009900506330495,3.7184186418296554
28,BK_Peg A,1.43,0.02,0.02,1.97,0.07,0.07,6053,28,28,4.677,0.335,0.335,-0.12,0.07,0.07,,,,,,,3.8263747,MS,F,,malkov07,1.398601399,3.553299492,0.462580539,7.16271114,EB,0.669967369908504,0.2944662261615929,3.781970673912552
579,KIC4646780,1.43,0.15,0.1,1.92,0.08,0.07,6856,138,138,6.537,0.540582863,0.540582863,-0.12,0.15,0.15,4.029,0.019,0.019,0.2029,0.0125,0.0122,3.3000082,MS,F,,C14sdss,8.741258741,3.90625,2.012835473,8.269586402,A,0.815378484965918,0.28330122870354957,3.836070808915142
495,KIC1725815,1.43,0.15,0.11,2.02,0.08,0.08,6550,82,82,6.845,0.587496081,0.587496081,-0.08,0.15,0.1,3.982,0.014,0.014,0.1732,0.0077,0.0074,3.5005912,MS,F,,C14sdss,9.090909091,3.96039604,1.251908397,8.582849974,A,0.8353734524700088,0.3053513694466238,3.816241299991783
599,KIC5095850,1.43,0.25,0.11,2.27,0.17,0.09,6836,85,85,11.33,1.012071891,1.012071891,0.1,0.15,0.15,3.885,0.018,0.021,0.1224,0.0095,0.0104,3.3131182,MS,F,,C14sdss,12.58741259,5.726872247,1.243417203,8.932673357,A,1.0542299098633972,0.35602585719312274,3.834802054048699
551,KIC4060815,1.43,0.16,0.16,3.73,0.18,0.18,5055,75,75,7.068,0.736696435,0.736696435,0.091,0.072111026,0.072111026,,,,0.027341808,0.001349336,0.001349336,4.4805637,PMS,K,p,huber13,11.18881119,4.825737265,1.483679525,10.42298295,A,0.8492965408347265,0.5717088318086876,3.70372115992702
468,KIC11968749,1.43,0.48,0.43,4.25,0.45,0.48,5136,70,70,10.26,1.003435409,1.003435409,-0.12,0.1,0.15,3.342,0.033,0.051,0.0187,0.0009,0.0009,4.4274682,PMS,K,,C14sdss,31.81818182,10.94117647,1.362928349,9.780072214,A,1.0111473607757975,0.6283889300503115,3.710625015060797
500,KIC2837475,1.4291,0.019,0.0209,1.6385,0.015,0.018,6614,77,77,4.767,0.218,0.171,0.01,0.1,0.1,4.1635,0.0066,0.0066,0.325029472,0.007547049,0.007600312,3.4586392,MS,F,,silva17,1.395983486,1.007018615,1.164197158,4.080134256,A,0.678245151927042,0.21444644571839463,3.820464190577684
636,KIC5773155,1.429,0.077833155,0.079208585,1.896,0.052153619,0.052153619,6317,55,55,5.469,0.4588635,0.4588635,0.138,0.1,0.1,4.036,0.013152946,0.013152946,0.2091,0.009816747,0.009575656,3.6533227,MS,F,,serenelli17,5.494812466,2.750718314,0.870666456,8.390263301,A,0.7379079233746387,0.2778383330020474,3.800510876894368
586,KIC4846457,1.429,0.060207973,0.061911227,2.474,0.107703296,0.098081599,5885,81,81,8.969,0.820218327,0.820218327,0.229,0.1,0.1,3.805,0.024186773,0.025179357,0.09392,0.009281036,0.009024524,3.9364987,PMS,G,,serenelli17,4.272890121,4.158950987,1.376380629,9.145036541,A,0.9527440240148983,0.39339969529310187,3.7697464671794534
24,BG_Ind A,1.428,0.008,0.008,2.29,0.017,0.017,6353,270,270,7.907,1.621,1.621,-0.2,0.1,0.1,3.865057243,0.006891794,0.006891794,,,,3.6297247,MS,F,,eker14,0.56022409,0.742358079,4.249960649,20.50082206,EB,0.8980117387975016,0.359835482339888,3.8029788553352617
753,KIC7914731,1.427,0.079605276,0.084095184,2.793,0.141661569,0.119369175,5633,67,67,9.674,0.900165863,0.900165863,-0.047,0.103,0.103,3.701,0.025317978,0.025317978,0.06535,0.006615255,0.006562089,4.1016847,PMS,G,,serenelli17,5.735825521,4.672945646,1.189419492,9.305001682,A,0.9856060830524365,0.4460709357010051,3.7507397512353506
666,KIC6313425,1.426,0.047434165,0.062169124,2.671,0.048259714,0.049929951,5763,85,85,7.254,0.667054601,0.667054601,-0.078,0.103,0.103,3.737,0.007211103,0.007211103,0.07462,0.001859361,0.001815154,4.0164697,PMS,G,,serenelli17,3.843032576,1.838069356,1.474926254,9.195679642,A,0.8605775512444155,0.4266738880213728,3.760648619581356
598,KIC5095159,1.426,0.101414989,0.123174673,2.776,0.069404611,0.083725743,5192,67,67,5.227,0.533007531,0.533007531,0.097,0.099,0.099,3.704,0.011313708,0.013601471,0.06662,0.00109386,0.00108414,4.3907602,PMS,K,,serenelli17,7.874812824,2.758111555,1.290446841,10.19719783,A,0.7182525000977505,0.44341946178281727,3.715334683792313
737,KIC7628676,1.426,0.110440029,0.119104996,3.117,0.096046864,0.10575916,5182,69,69,7.8,0.94443421,0.94443421,-0.07,0.1,0.1,3.603,0.010440307,0.011401754,0.04704,0.001324013,0.001300013,4.3973152,PMS,K,,serenelli17,8.048563277,3.237183573,1.331532227,12.1081309,A,0.8920946026904804,0.49373680227683986,3.714497408649806
860,KIC9225600,1.425,0.072917762,0.077794601,1.84,0.044102154,0.044102154,6262,56,56,4.758,0.411033864,0.411033864,0.219,0.1,0.1,4.061,0.012369317,0.012369317,0.2278,0.009084427,0.008949408,3.6893752,MS,F,,serenelli17,5.288153097,2.396856203,0.894282977,8.638794954,A,0.6774244377012474,0.2648178230095365,3.7967130632808965
453,KIC11757831,1.42,0.14,0.1,1.82,0.07,0.06,6754,70,70,7.031,0.617434134,0.617434134,-0.02,0.15,0.2,4.07,0.014,0.014,0.2351,0.01,0.0098,3.3668692,MS,F,,C14sdss,8.450704225,3.571428571,1.036422861,8.781597694,A,0.8470170979353542,0.2600713879850748,3.8295610562993927
323,EPIC206453540,1.42,0.08,0.08,1.87,0.05,0.05,6524,78,78,6.053,0.502935082,0.502935082,-0.02,0.11,0.11,4.044,0.011,0.011,0.215893758,0.008522122,0.008522122,3.5176342,MS,F,,lund16,5.633802817,2.673796791,1.19558553,8.308856464,A,0.781970673912552,0.27184160653649897,3.8145139523682383
893,KIC9696358,1.42,0.09,0.09,2.13,0.13,0.13,6131,75,75,5.738,0.529110305,0.529110305,0.17,0.072111026,0.072111026,,,,0.144876074,0.020595128,0.020595128,3.7752457,MS,F,p,huber13,6.338028169,6.103286385,1.22329147,9.22116251,A,0.7587605439099796,0.3283796034387377,3.787531316127234
803,KIC8494142,1.418,0.03,0.019,1.887,0.012,0.012,6144,106,106,4.818,0.259,0.243,0.058,0.072111026,0.072111026,4.038,0.005,0.005,0.211632697,0.003550884,0.002840707,3.7667242,MS,F,p,silva15,1.727785614,0.635930048,1.725260417,5.209630552,A,0.6828667956623246,0.27577190016493136,3.7884512070234555
711,KIC7133688,1.418,0.081320354,0.096607453,1.932,0.063953108,0.062177166,6400,63,63,6.589,0.596604813,0.596604813,0.028,0.1,0.1,4.015,0.019646883,0.021587033,0.1949,0.013651466,0.012298266,3.5989162,MS,F,,serenelli17,6.273900116,3.264241047,0.984375,9.054557799,A,0.8188195075475364,0.28600712207947454,3.806179973983887
594,KIC5033245,1.418,0.104355163,0.09679876,3.315,0.096462428,0.091760558,5086,63,63,7.723,0.767709114,0.767709114,0.119,0.1,0.1,3.548,0.008544004,0.009486833,0.03888,0.000918168,0.000921913,4.4602432,PMS,K,,serenelli17,7.092874581,2.838959063,1.238694455,9.940555669,A,0.8877860348383715,0.520483532740792,3.7063763558396903
324,KIC10003270,1.416,0.20746566,0.103232747,2.362,0.114947814,0.098478424,6594,69,69,9.847,0.935283685,0.935283685,-0.181,0.1,0.1,3.848,0.022135944,0.023086793,0.1086,0.008102689,0.00791751,3.4717492,MS,F,,serenelli17,10.97098893,4.517913596,1.046405823,9.498158676,A,0.9933039379194745,0.373279893277496,3.8191489428071344
849,KIC9138680,1.416,0.055443665,0.055443665,2.477,0.053712196,0.052801515,5990,60,60,7.756,0.670259577,0.670259577,0.129,0.099,0.099,3.8,0.012649111,0.012649111,0.09307,0.004233113,0.004078618,3.8676712,MS,G,,serenelli17,3.915513072,2.150054726,1.001669449,8.641820224,A,0.8896378004066677,0.393926006585837,3.7774268223893115
3,AD_Boo A,1.414,0.009,0.009,1.614,0.014,0.014,6575,120,120,4.375,0.356,0.356,0.1,0.15,0.15,4.173,0.008,0.008,,,,3.4842037,MS,F,,eker14,0.636492221,0.867410161,1.825095057,8.137142857,EB,0.640978057358332,0.20790353038605164,3.8178957571617955
341,KIC10162436,1.413,0.073552702,0.114061387,2.011,0.041868843,0.04580393,6346,108,108,5.258,0.435907812,0.435907812,-0.059,0.1,0.1,3.979,0.009433981,0.013928388,0.1731,0.001934347,0.002174752,3.6343132,MS,F,,serenelli17,6.638856659,2.179830253,1.701859439,8.290372993,A,0.7208205817703439,0.30341207059674197,3.8025000677643934
691,KIC6671492,1.413,0.065115282,0.066603303,2.445,0.049648766,0.047010637,6103,103,103,8.403,0.73916899,0.73916899,0.067,0.1,0.1,3.81,0.012529964,0.012529964,0.09654,0.003570052,0.003522863,3.7935997,MS,F,,serenelli17,4.660954905,1.976674917,1.687694576,8.796489233,A,0.9244343635432307,0.388278863459639,3.785543369956593
712,KIC7174470,1.412,0.221551348,0.122674366,2.266,0.09625487,0.080156098,6119,84,84,6.988,0.592399744,0.592399744,0.192,0.1,0.1,3.882,0.022825424,0.021095023,0.1228,0.006069465,0.0059424,3.7831117,MS,F,,serenelli17,12.18929583,3.892563277,1.372773329,8.477386143,A,0.8443528963108934,0.35525990552737846,3.7866804531966487
317,EPIC206201061,1.41,0.1,0.1,1.97,0.06,0.06,6589,71,71,5.989,0.544008622,0.544008622,-0.02,0.11,0.11,3.997,0.013,0.013,0.1839358,0.007811945,0.007811945,3.4750267,MS,F,,lund16,7.092198582,3.045685279,1.077553498,9.083463377,A,0.7773543130842088,0.2944662261615929,3.8188195075475364
445,KIC11673802,1.41,0.21,0.21,3.79,0.19,0.19,4992,75,75,5.899,0.725579361,0.725579361,0.186,0.072111026,0.072111026,,,,0.025921454,0.00092323,0.00092323,4.5218602,PMS,K,p,huber13,14.89361702,5.013192612,1.502403846,12.30004002,A,0.7707783961691477,0.5786392099680724,3.6982745766743674
419,KIC11253226,1.4082,0.0209,0.0095,1.6145,0.012,0.015,6642,77,77,4.834,0.124,0.184,-0.08,0.1,0.1,4.1734,0.0044,0.0055,0.337700447,0.005827711,0.005836233,3.4402852,MS,F,,silva17,1.079392132,0.83617219,1.159289371,3.18576748,A,0.6843066460716315,0.20803804935318046,3.8222988712623662
530,KIC3632418,1.4082,0.0209,0.0209,1.9114,0.021,0.024,6193,77,77,5.14,0.209,0.2,-0.041,0.072111026,0.072111026,4.0238,0.0077,0.0077,0.202028265,0.006581209,0.005407997,3.7346047,MS,F,p,silva17,1.484164181,1.17714764,1.243339254,3.978599222,A,0.7109631189952758,0.28135158167273755,3.791901080009571
31,BP_Vul B,1.408,0.009,0.009,1.489,0.014,0.014,6823,150,150,4.315,0.427,0.427,,,,4.24,0.008,0.008,,,,3.3216397,MS,F,,eker14,0.639204545,0.940228341,2.198446431,9.89571263,EB,0.6349808000512285,0.17289469775217617,3.833975371279906
710,KIC7107778,1.408,0.100284595,0.104235311,2.929,0.087097646,0.092962358,5129,82,82,11.05,1.083099761,1.083099761,0.034,0.1,0.1,3.652,0.009219544,0.009219544,0.05599,0.001472167,0.001431053,4.4320567,PMS,K,,serenelli17,7.262780744,3.073745379,1.598752193,9.801807792,A,1.0433622780211296,0.46671937168159866,3.7100326990657537
226,V442_Cyg B,1.407,0.02,0.02,1.662,0.03,0.03,6808,79,79,5.333,0.329,0.329,,,,4.15,0.02,0.02,,,,3.3314722,MS,F,,eker14,1.421464108,1.805054152,1.16039953,6.169135571,EB,0.7269715836828766,0.22063101944809216,3.8330195470765314
391,KIC10959362,1.406,0.090801982,0.090376988,2.307,0.07823682,0.073409809,5806,94,94,6.758,0.610995345,0.610995345,0.419,0.102,0.102,3.859,0.018384776,0.018384776,0.1142,0.007112295,0.006959183,3.9882832,PMS,G,,serenelli17,6.443064388,3.286662952,1.619014812,9.041067551,A,0.8298181874388775,0.3630475945210935,3.763877031495655
622,KIC5530375,1.404,0.064350602,0.061854668,2.753,0.06574192,0.064845971,6210,55,55,8.503,1.208243273,1.208243273,-0.226,0.1,0.1,3.706,0.012369317,0.012369317,0.0673,0.002961575,0.002929207,3.7234612,MS,F,,serenelli17,4.494489692,2.37173794,0.885668277,14.20961159,A,0.92957217907655,0.43980621139333026,3.79309160017658
423,KIC11389393,1.403,0.082758685,0.142270868,1.905,0.072111026,0.075471849,6174,66,66,4.74,0.376421965,0.376421965,0.14,0.1,0.1,4.019,0.015297059,0.016278821,0.2003,0.011681726,0.011096036,3.7470592,MS,F,,serenelli17,8.019584952,3.873566262,1.068999028,7.941391669,A,0.6757783416740851,0.2798949800116381,3.7905666251460763
264,VZ_Cep A,1.402,0.015,0.015,1.558,0.012,0.012,6670,160,160,4.315,0.46,0.46,0.06,0.09,0.09,4.213,0.008,0.008,,,,3.4219312,MS,F,,eker14,1.069900143,0.770218228,2.3988006,10.66048667,EB,0.6349808000512285,0.19256745333654565,3.824125833916549
496,KIC2010607,1.402,0.08184131,0.069354164,2.41,0.105948101,0.09656604,6361,71,71,10.71,0.986519043,0.986519043,-0.07,0.1,0.1,3.819,0.027166155,0.027166155,0.09973,0.009964845,0.009501666,3.6244807,MS,F,,serenelli17,5.392135285,4.201538176,1.116176702,9.211195542,A,1.0297894708318556,0.3820170425748684,3.8035253955765325
15,AN_Cam A,1.4,0.14,0.14,2.3,0.23,0.23,5495,393,393,4.305,1.748,1.748,,,,,,,,,,4.1921437,PMS,G,,malkov07,10.0,10.0,7.151956324,40.6039489,EB,0.6339731557896735,0.36172783601759284,3.7399676967595092
16,AN_Cam B,1.4,0.14,0.14,1.7,0.17,0.17,6026,431,431,3.404,1.382,1.382,,,,,,,,,,3.8440732,MS,F,,malkov07,10.0,10.0,7.152339861,40.59929495,EB,0.5319895514125502,0.2304489213782739,3.7800291273373383
528,KIC3547794,1.4,0.11,0.13,1.75,0.06,0.06,6825,81,81,5.785,0.49127116,0.49127116,-0.14,0.15,0.15,4.093,0.019,0.019,0.2585,0.0152,0.0145,3.3203287,MS,F,,C14sdss,8.571428571,3.428571429,1.186813187,8.49215488,A,0.7623033632877684,0.24303804868629444,3.8341026557127935
312,EPIC206094605,1.4,0.11,0.11,2.01,0.07,0.07,6537,78,78,6.616,0.579248511,0.579248511,0.04,0.08,0.08,3.979,0.014,0.014,0.172572971,0.007811945,0.007811945,3.5091127,MS,F,,lund16,7.857142857,3.482587065,1.193207894,8.755267702,A,0.8205954965444903,0.30319605742048883,3.815378484965918
409,KIC11133100,1.4,0.25,0.17,2.37,0.14,0.13,6222,51,51,15.06,1.32370116,1.32370116,0.0,0.15,0.15,3.849,0.025,0.027,0.1091,0.0088,0.0083,3.7155952,MS,F,,C14sdss,15.0,5.696202532,0.819672131,8.789516336,A,1.1778249718646818,0.37474834601010387,3.7939300067726847
651,KIC6064910,1.4,0.15,0.13,2.37,0.1,0.09,6508,75,75,8.907,0.767730778,0.767730778,-0.26,0.2,0.15,3.836,0.015,0.015,0.1057,0.004,0.004,3.5281222,MS,F,,C14sdss,10.0,4.008438819,1.152427781,8.619409212,A,0.9497314523157071,0.37474834601010387,3.8134475442648212
672,KIC6448798,1.4,0.22,0.12,2.4,0.14,0.1,6349,67,67,9.553,0.859532225,0.859532225,-0.16,0.15,0.15,3.829,0.017,0.017,0.1023,0.006,0.0058,3.6323467,MS,F,,C14sdss,12.14285714,5.0,1.055284297,8.997510995,A,0.9801397777457546,0.38021124171160603,3.802705327074352
452,KIC11723674,1.4,0.061400326,0.061400326,2.466,0.065306967,0.062609903,6246,63,63,10.05,0.930950536,0.930950536,-0.062,0.1,0.1,3.799,0.01456022,0.015524175,0.09306,0.004969343,0.004868628,3.6998632,MS,F,,serenelli17,4.385737552,2.59361052,1.008645533,9.263189416,A,1.0021660617565078,0.39199307225971286,3.7956019798941796
876,KIC9414417,1.399,0.073736016,0.075239617,1.917,0.036687873,0.038910153,6278,52,52,5.158,0.428564138,0.428564138,-0.049,0.072111026,0.072111026,4.018,0.009433981,0.01,0.1986,0.001555476,0.001695643,3.6788872,MS,F,p,serenelli17,5.324361431,1.971779488,0.828289264,8.308726982,A,0.7124813378019187,0.2826221128780626,3.797821311364024
442,KIC11558593,1.399,0.124326184,0.134238594,3.155,0.109772492,0.121840059,5309,60,60,,,,-0.263,0.101,0.101,3.584,0.013928388,0.014866069,0.0444,0.001669865,0.001642223,4.3140667,PMS,G,,serenelli17,9.241057092,3.670563409,1.130156338,100.0,A,,0.49899936358015307,3.725012725341157
755,KIC7940546,1.3987,0.0304,0.0114,1.9414,0.027,0.009,6235,77,77,6.189,0.023,0.257,-0.2,0.1,0.1,4.0073,0.0011,0.0033,0.191573042,0.000857183,0.002964988,3.7070737,MS,F,,silva17,1.494244656,0.927165963,1.234963913,2.26207788,A,0.791620482692814,0.2881150252881032,3.7948364578145615
191,V1130_Tau A,1.392,0.008,0.008,1.784,0.011,0.011,6625,70,70,5.508,0.26,0.26,-0.25,0.1,0.1,4.08,0.006,0.006,,,,3.4514287,MS,F,,eker14,0.574712644,0.616591928,1.056603774,4.720406681,EB,0.740993931584886,0.25139485004010426,3.8211858826088454
861,KIC9226926,1.39,0.05,0.04,1.64,0.03,0.03,6892,84,84,4.548,0.365619369,0.365619369,-0.23,0.09,0.09,4.151,0.013,0.012,0.3147,0.0126,0.0126,3.2764102,MS,F,,C14bruntt,3.237410072,1.829268293,1.218804411,8.039124205,A,0.6578204560156972,0.21484384804769785,3.8383452687759907
376,KIC10709834,1.39,0.04,0.03,1.76,0.03,0.02,6508,84,84,5.709,0.462955304,0.462955304,-0.08,0.09,0.09,4.092,0.01,0.01,0.2573,0.0083,0.0081,3.5281222,MS,F,,C14bruntt,2.517985612,1.420454545,1.290719115,8.10921884,A,0.7565600430066829,0.24551266781414982,3.8134475442648212
779,KIC8228742,1.39,0.047169906,0.124595345,1.877,0.025942244,0.054129474,6130,51,51,4.252,0.384700415,0.384700415,-0.019,0.1,0.1,4.033,0.00781025,0.016155494,0.2097,0.002620699,0.002824182,3.7759012,MS,F,,serenelli17,6.178606139,2.132970643,0.831973899,9.047516817,A,0.6285932558512591,0.2734642726213463,3.787460474518415
736,KIC7622208,1.39,0.11,0.19,1.92,0.07,0.1,6606,99,99,6.48,0.616787233,0.616787233,0.0,0.15,0.15,4.008,0.013,0.014,0.1942,0.0086,0.0084,3.4638832,MS,F,,C14sdss,10.79136691,4.427083333,1.498637602,9.518321494,A,0.8115750058705934,0.28330122870354957,3.8199385693553953
614,KIC5450445,1.39,0.07,0.06,1.99,0.04,0.04,6112,84,84,5.484,0.465478939,0.465478939,0.05,0.09,0.09,3.985,0.009,0.009,0.1775,0.0041,0.004,3.7877002,MS,F,,C14bruntt,4.676258993,2.010050251,1.37434555,8.487945642,A,0.7390974461174751,0.29885307640970665,3.7861833455676335
346,KIC10264660,1.39,0.1,0.1,2.08,0.07,0.07,6378,75,75,,,,0.05,0.072111026,0.072111026,,,,0.159079611,0.009942476,0.009942476,3.6133372,MS,F,p,huber13,7.194244604,3.365384615,1.175917215,100.0,A,,0.31806333496276157,3.8046845149069406
