,M,logT,type,rho,logg,logL,logR,SNtype
413,2.289812912,3.721,G,0.00014969641186249425,2.42,2.215,1.1875,4.0
414,2.579882936,3.744,G,0.00014488098524816212,2.43,2.35,1.2095,4.0
415,2.480275938,3.695,G,9.057563569221797e-05,2.29,2.276,1.2718,4.0
416,1.269112144,3.755,G,0.03777560169296366,3.9384,0.576,0.3014,4.0
417,1.211434674,3.757,G,0.08381300089461376,4.1623,0.344,0.1793,4.0
418,0.912010839,3.702,K,0.27958340548047,4.47,-0.31,-0.0362,5.0
419,0.822053343,3.671,K,0.31850143288837424,4.494,-0.5,-0.0701,5.0
420,1.282035349,3.716,K,0.013986575391948863,3.653,0.71,0.4467,5.0
421,1.251122977,3.778,G,0.0347785435490854,3.913,0.69,0.3113,4.0
422,2.056837587,3.693,G,0.000846274764806487,2.915,1.57,0.9212,4.0
423,1.9579428,3.803,F,0.007469841568061043,3.539,1.36,0.5988,3.0
424,1.729816359,3.716,G,8.709864338242957e-05,2.23,2.27,1.2253,4.0
425,1.690051738,3.708,G,6.0703172737535286e-05,2.12,2.334,1.2742,4.0
426,2.045031491,3.679,K,0.0005624855766835133,2.79,1.633,0.9795,5.0
427,2.073958204,3.68,K,0.0006677461467680908,2.841,1.591,0.9567,5.0
428,2.856932635,3.724,G,0.00013810563235856467,2.432,2.312,1.2312,4.0
429,2.809959109,3.721,G,0.00016436577458555596,2.48,2.246,1.2036,4.0
430,0.970063134,3.697,G,5.761179289400879e-05,2.02,2.149,1.2014,4.0
431,0.970063134,3.679,G,1.4642370468408256e-05,1.63,2.468,1.3997,4.0
432,3.30369541,3.719,G,4.3192803210455106e-05,2.116,2.669,1.4205,4.0
433,3.204793123,3.734,G,0.00011534835111022333,2.396,2.439,1.2739,4.0
436,2.679785297,3.724,G,0.00020549979391110823,2.53,2.182,1.1644,4.0
437,2.569803995,3.684,G,7.227887605804771e-05,2.23,2.31,1.3096,4.0
440,1.440124371,3.686,G,5.5196481009046624e-05,2.07,2.228,1.2648,4.0
441,1.420038111,3.679,G,3.608372720231306e-05,1.94,2.322,1.3243,4.0
442,2.984008116,3.721,G,8.568630012629193e-05,2.3,2.453,1.3066,4.0
443,3.093143011,3.704,G,4.917126606813154e-05,2.144,2.554,1.3922,4.0
444,3.950026416,3.74,G,3.3374240460475875e-05,2.067,2.882,1.4837,4.0
445,4.059756633,3.706,G,1.576926279469614e-05,1.854,2.972,1.5962,4.0
446,3.332728996,3.705,G,5.3457838020008333e-05,2.179,2.555,1.3909,4.0
447,3.184197522,3.673,G,1.5449391928599713e-05,1.813,2.777,1.564,4.0
448,3.5983218,3.699,G,2.427232567519733e-05,1.962,2.783,1.5163,4.0
449,3.429256733,3.702,G,6.390154972637108e-05,2.235,2.5,1.3692,4.0
450,1.853958464,3.691,G,2.6885083564967755e-05,1.895,2.529,1.4055,4.0
451,1.805094737,3.655,K,4.425999807127416e-06,1.369,2.898,1.6628,5.0
452,0.70291045,3.624,K,0.5018932913159243,4.6,-0.808,-0.1586,5.0
453,0.687226662,3.611,M,0.48029867766298145,4.585,-0.909,-0.1555,6.0
454,2.7472615,3.71,G,0.0001479147182843658,2.446,2.225,1.2156,4.0
455,2.975774377,3.705,G,0.00012528855218968556,2.409,2.276,1.2512,4.0
456,0.640176901,3.628,K,0.4712066278554115,4.57,-0.863,-0.163,5.0
457,0.651028498,3.613,K,0.5120488444630745,4.597,-0.939,-0.1726,5.0
