Mass[solMass],logT,Absolute Mag,B-V
1.55,3.881,4.26,0.7
1.49,3.837,4.3,0.82
2.81,3.621,0.68,1.53
2.82,3.621,0.68,1.53
2.79,3.621,0.68,1.53
3.24,3.713,0.86,1.07
2.08,3.606,0.97,1.6
3.41,3.67,1.0,1.29
3.17,3.67,1.0,1.29
3.09,3.67,1.0,1.29
3.39,3.672,1.03,1.28
3.15,3.672,1.03,1.28
3.1,3.672,1.03,1.28
2.98,3.727,1.04,1.0
2.92,3.656,1.36,1.36
2.89,3.656,1.36,1.36
2.72,3.656,1.36,1.36
3.03,3.662,1.39,1.33
2.96,3.662,1.39,1.33
2.86,3.662,1.39,1.33
2.23,3.834,1.39,0.54
2.88,3.704,1.45,1.12
2.44,3.76,1.45,0.83
2.15,3.869,1.46,0.44
2.39,3.981,1.58,0.2
2.81,3.662,1.61,1.33
2.77,3.662,1.61,1.33
2.66,3.662,1.61,1.33
2.91,3.684,1.62,1.22
2.02,3.858,1.7,0.47
2.29,3.975,1.77,0.21
2.53,3.708,1.84,1.1
2.16,3.941,1.89,0.27
2.08,3.914,1.97,0.33
2.02,3.914,1.97,0.33
1.95,3.914,1.97,0.33
1.86,3.877,2.07,0.42
2.29,3.71,2.15,1.09
1.79,3.862,2.22,0.46
1.9,3.885,2.33,0.4
1.87,3.885,2.33,0.4
1.78,3.885,2.33,0.4
1.75,3.873,2.34,0.43
1.88,3.892,2.4,0.38
1.88,3.892,2.41,0.38
1.94,3.936,2.42,0.28
1.63,3.858,2.67,0.47
1.78,3.905,2.7,0.35
1.9,3.95,2.7,0.25
1.71,3.869,2.8,0.44
1.71,3.873,2.82,0.43
1.73,3.9,2.85,0.36
1.69,3.873,2.86,0.43
1.7,3.888,2.87,0.39
1.69,3.881,2.89,0.41
1.67,3.862,2.9,0.46
1.63,3.847,3.0,0.5
1.57,3.847,3.0,0.5
1.53,3.847,3.0,0.5
1.69,3.905,3.01,0.35
1.5,3.825,3.01,0.57
1.61,3.877,3.13,0.42
1.68,3.918,3.18,0.32
1.56,3.862,3.24,0.46
1.51,3.854,3.39,0.48
1.63,3.918,3.4,0.32
1.48,3.828,3.45,0.56
1.38,3.828,3.45,0.56
1.38,3.828,3.45,0.56
1.54,3.885,3.47,0.4
1.33,3.803,3.49,0.64
1.45,3.813,3.51,0.61
1.42,3.813,3.51,0.61
1.33,3.813,3.51,0.61
1.47,3.85,3.52,0.49
1.45,3.822,3.52,0.58
1.37,3.822,3.52,0.58
1.35,3.822,3.52,0.58
1.5,3.873,3.54,0.43
1.47,3.858,3.54,0.47
1.43,3.813,3.55,0.61
1.39,3.813,3.55,0.61
1.33,3.813,3.55,0.61
1.45,3.834,3.55,0.54
1.47,3.869,3.67,0.44
1.41,3.844,3.71,0.51
1.42,3.854,3.72,0.48
1.39,3.834,3.74,0.54
1.43,3.862,3.79,0.46
1.4,3.854,3.83,0.48
1.31,3.793,3.88,0.68
1.29,3.793,3.88,0.68
1.22,3.793,3.88,0.68
1.36,3.841,3.91,0.52
1.29,3.816,4.03,0.6
1.34,3.847,4.06,0.5
1.28,3.825,4.17,0.57
1.22,3.793,4.2,0.68
4.05,3.656,1.33,1.7
3.72,3.656,1.33,1.7
3.24,3.656,1.33,1.7
2.83,3.888,1.4,0.73
3.24,3.623,1.42,1.86
3.24,3.623,1.42,1.86
3.04,3.623,1.42,1.86
3.75,3.662,1.64,1.67
3.46,3.662,1.64,1.67
3.14,3.662,1.64,1.67
3.08,3.752,1.7,1.21
3.32,4.1,1.8,0.42
3.42,3.698,1.82,1.49
3.35,3.704,1.84,1.46
3.32,3.702,1.9,1.47
3.21,3.713,1.92,1.41
2.43,3.888,1.99,0.73
3.06,3.723,2.01,1.36
3.06,3.717,2.08,1.39
3.18,3.702,2.09,1.47
3.07,3.713,2.11,1.41
3.13,3.706,2.12,1.45
3.13,3.702,2.17,1.47
3.14,3.698,2.2,1.49
3.1,3.702,2.21,1.47
3.0,3.708,2.28,1.44
3.02,3.704,2.3,1.46
3.11,3.694,2.31,1.51
2.96,3.708,2.33,1.44
2.87,3.713,2.36,1.41
2.82,3.717,2.37,1.39
3.04,3.694,2.41,1.51
3.0,3.682,2.54,1.57
2.08,3.865,2.6,0.79
2.63,3.71,2.7,1.43
2.09,3.793,2.79,1.02
2.01,3.822,2.83,0.92
2.07,3.789,2.84,1.04
1.95,3.865,2.86,0.79
1.95,3.837,2.89,0.87
1.94,3.847,2.9,0.84
1.99,3.809,2.91,0.96
2.14,3.758,2.92,1.18
1.87,3.837,3.05,0.87
2.02,3.905,3.1,0.69
1.97,3.905,3.1,0.69
1.89,3.905,3.1,0.69
1.84,3.854,3.1,0.82
1.84,3.831,3.14,0.89
1.86,3.806,3.15,0.97
2.5,4.062,3.16,0.45
1.81,3.873,3.19,0.77
1.82,3.816,3.2,0.94
1.79,3.844,3.21,0.85
1.8,3.869,3.21,0.78
1.8,3.877,3.24,0.76
1.78,3.865,3.25,0.79
1.79,3.822,3.26,0.92
1.95,3.9,3.27,0.7
1.84,3.9,3.27,0.7
1.83,3.9,3.27,0.7
1.94,3.9,3.29,0.7
1.83,3.9,3.29,0.7
1.82,3.9,3.29,0.7
2.31,4.03,3.29,0.48
1.76,3.837,3.3,0.87
1.77,3.865,3.3,0.79
1.76,3.862,3.3,0.8
2.23,3.706,3.31,1.45
1.75,3.837,3.32,0.87
1.74,3.85,3.33,0.83
1.76,3.869,3.34,0.78
1.74,3.854,3.34,0.82
1.76,3.877,3.35,0.76
1.74,3.825,3.36,0.91
1.74,3.862,3.37,0.8
1.73,3.854,3.38,0.82
1.71,3.825,3.42,0.91
1.86,3.885,3.45,0.74
1.79,3.885,3.45,0.74
1.75,3.885,3.45,0.74
1.74,3.78,3.48,1.08
1.84,3.873,3.48,0.77
1.84,3.873,3.48,0.77
1.72,3.873,3.48,0.77
1.83,3.881,3.52,0.75
1.76,3.881,3.52,0.75
1.72,3.881,3.52,0.75
1.67,3.847,3.52,0.84
1.69,3.862,3.52,0.8
1.83,3.885,3.53,0.74
1.73,3.885,3.53,0.74
1.72,3.885,3.53,0.74
1.67,3.854,3.55,0.82
1.65,3.831,3.57,0.89
1.65,3.841,3.58,0.86
1.82,3.896,3.58,0.71
1.84,3.909,3.58,0.68
1.65,3.831,3.58,0.89
1.64,3.837,3.61,0.87
1.79,3.865,3.61,0.79
1.77,3.865,3.61,0.79
1.67,3.865,3.61,0.79
1.81,3.896,3.62,0.71
1.81,3.905,3.63,0.69
1.79,3.892,3.65,0.72
1.9,3.945,3.66,0.6
1.78,3.885,3.67,0.74
1.8,3.905,3.68,0.69
1.61,3.819,3.68,0.93
1.77,3.877,3.68,0.76
1.76,3.862,3.68,0.8
1.74,3.862,3.68,0.8
1.64,3.862,3.68,0.8
1.96,3.969,3.69,0.56
1.77,3.885,3.69,0.74
1.75,3.858,3.71,0.81
1.74,3.858,3.71,0.81
1.62,3.858,3.71,0.81
1.77,3.896,3.72,0.71
1.75,3.881,3.75,0.75
1.77,3.905,3.75,0.69
1.73,3.858,3.75,0.81
1.71,3.858,3.75,0.81
1.61,3.858,3.75,0.81
1.76,3.896,3.76,0.71
1.77,3.905,3.77,0.69
1.76,3.905,3.78,0.69
1.72,3.862,3.78,0.8
1.66,3.862,3.78,0.8
1.61,3.862,3.78,0.8
1.74,3.888,3.79,0.73
1.72,3.862,3.8,0.8
1.65,3.862,3.8,0.8
1.61,3.862,3.8,0.8
1.82,3.932,3.82,0.63
1.71,3.881,3.84,0.75
1.71,3.881,3.84,0.75
1.55,3.819,3.84,0.93
1.71,3.881,3.84,0.75
1.56,3.834,3.84,0.88
1.72,3.892,3.85,0.72
1.72,3.896,3.86,0.71
1.72,3.896,3.86,0.71
1.7,3.877,3.88,0.76
1.68,3.847,3.88,0.84
1.67,3.847,3.88,0.84
1.56,3.847,3.88,0.84
1.68,3.854,3.89,0.82
1.62,3.854,3.89,0.82
1.57,3.854,3.89,0.82
1.69,3.873,3.9,0.77
1.79,3.932,3.92,0.63
1.52,3.816,3.92,0.94
1.67,3.858,3.93,0.81
1.58,3.858,3.93,0.81
1.57,3.858,3.93,0.81
1.53,3.828,3.93,0.9
1.69,3.888,3.94,0.73
1.69,3.892,3.94,0.72
1.68,3.885,3.96,0.74
1.5,3.816,4.0,0.94
1.65,3.881,4.02,0.75
1.51,3.834,4.03,0.88
1.48,3.819,4.06,0.93
1.62,3.862,4.08,0.8
1.64,3.885,4.09,0.74
1.47,3.825,4.11,0.91
1.63,3.885,4.13,0.74
1.6,3.869,4.14,0.78
1.65,3.9,4.15,0.7
1.57,3.854,4.2,0.82
1.44,3.825,4.21,0.91
1.56,3.834,4.23,0.88
1.5,3.834,4.23,0.88
1.45,3.834,4.23,0.88
1.67,3.918,4.24,0.66
1.54,3.837,4.28,0.87
1.45,3.837,4.28,0.87
1.45,3.837,4.28,0.87
1.54,3.834,4.29,0.88
1.46,3.834,4.29,0.88
1.44,3.834,4.29,0.88
1.53,3.828,4.31,0.9
1.48,3.828,4.31,0.9
1.42,3.828,4.31,0.9
1.55,3.873,4.34,0.77
1.55,3.873,4.34,0.77
1.52,3.819,4.35,0.93
1.5,3.819,4.35,0.93
1.39,3.819,4.35,0.93
1.51,3.822,4.36,0.92
1.48,3.822,4.36,0.92
1.39,3.822,4.36,0.92
1.51,3.85,4.38,0.83
1.5,3.837,4.4,0.87
1.5,3.858,4.45,0.81
1.51,3.865,4.46,0.79
1.48,3.841,4.48,0.86
1.5,3.865,4.49,0.79
1.47,3.847,4.5,0.84
1.49,3.858,4.5,0.81
1.46,3.847,4.55,0.84
1.47,3.858,4.58,0.81
1.43,3.837,4.61,0.87
1.55,3.905,4.63,0.69
1.47,3.865,4.63,0.79
1.43,3.847,4.66,0.84
1.42,3.831,4.66,0.89
1.41,3.837,4.71,0.87
1.4,3.834,4.71,0.88
1.37,3.828,4.82,0.9
1.37,3.837,4.84,0.87
1.4,3.854,4.87,0.82
1.35,3.825,4.89,0.91
1.34,3.819,4.9,0.93
1.37,3.844,4.92,0.85
1.37,3.847,4.96,0.84
4.11,3.754,-0.58,0.81
4.42,3.694,-0.41,1.12
3.92,3.694,-0.41,1.12
3.61,3.694,-0.41,1.12
3.98,3.733,-0.31,0.92
4.56,3.646,-0.31,1.36
4.19,3.646,-0.31,1.36
3.47,3.646,-0.31,1.36
4.49,3.662,-0.17,1.28
3.93,3.662,-0.17,1.28
3.43,3.662,-0.17,1.28
3.03,3.606,0.05,1.55
-1.0,3.053,0.08,2.15
4.02,3.686,0.08,1.16
3.6,3.686,0.08,1.16
3.39,3.686,0.08,1.16
-1.0,3.115,0.15,2.1
3.61,3.633,0.23,1.42
3.55,3.633,0.23,1.42
3.12,3.633,0.23,1.42
2.8,3.888,0.27,0.34
2.7,3.914,0.4,0.28
2.98,3.796,0.42,0.62
3.59,3.644,0.42,1.37
3.51,3.644,0.42,1.37
3.08,3.644,0.42,1.37
-1.0,3.178,0.45,2.05
3.74,3.672,0.54,1.23
3.36,3.672,0.54,1.23
3.18,3.672,0.54,1.23
3.69,3.678,0.55,1.2
3.33,3.678,0.55,1.2
3.21,3.678,0.55,1.2
2.82,3.793,0.62,0.63
15.16,4.7,0.63,-0.18
2.64,3.615,0.64,1.51
3.51,3.682,0.73,1.18
3.2,3.682,0.73,1.18
3.18,3.682,0.73,1.18
23.37,5.15,0.77,-0.23
-1.0,2.465,0.78,2.62
2.43,3.923,0.81,0.26
2.65,3.796,0.82,0.62
2.08,3.608,0.86,1.54
3.4,3.674,0.88,1.22
3.14,3.674,0.88,1.22
3.11,3.674,0.88,1.22
2.42,3.95,0.88,0.2
2.59,3.791,0.91,0.64
-1.0,2.84,0.91,2.32
2.87,4.05,0.95,0.07
-1.0,3.478,0.98,1.81
2.3,3.9,1.01,0.31
9.47,4.5,1.03,-0.16
3.24,3.688,1.03,1.15
2.3,3.873,1.04,0.38
2.38,3.803,1.13,0.59
2.39,3.625,1.13,1.46
1.73,3.604,1.15,1.56
3.03,3.658,1.16,1.3
2.98,3.658,1.16,1.3
2.82,3.658,1.16,1.3
2.81,3.721,1.16,0.98
2.25,3.932,1.17,0.24
1.59,3.6,1.21,1.58
2.58,4.01,1.22,0.11
2.95,3.658,1.23,1.3
2.92,3.658,1.23,1.3
2.76,3.658,1.23,1.3
-1.0,3.553,1.23,1.74
2.19,3.923,1.26,0.26
2.74,3.719,1.27,0.99
2.31,3.627,1.27,1.45
3.04,3.674,1.28,1.22
2.68,3.725,1.28,0.96
2.84,3.658,1.34,1.3
2.81,3.658,1.34,1.3
2.66,3.658,1.34,1.3
2.12,3.877,1.35,0.37
2.14,3.844,1.36,0.46
2.12,3.862,1.37,0.41
-1.0,3.378,1.38,1.89
2.44,3.994,1.4,0.13
1.77,3.617,1.4,1.5
2.55,3.648,1.41,1.35
2.55,3.648,1.41,1.35
2.44,3.648,1.41,1.35
2.08,3.892,1.42,0.33
2.09,3.854,1.42,0.43
2.53,3.648,1.43,1.35
2.53,3.648,1.43,1.35
2.43,3.648,1.43,1.35
2.13,3.825,1.44,0.52
2.41,3.644,1.48,1.37
2.42,3.644,1.48,1.37
2.34,3.644,1.48,1.37
2.28,3.95,1.5,0.2
2.98,4.117,1.51,0.02
2.03,3.892,1.54,0.33
1.28,3.597,1.54,1.59
2.77,3.664,1.55,1.27
2.71,3.664,1.55,1.27
2.63,3.664,1.55,1.27
2.02,3.892,1.56,0.33
2.0,3.869,1.58,0.39
2.19,3.923,1.61,0.26
2.17,3.923,1.61,0.26
2.05,3.923,1.61,0.26
1.99,3.885,1.62,0.35
1.98,3.877,1.62,0.37
2.02,3.822,1.64,0.53
2.19,3.936,1.66,0.23
1.97,3.888,1.67,0.34
2.03,3.809,1.67,0.57
1.98,3.831,1.68,0.5
1.97,3.831,1.7,0.5
1.21,3.6,1.7,1.58
2.08,3.78,1.7,0.69
2.18,3.95,1.72,0.2
2.13,3.914,1.72,0.28
2.12,3.914,1.72,0.28
1.99,3.914,1.72,0.28
2.64,3.694,1.73,1.12
1.99,3.809,1.73,0.57
1.96,3.905,1.74,0.3
1.0,3.585,1.74,1.63
1.93,3.885,1.74,0.35
2.4,4.02,1.76,0.1
2.63,3.676,1.78,1.21
2.12,3.936,1.81,0.23
2.13,3.644,1.82,1.37
2.14,3.644,1.82,1.37
2.11,3.644,1.82,1.37
1.92,3.896,1.82,0.32
2.94,4.133,1.83,0.01
-1.0,3.571,1.87,1.68
1.89,3.888,1.87,0.34
1.93,3.8,1.88,0.6
1.9,3.9,1.88,0.31
2.18,3.975,1.89,0.16
1.46,3.621,1.9,1.48
1.87,3.885,1.9,0.35
1.92,3.798,1.9,0.61
2.48,3.696,1.91,1.11
2.26,3.719,1.92,0.99
2.17,3.975,1.92,0.16
2.08,3.941,1.92,0.22
-1.0,3.559,1.93,1.72
-1.0,3.579,1.94,1.65
1.83,3.847,1.95,0.45
1.96,3.771,1.95,0.73
2.04,3.753,1.95,0.81
1.26,3.613,1.97,1.52
2.04,3.927,1.97,0.25
1.96,3.768,1.97,0.74
1.84,3.828,1.97,0.51
1.07,3.604,2.03,1.56
2.0,3.923,2.03,0.26
1.36,3.621,2.04,1.48
1.86,3.789,2.05,0.65
1.79,3.862,2.07,0.41
2.12,3.975,2.07,0.16
1.06,3.606,2.1,1.55
-1.0,3.588,2.1,1.62
1.7,3.638,2.11,1.4
0.96,3.6,2.12,1.58
1.17,3.613,2.12,1.52
-1.0,3.44,2.12,1.84
1.95,3.747,2.14,0.84
1.76,3.822,2.16,0.53
1.84,3.771,2.17,0.73
1.97,3.936,2.17,0.23
1.73,3.828,2.2,0.51
1.83,3.766,2.2,0.75
2.04,3.725,2.21,0.96
1.88,3.753,2.22,0.81
2.22,3.7,2.22,1.09
2.05,3.969,2.23,0.17
2.05,3.969,2.23,0.17
1.87,3.877,2.24,0.37
1.87,3.877,2.24,0.37
1.74,3.877,2.24,0.37
1.89,3.892,2.24,0.33
1.78,3.892,2.24,0.33
1.77,3.892,2.24,0.33
1.75,3.798,2.24,0.61
1.93,3.927,2.25,0.25
1.87,3.885,2.26,0.35
1.81,3.885,2.26,0.35
1.75,3.885,2.26,0.35
1.9,3.914,2.26,0.28
1.72,3.806,2.27,0.58
2.05,3.717,2.28,1.0
1.86,3.881,2.29,0.36
1.8,3.881,2.29,0.36
1.74,3.881,2.29,0.36
1.69,3.844,2.29,0.46
1.72,3.795,2.3,0.62
1.97,3.95,2.3,0.2
-1.0,3.588,2.31,1.62
2.05,3.975,2.31,0.16
2.07,3.981,2.32,0.15
1.68,3.854,2.33,0.43
1.73,3.78,2.34,0.69
1.72,3.789,2.34,0.65
1.68,3.858,2.36,0.42
-1.0,3.576,2.37,1.66
1.92,3.941,2.38,0.22
1.83,3.888,2.38,0.34
1.66,3.822,2.39,0.53
1.7,3.784,2.39,0.67
1.81,3.873,2.39,0.38
1.77,3.873,2.39,0.38
1.69,3.873,2.39,0.38
1.66,3.822,2.39,0.53
1.73,3.766,2.4,0.75
1.82,3.892,2.41,0.33
-1.0,3.594,2.41,1.6
2.08,3.702,2.42,1.08
1.79,3.869,2.45,0.39
1.74,3.869,2.45,0.39
1.67,3.869,2.45,0.39
1.81,3.738,2.47,0.88
1.63,3.847,2.47,0.45
1.63,3.806,2.49,0.58
1.82,3.918,2.5,0.27
1.8,3.905,2.5,0.3
1.62,3.847,2.5,0.45
1.62,3.841,2.5,0.47
1.88,3.941,2.51,0.22
2.01,3.981,2.51,0.15
1.46,3.642,2.51,1.38
1.46,3.642,2.51,1.38
1.61,3.841,2.52,0.47
1.61,3.847,2.54,0.45
1.6,3.825,2.54,0.52
1.81,3.918,2.55,0.27
1.93,3.662,2.55,1.28
1.93,3.662,2.55,1.28
1.88,3.662,2.55,1.28
1.73,3.858,2.57,0.42
1.72,3.858,2.57,0.42
1.62,3.858,2.57,0.42
1.58,3.825,2.58,0.52
1.78,3.909,2.58,0.29
2.08,3.686,2.59,1.16
1.98,3.668,2.6,1.25
1.99,3.668,2.6,1.25
1.93,3.668,2.6,1.25
1.6,3.789,2.61,0.65
1.6,3.782,2.61,0.68
1.75,3.9,2.61,0.31
1.58,3.847,2.63,0.45
1.78,3.918,2.66,0.27
0.85,3.613,2.68,1.52
1.7,3.865,2.68,0.4
1.55,3.825,2.68,0.52
2.01,3.682,2.7,1.18
1.56,3.841,2.7,0.47
1.69,3.862,2.71,0.41
1.59,3.862,2.71,0.41
1.59,3.862,2.71,0.41
1.53,3.798,2.75,0.61
1.82,3.945,2.76,0.21
1.52,3.8,2.76,0.6
1.73,3.909,2.77,0.29
1.87,3.963,2.78,0.18
1.97,3.994,2.78,0.13
1.53,3.786,2.78,0.66
1.67,3.877,2.78,0.37
1.66,3.869,2.8,0.39
1.69,3.896,2.81,0.32
1.51,3.822,2.81,0.53
1.63,3.738,2.82,0.88
1.73,3.914,2.82,0.28
1.51,3.822,2.82,0.53
1.51,3.828,2.84,0.51
1.5,3.789,2.84,0.65
1.51,3.775,2.86,0.71
1.66,3.888,2.86,0.34
1.49,3.822,2.87,0.53
1.62,3.841,2.89,0.47
1.58,3.841,2.89,0.47
1.51,3.841,2.89,0.47
1.64,3.881,2.89,0.36
1.62,3.847,2.9,0.45
1.54,3.847,2.9,0.45
1.52,3.847,2.9,0.45
1.63,3.877,2.9,0.37
2.23,4.075,2.9,0.05
1.51,3.761,2.9,0.77
1.47,3.793,2.92,0.63
1.46,3.816,2.94,0.55
1.79,3.95,2.95,0.2
1.48,3.768,2.95,0.74
1.7,3.714,2.95,1.01
1.64,3.892,2.96,0.33
1.6,3.844,2.96,0.46
1.51,3.844,2.96,0.46
1.5,3.844,2.96,0.46
1.61,3.881,2.98,0.36
1.44,3.803,2.98,0.59
1.59,3.844,2.98,0.46
1.5,3.844,2.98,0.46
1.49,3.844,2.98,0.46
1.63,3.888,2.99,0.34
1.85,3.686,2.99,1.16
1.43,3.803,3.01,0.59
1.45,3.825,3.01,0.52
1.43,3.786,3.02,0.66
1.8,3.694,3.03,1.12
1.42,3.795,3.04,0.62
1.42,3.8,3.05,0.6
1.41,3.793,3.06,0.63
1.62,3.892,3.06,0.33
1.44,3.761,3.06,0.77
1.56,3.85,3.07,0.44
1.56,3.847,3.07,0.45
1.6,3.888,3.08,0.34
0.84,3.623,3.08,1.47
1.58,3.877,3.09,0.37
1.55,3.837,3.1,0.48
1.46,3.837,3.1,0.48
1.45,3.837,3.1,0.48
1.4,3.795,3.11,0.62
1.54,3.828,3.11,0.51
1.5,3.828,3.11,0.51
1.43,3.828,3.11,0.51
1.4,3.784,3.11,0.67
1.39,3.8,3.12,0.6
1.43,3.746,3.13,0.84
1.53,3.847,3.14,0.45
1.54,3.862,3.15,0.41
1.52,3.819,3.15,0.54
1.52,3.819,3.15,0.54
1.4,3.819,3.15,0.54
1.5,3.731,3.15,0.91
1.63,3.909,3.16,0.29
1.39,3.782,3.16,0.68
1.59,3.888,3.16,0.34
1.52,3.819,3.16,0.54
1.52,3.819,3.16,0.54
1.4,3.819,3.16,0.54
1.4,3.764,3.17,0.76
1.38,3.806,3.17,0.58
1.54,3.862,3.17,0.41
1.65,3.918,3.17,0.27
1.37,3.791,3.19,0.64
1.71,3.945,3.19,0.21
1.51,3.819,3.2,0.54
1.49,3.819,3.2,0.54
1.39,3.819,3.2,0.54
1.51,3.828,3.22,0.51
1.43,3.828,3.22,0.51
1.4,3.828,3.22,0.51
1.51,3.854,3.23,0.43
1.5,3.816,3.24,0.55
1.48,3.816,3.24,0.55
1.37,3.816,3.24,0.55
1.36,3.775,3.25,0.71
1.5,3.837,3.25,0.48
1.37,3.761,3.25,0.77
1.35,3.777,3.26,0.7
1.35,3.791,3.26,0.64
1.49,3.822,3.27,0.53
1.43,3.822,3.27,0.53
1.37,3.822,3.27,0.53
1.35,3.775,3.28,0.71
1.35,3.806,3.29,0.58
1.35,3.752,3.3,0.81
1.33,3.784,3.3,0.67
1.33,3.795,3.3,0.62
1.48,3.831,3.3,0.5
1.47,3.841,3.33,0.47
1.53,3.881,3.33,0.36
1.46,3.822,3.34,0.53
1.39,3.822,3.34,0.53
1.36,3.822,3.34,0.53
1.48,3.854,3.35,0.43
1.47,3.85,3.35,0.44
1.45,3.822,3.37,0.53
1.37,3.822,3.37,0.53
1.35,3.822,3.37,0.53
1.51,3.877,3.39,0.37
1.43,3.806,3.4,0.58
1.43,3.806,3.4,0.58
1.32,3.806,3.4,0.58
1.44,3.822,3.4,0.53
1.35,3.822,3.4,0.53
1.35,3.822,3.4,0.53
1.49,3.873,3.43,0.38
1.43,3.816,3.43,0.55
1.36,3.816,3.43,0.55
1.33,3.816,3.43,0.55
1.57,3.914,3.47,0.28
1.43,3.844,3.48,0.46
1.42,3.837,3.48,0.48
1.52,3.896,3.5,0.32
1.48,3.877,3.52,0.37
1.27,3.791,3.52,0.64
1.4,3.816,3.52,0.55
1.31,3.816,3.52,0.55
1.31,3.816,3.52,0.55
1.41,3.844,3.55,0.46
1.37,3.816,3.59,0.55
1.4,3.854,3.67,0.43
1.31,3.793,3.7,0.63
1.31,3.793,3.7,0.63
1.23,3.793,3.7,0.63
1.19,3.777,4.09,0.7
1.17,3.777,4.09,0.7
1.12,3.777,4.09,0.7
1.19,3.816,4.48,0.55
0.94,3.739,4.95,0.87
0.93,3.739,4.95,0.87
0.92,3.739,4.95,0.87
3.72,3.588,-0.27,1.77
5.04,3.649,-0.21,1.49
4.43,3.649,-0.21,1.49
3.71,3.649,-0.21,1.49
4.49,3.708,-0.18,1.19
3.99,3.708,-0.18,1.19
3.75,3.708,-0.18,1.19
4.38,3.617,-0.07,1.64
4.29,3.617,-0.07,1.64
3.63,3.617,-0.07,1.64
3.58,3.834,-0.01,0.63
4.64,3.664,0.09,1.41
4.04,3.664,0.09,1.41
3.53,3.664,0.09,1.41
4.32,3.633,0.18,1.56
4.17,3.633,0.18,1.56
3.4,3.633,0.18,1.56
4.58,3.66,0.19,1.43
3.99,3.66,0.19,1.43
3.46,3.66,0.19,1.43
4.23,3.674,0.4,1.36
3.74,3.674,0.4,1.36
3.38,3.674,0.4,1.36
3.48,3.731,0.65,1.07
3.75,3.698,0.66,1.24
3.44,3.698,0.66,1.24
3.38,3.698,0.66,1.24
2.8,3.914,0.68,0.42
3.49,3.721,0.73,1.12
3.56,3.702,0.84,1.22
3.55,3.694,0.95,1.26
3.27,3.721,1.0,1.12
3.17,3.733,1.0,1.06
3.06,3.744,1.03,1.0
3.22,3.723,1.04,1.11
3.43,3.694,1.11,1.26
3.29,3.71,1.11,1.18
3.45,3.69,1.13,1.28
2.5,3.888,1.13,0.48
3.33,3.7,1.16,1.23
3.48,3.684,1.17,1.31
3.18,3.684,1.17,1.31
3.18,3.684,1.17,1.31
3.17,3.717,1.17,1.14
3.32,3.698,1.2,1.24
3.11,3.721,1.21,1.12
3.39,3.688,1.23,1.29
3.37,3.69,1.24,1.28
3.14,3.715,1.24,1.15
3.29,3.696,1.27,1.25
3.16,3.71,1.28,1.18
3.16,3.71,1.28,1.18
3.25,3.698,1.29,1.24
3.24,3.696,1.33,1.25
3.1,3.65,1.33,1.48
3.06,3.65,1.33,1.48
2.85,3.65,1.33,1.48
3.24,3.696,1.34,1.25
3.23,3.696,1.35,1.25
3.21,3.698,1.35,1.24
3.37,3.68,1.36,1.33
2.37,3.854,1.38,0.57
2.98,3.721,1.39,1.12
3.05,3.712,1.41,1.17
3.19,3.696,1.41,1.25
3.15,3.7,1.41,1.23
3.21,3.694,1.41,1.26
3.22,3.692,1.42,1.27
3.23,3.69,1.43,1.28
3.05,3.71,1.43,1.18
2.44,3.623,1.44,1.61
3.22,3.688,1.47,1.29
3.13,3.694,1.53,1.26
2.87,3.713,1.61,1.16
2.65,3.735,1.63,1.05
2.76,3.717,1.69,1.14
3.05,3.682,1.73,1.32
2.09,3.854,1.84,0.57
2.74,3.708,1.84,1.19
2.83,3.694,1.92,1.26
2.32,3.737,2.07,1.04
2.48,3.713,2.1,1.16
2.13,3.764,2.14,0.9
2.3,3.729,2.17,1.08
2.44,3.712,2.18,1.17
2.37,3.717,2.2,1.14
2.34,3.717,2.25,1.14
2.6,3.69,2.26,1.28
1.95,3.798,2.27,0.75
2.22,3.731,2.28,1.07
2.31,3.715,2.32,1.15
1.89,3.638,2.36,1.54
2.49,3.674,2.38,1.36
1.83,3.877,2.41,0.51
1.95,3.766,2.42,0.89
2.22,3.717,2.42,1.14
1.85,3.892,2.42,0.47
1.91,3.773,2.44,0.86
2.16,3.723,2.45,1.11
1.99,3.751,2.47,0.96
1.78,3.847,2.48,0.59
1.91,3.766,2.49,0.89
1.85,3.777,2.53,0.84
2.09,3.725,2.53,1.1
2.29,3.7,2.54,1.23
1.8,3.798,2.55,0.75
2.03,3.956,2.58,0.33
1.74,3.844,2.59,0.6
1.79,3.777,2.65,0.84
1.74,3.798,2.68,0.75
2.09,3.713,2.68,1.16
1.7,3.809,2.74,0.71
1.68,3.825,2.74,0.66
1.68,3.822,2.75,0.67
1.67,3.825,2.77,0.66
1.67,3.822,2.77,0.67
1.65,3.85,2.83,0.58
1.65,3.819,2.84,0.68
1.65,3.819,2.84,0.68
1.67,3.791,2.86,0.78
1.65,3.854,2.87,0.57
1.64,3.798,2.89,0.75
1.62,3.819,2.9,0.68
1.65,3.789,2.91,0.79
1.64,3.858,2.91,0.56
1.61,3.825,2.92,0.66
1.62,3.847,2.93,0.59
1.61,3.834,2.93,0.63
1.61,3.813,2.93,0.7
1.61,3.809,2.95,0.71
1.6,3.831,2.95,0.64
1.61,3.85,2.97,0.58
1.6,3.806,2.98,0.72
1.59,3.822,2.98,0.67
1.6,3.844,2.99,0.6
1.6,3.798,2.99,0.75
1.59,3.806,2.99,0.72
1.59,3.834,3.0,0.63
1.58,3.825,3.01,0.66
