Mass[solMass],logT,Absolute Mag,B-V
1.51,3.885,3.02,0.21
1.43,3.837,3.02,0.34
1.4,3.831,3.11,0.36
1.38,3.828,3.18,0.37
1.39,3.841,3.18,0.33
1.38,3.831,3.2,0.36
1.36,3.819,3.21,0.4
1.36,3.819,3.24,0.4
1.33,3.803,3.27,0.45
1.27,3.803,3.27,0.45
1.25,3.803,3.27,0.45
1.38,3.844,3.29,0.32
1.38,3.847,3.29,0.31
1.35,3.831,3.3,0.36
1.38,3.85,3.31,0.3
1.32,3.803,3.31,0.45
1.25,3.803,3.31,0.45
1.24,3.803,3.31,0.45
1.36,3.844,3.36,0.32
1.32,3.822,3.39,0.39
1.28,3.8,3.43,0.46
1.32,3.828,3.43,0.37
1.31,3.831,3.49,0.36
1.28,3.825,3.59,0.38
1.28,3.822,3.59,0.39
1.32,3.844,3.59,0.32
1.24,3.813,3.68,0.42
1.21,3.806,3.77,0.44
1.22,3.816,3.85,0.41
1.13,3.798,4.19,0.47
1.07,3.786,4.52,0.52
6.47,4.325,1.05,0.26
3.63,4.075,1.06,0.42
2.87,4.0,1.43,0.49
4.22,4.212,1.87,0.33
2.76,4.02,2.04,0.47
4.26,4.237,2.21,0.31
3.43,4.167,2.47,0.36
2.35,4.0,2.77,0.49
2.28,3.981,2.8,0.52
2.14,3.918,2.81,0.64
2.11,3.918,2.81,0.64
2.01,3.918,2.81,0.64
2.26,4.0,3.05,0.49
1.81,3.869,3.12,0.76
1.98,3.914,3.16,0.65
1.8,3.873,3.18,0.75
1.75,3.892,3.7,0.7
1.74,3.936,4.1,0.6
6.4,3.945,-2.52,0.25
4.24,4.01,-1.04,0.16
5.48,4.225,-0.6,0.0
3.7,3.994,-0.56,0.18
3.71,4.03,-0.49,0.14
3.72,4.075,-0.3,0.1
4.23,4.167,0.17,0.04
6.38,4.325,0.18,-0.06
5.8,4.3,0.33,-0.05
3.19,4.075,0.75,0.1
2.45,3.927,0.94,0.3
2.42,3.994,1.6,0.18
2.27,3.981,1.87,0.2
2.5,4.04,1.87,0.13
2.22,3.981,2.0,0.2
2.08,3.936,2.06,0.28
2.07,3.936,2.08,0.28
2.15,3.981,2.2,0.2
2.23,4.01,2.27,0.16
2.06,3.963,2.29,0.23
1.91,3.927,2.46,0.3
2.03,3.969,2.46,0.22
1.93,3.936,2.46,0.28
1.84,3.877,2.47,0.42
1.8,3.877,2.47,0.42
1.72,3.877,2.47,0.42
1.9,3.932,2.51,0.29
1.91,3.936,2.52,0.28
1.64,3.822,2.57,0.58
1.68,3.789,2.57,0.7
1.78,3.885,2.65,0.4
1.59,3.819,2.72,0.59
1.55,3.825,2.82,0.57
1.69,3.862,2.85,0.46
1.6,3.862,2.85,0.46
1.59,3.862,2.85,0.46
1.5,3.806,2.95,0.63
1.48,3.789,3.04,0.7
1.5,3.834,3.04,0.54
1.62,3.847,3.04,0.5
1.54,3.847,3.04,0.5
1.52,3.847,3.04,0.5
1.43,3.806,3.17,0.63
1.42,3.816,3.23,0.6
1.41,3.813,3.24,0.61
1.54,3.834,3.28,0.54
1.45,3.834,3.28,0.54
1.43,3.834,3.28,0.54
1.38,3.795,3.3,0.67
1.37,3.806,3.36,0.63
1.3,3.755,3.59,0.85
1.39,3.806,3.65,0.63
1.36,3.806,3.65,0.63
1.29,3.806,3.65,0.63
1.37,3.8,3.69,0.65
1.37,3.8,3.69,0.65
1.27,3.8,3.69,0.65
1.39,3.816,3.7,0.6
1.24,3.777,3.74,0.75
1.32,3.795,3.85,0.67
1.3,3.795,3.85,0.67
1.23,3.795,3.85,0.67
1.23,3.732,3.86,0.95
1.18,3.759,3.97,0.83
5.88,3.635,0.03,1.88
5.14,3.635,0.03,1.88
4.33,3.635,0.03,1.88
4.07,4.05,0.27,0.47
4.52,3.707,0.58,1.46
4.01,3.707,0.58,1.46
3.76,3.707,0.58,1.46
4.61,4.167,0.72,0.39
4.85,4.212,1.03,0.36
4.65,4.2,1.12,0.37
3.13,4.01,1.17,0.51
6.2,4.325,1.42,0.29
3.26,4.05,1.49,0.47
3.57,4.117,1.59,0.42
