B-V,log.Teff [K],Absolute Mag,Mass[solMass],Vmag,Plx,Age [yr],Distance,logL,Predicted_SpT
0.01,3.981,0.03,2.74,7.43,0.003311311,273000000.0,301.995172,1.96,B
-0.03,4.01,0.04,2.83,7.44,0.003311311,239000000.0,301.995172,1.99,B
-0.01,3.994,0.06,2.76,7.46,0.003311311,262000000.0,301.995172,1.96,B
-0.04,4.02,0.08,3.02,7.48,0.003311311,160000000.0,301.995172,1.99,B
-0.04,4.02,0.08,2.89,7.48,0.003311311,211000000.0,301.995172,1.99,B
-0.04,4.02,0.08,2.84,7.48,0.003311311,231000000.0,301.995172,1.99,B
0.0,3.988,0.17,2.68,7.57,0.003311311,283000000.0,301.995172,1.91,B
0.01,3.981,0.2,2.64,7.6,0.003311311,296000000.0,301.995172,1.89,B
-0.03,4.01,0.21,2.9,7.61,0.003311311,176000000.0,301.995172,1.92,B
-0.03,4.01,0.21,2.78,7.61,0.003311311,238000000.0,301.995172,1.92,B
-0.03,4.01,0.21,2.73,7.61,0.003311311,256000000.0,301.995172,1.92,B
0.96,3.698,0.23,3.42,7.63,0.003311311,161000000.0,301.995172,1.9,G
-0.05,4.03,0.25,2.94,7.65,0.003311311,144000000.0,301.995172,1.94,B
-0.03,4.01,0.28,2.86,7.68,0.003311311,177000000.0,301.995172,1.9,B
-0.03,4.01,0.32,2.84,7.72,0.003311311,177000000.0,301.995172,1.88,B
0.27,3.862,0.32,2.5,7.72,0.003311311,374000000.0,301.995172,1.76,A
0.01,3.981,0.43,2.69,7.83,0.003311311,232000000.0,301.995172,1.8,B
0.01,3.981,0.43,2.68,7.83,0.003311311,240000000.0,301.995172,1.8,B
0.01,3.981,0.43,2.53,7.83,0.003311311,323000000.0,301.995172,1.8,A
0.03,3.969,0.46,2.47,7.86,0.003311311,350000000.0,301.995172,1.77,A
-0.02,4.0,0.49,2.71,7.89,0.003311311,193000000.0,301.995172,1.8,B
-0.01,3.994,0.53,2.67,7.93,0.003311311,206000000.0,301.995172,1.77,B
-0.01,3.994,0.54,2.66,7.94,0.003311311,206000000.0,301.995172,1.77,B
-0.05,4.03,0.54,2.78,7.94,0.003311311,128000000.0,301.995172,1.82,B
0.03,3.969,0.72,2.5,8.12,0.003311311,263000000.0,301.995172,1.66,A
0.03,3.969,0.72,2.39,8.12,0.003311311,355000000.0,301.995172,1.66,A
0.03,3.969,0.72,2.36,8.12,0.003311311,381000000.0,301.995172,1.66,A
-0.01,3.994,0.72,2.57,8.12,0.003311311,200000000.0,301.995172,1.7,B
-0.01,3.994,0.74,2.56,8.14,0.003311311,198000000.0,301.995172,1.69,B
0.0,3.988,0.77,2.52,8.17,0.003311311,213000000.0,301.995172,1.67,B
-0.04,4.02,0.81,2.61,8.21,0.003311311,119000000.0,301.995172,1.7,B
0.0,3.988,0.83,2.49,8.23,0.003311311,209000000.0,301.995172,1.64,B
0.01,3.981,0.89,2.45,8.29,0.003311311,223000000.0,301.995172,1.61,B
0.01,3.981,0.92,2.43,8.32,0.003311311,220000000.0,301.995172,1.6,B
0.05,3.956,0.98,2.34,8.38,0.003311311,294000000.0,301.995172,1.54,A
0.03,3.969,1.02,2.35,8.42,0.003311311,252000000.0,301.995172,1.54,A
0.02,3.975,1.06,2.35,8.46,0.003311311,225000000.0,301.995172,1.54,B
0.02,3.975,1.07,2.35,8.47,0.003311311,224000000.0,301.995172,1.53,B
-0.1,4.087,1.09,2.82,8.49,0.003311311,-1.0,301.995172,1.7,B
0.02,3.975,1.13,2.32,8.53,0.003311311,216000000.0,301.995172,1.51,B
0.06,3.95,1.13,2.26,8.53,0.003311311,308000000.0,301.995172,1.48,A
0.04,3.963,1.19,2.26,8.59,0.003311311,255000000.0,301.995172,1.47,B
0.04,3.963,1.23,2.24,8.63,0.003311311,249000000.0,301.995172,1.45,B
0.08,3.941,1.23,2.2,8.63,0.003311311,337000000.0,301.995172,1.43,A
0.01,3.981,1.23,2.29,8.63,0.003311311,171000000.0,301.995172,1.48,B
0.04,3.963,1.24,2.24,8.64,0.003311311,248000000.0,301.995172,1.45,B
0.07,3.945,1.25,2.2,8.65,0.003311311,317000000.0,301.995172,1.42,A
0.08,3.941,1.27,2.18,8.67,0.003311311,335000000.0,301.995172,1.41,A
0.04,3.963,1.27,2.22,8.67,0.003311311,243000000.0,301.995172,1.44,B
0.08,3.941,1.3,2.17,8.7,0.003311311,332000000.0,301.995172,1.4,A
0.03,3.969,1.35,2.21,8.75,0.003311311,198000000.0,301.995172,1.41,B
0.08,3.941,1.39,2.13,8.79,0.003311311,322000000.0,301.995172,1.37,A
0.1,3.932,1.41,2.1,8.81,0.003311311,363000000.0,301.995172,1.35,A
0.16,3.905,1.44,2.05,8.84,0.003311311,495000000.0,301.995172,1.32,A
0.16,3.905,1.44,2.04,8.84,0.003311311,520000000.0,301.995172,1.32,A
0.16,3.905,1.44,1.92,8.84,0.003311311,694000000.0,301.995172,1.32,A
0.1,3.932,1.46,2.08,8.86,0.003311311,358000000.0,301.995172,1.33,A
0.11,3.927,1.48,2.07,8.88,0.003311311,378000000.0,301.995172,1.32,A
0.12,3.923,1.48,2.06,8.88,0.003311311,400000000.0,301.995172,1.32,A
0.09,3.936,1.53,2.06,8.93,0.003311311,322000000.0,301.995172,1.31,A
0.1,3.932,1.55,2.04,8.95,0.003311311,344000000.0,301.995172,1.29,A
0.12,3.923,1.61,2.0,9.01,0.003311311,386000000.0,301.995172,1.26,A
0.09,3.936,1.66,2.01,9.06,0.003311311,293000000.0,301.995172,1.25,A
0.12,3.923,1.68,1.98,9.08,0.003311311,372000000.0,301.995172,1.24,A
0.13,3.918,1.73,1.95,9.13,0.003311311,390000000.0,301.995172,1.21,A
0.06,3.95,1.77,2.0,9.17,0.003311311,147000000.0,301.995172,1.22,A
0.1,3.932,1.78,1.95,9.18,0.003311311,283000000.0,301.995172,1.2,A
0.15,3.909,1.81,1.91,9.21,0.003311311,433000000.0,301.995172,1.17,A
0.14,3.914,1.82,1.91,9.22,0.003311311,399000000.0,301.995172,1.17,A
0.11,3.927,1.89,1.91,9.29,0.003311311,273000000.0,301.995172,1.16,A
0.12,3.923,1.9,1.89,9.3,0.003311311,305000000.0,301.995172,1.15,A
0.09,3.936,1.9,1.92,9.3,0.003311311,193000000.0,301.995172,1.16,A
0.15,3.909,1.91,1.87,9.31,0.003311311,408000000.0,301.995172,1.13,A
0.12,3.923,1.94,1.88,9.34,0.003311311,288000000.0,301.995172,1.13,A
0.1,3.932,1.96,1.89,9.36,0.003311311,199000000.0,301.995172,1.13,A
0.27,3.862,1.98,1.67,9.38,0.003311311,1060000000.0,301.995172,1.09,A
0.16,3.905,1.98,1.83,9.38,0.003311311,423000000.0,301.995172,1.1,A
0.13,3.918,1.99,1.85,9.39,0.003311311,304000000.0,301.995172,1.11,A
0.11,3.927,1.99,1.87,9.39,0.003311311,227000000.0,301.995172,1.12,A
0.14,3.914,2.01,1.84,9.41,0.003311311,335000000.0,301.995172,1.1,A
0.23,3.877,2.06,1.78,9.46,0.003311311,627000000.0,301.995172,1.06,A
0.23,3.877,2.06,1.68,9.46,0.003311311,937000000.0,301.995172,1.06,A
0.23,3.877,2.06,1.68,9.46,0.003311311,937000000.0,301.995172,1.06,A
0.16,3.905,2.07,1.8,9.47,0.003311311,391000000.0,301.995172,1.07,A
0.27,3.862,2.09,1.76,9.49,0.003311311,755000000.0,301.995172,1.05,A
0.27,3.862,2.09,1.74,9.49,0.003311311,807000000.0,301.995172,1.05,A
0.27,3.862,2.09,1.64,9.49,0.003311311,1080000000.0,301.995172,1.05,A
0.08,3.941,2.11,1.88,9.51,0.003311311,-1.0,301.995172,1.08,A
0.26,3.865,2.16,1.74,9.56,0.003311311,711000000.0,301.995172,1.02,A
0.26,3.865,2.16,1.67,9.56,0.003311311,940000000.0,301.995172,1.02,A
