# System,SpT1,SpT2,Pday,Vmag,BmV,logM1,logM1e,logM2,logM2e,logR1,logR1e,logR2,logR2e,logg1,logg1e,logg2,logg2e,logT1,logT1e,logT2,logT2e,logL1,logL1e,logL2,logL2e
OGLE-BLG-ECL-123903,K2_III,K2_III,118.531,16.9,0.99,0.3107,0.0057,0.3168,0.0048,0.9795,0.0022,0.9567,0.0029,2.79,0.011,2.841,0.012,3.679,0.012,3.68,0.016,1.633,0.071,1.591,0.067
TZ_For,G8_III,F7_III,75.666,6.88,0.97,0.3132,0.0002,0.2918,0.0002,0.9212,0.0057,0.5988,0.0088,2.915,0.023,3.539,0.037,3.693,0.003,3.803,0.005,1.57,0.02,1.36,0.03
CF_Tau,K0,G0,2.756,10.25,0.95,0.1079,0.003,0.0973,0.0038,0.4467,0.0017,0.3113,0.0034,3.653,0.005,3.913,0.008,3.716,0.013,3.778,0.011,0.71,0.05,0.69,0.05
EPIC_219511354,K2_V,K4_V,1.622,13.16,0.94,-0.04,0.0062,-0.0851,0.0085,-0.0362,0.0076,-0.0701,0.0082,4.47,0.016,4.494,0.017,3.702,0.013,3.671,0.012,-0.31,0.053,-0.5,0.052
V568_Lyr,none,none,14.47,17.34,0.94,0.0361,0.0016,-0.0822,0.0012,0.1452,0.004,-0.1072,0.0029,4.184,0.0078,4.5698,0.0059,3.752,0.007,3.683,0.013,-9.99,-9.99,-9.99,-9.99
V565_Lyr,none,none,18.799,17.71,0.93,-0.002,0.0014,-0.0318,0.0015,0.0418,0.0027,-0.0129,0.0024,4.3524,0.0053,4.4319,0.008,3.748,0.007,3.735,0.01,-9.99,-9.99,-9.99,-9.99
KIC_8430105,none,none,63.327,10.67,0.93,0.0983,0.0048,-0.0897,0.0027,0.8736,0.0018,-0.1253,0.0024,2.7892,0.0033,4.599,0.0039,3.752,0.006,3.756,0.006,-9.99,-9.99,-9.99,-9.99
V501_Her,G3_IV,G3_V,8.598,10.93,0.93,0.1035,0.0012,0.0833,0.0011,0.3014,0.0007,0.1793,0.0008,3.9384,0.0014,4.1623,0.0016,3.755,0.008,3.757,0.008,0.576,0.03,0.344,0.029
KIC_6131659,none,none,17.528,12.76,0.92,-0.0259,0.0046,-0.153,0.0049,-0.0443,0.0014,-0.2104,0.0021,4.496,0.005,4.705,0.006,3.716,0.008,3.617,0.05,-9.99,-9.99,-9.99,-9.99
OGLE-SMC-ECL-1859,G0_III,G7_III,75.544,17.69,0.92,0.4116,0.0051,0.3945,0.0035,1.2095,0.008,1.2718,0.007,2.43,0.02,2.29,0.01,3.744,0.008,3.695,0.009,2.35,0.035,2.276,0.037
M4_V69,none,none,48.188,17.01,0.9,-0.1155,0.003,-0.138,0.0029,-0.0627,0.0049,-0.0929,0.0043,4.444,0.132,4.483,0.119,3.784,0.009,3.772,0.01,-0.036,0.036,-0.146,0.041
M4_V65,none,none,2.293,17.03,0.9,-0.095,0.0046,-0.2182,0.0032,0.0596,0.0039,-0.214,0.0065,4.221,0.014,4.645,0.017,3.785,0.008,3.682,0.011,0.21,0.032,-0.747,0.046
ASAS_J052821+0338.5,K1_PMS,K3_PMS,3.873,11.7,0.9,0.1383,0.0035,0.1235,0.0026,0.2625,0.0024,0.238,0.0025,4.05,0.01,4.08,0.01,3.708,0.009,3.673,0.009,0.314,0.034,0.14,0.035
